Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
3053543,000000AA,false,Rx,0,8,5E,54,07,00,B8,0B,94,00,
3053550,000000A8,false,Rx,0,8,FF,02,21,E0,21,1F,0F,04,
3053555,000000A9,false,Rx,0,8,EB,02,79,DF,1D,C7,E0,21,
3053561,000000BA,false,Rx,0,7,03,FF,0F,00,00,4F,82,00,
3059133,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
3062371,000000AA,false,Rx,0,8,60,56,07,00,B8,0B,94,00,
3062596,000000A8,false,Rx,0,8,00,03,21,E0,21,1F,0F,04,
3062831,000000A9,false,Rx,0,8,EC,03,79,DF,1D,C7,E0,21,
3063056,000000BA,false,Rx,0,7,03,FF,0F,00,00,50,83,00,
3066869,000001D0,false,Rx,0,8,3C,76,6C,C3,9C,9E,CD,82,
3069002,000000B6,false,Rx,0,5,07,07,80,00,C8,00,00,00,
3069226,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
3069452,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
3069681,0000019E,false,Rx,0,8,00,E8,3F,FC,FE,00,00,C3,
3069933,000001A0,false,Rx,0,8,00,80,00,40,01,14,70,E7,
3070158,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
3070383,000001A6,false,Rx,0,8,00,00,00,00,00,00,60,F3,
3073607,000000AA,false,Rx,0,8,62,58,07,00,B8,0B,94,00,
3073613,000000A8,false,Rx,0,8,02,04,21,E0,21,1F,0F,04,
3073619,000000A9,false,Rx,0,8,ED,04,79,DF,1D,C7,E0,21,
3073624,000000BA,false,Rx,0,7,03,FF,0F,00,00,51,84,00,
3079027,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
3082448,000000AA,false,Rx,0,8,64,5A,07,00,B8,0B,94,00,
3082677,000000A8,false,Rx,0,8,03,05,21,E0,21,1F,0F,04,
3082909,000000A9,false,Rx,0,8,EE,05,79,DF,1D,C7,E0,21,
3083134,000000BA,false,Rx,0,7,03,FF,0F,00,00,52,85,00,
3089010,000000B6,false,Rx,0,5,08,08,80,00,C8,00,00,00,
3089234,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
3089459,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
3089690,0000019E,false,Rx,0,8,00,E8,3F,FC,FE,00,00,C3,
3089923,000001A0,false,Rx,0,8,00,80,00,40,01,11,80,F4,
3090148,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
3090938,000001B4,false,Rx,0,8,00,D0,E2,FD,44,32,FE,DC,
3093845,000000AA,false,Rx,0,8,66,5C,07,00,B8,0B,94,00,
3093851,000000A8,false,Rx,0,8,04,06,21,E0,21,1F,0F,04,
3093856,000000A9,false,Rx,0,8,EF,06,79,DF,1D,C7,E0,21,
3093862,000000BA,false,Rx,0,7,03,FF,0F,00,00,53,86,00,
3099049,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
3102474,000000AA,false,Rx,0,8,68,5E,07,00,B8,0B,94,00,
3102707,000000A8,false,Rx,0,8,05,07,21,E0,21,1F,0F,04,
3102939,000000A9,false,Rx,0,8,F0,07,79,DF,1D,C7,E0,21,
3103164,000000BA,false,Rx,0,7,03,FF,0F,00,00,54,87,00,
3109045,000000B6,false,Rx,0,5,09,09,80,00,C8,00,00,00,
3109269,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
3109494,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
3109723,0000019E,false,Rx,0,8,00,E8,3F,FC,FE,00,00,C3,
3109954,000001A0,false,Rx,0,8,00,80,00,40,01,14,90,08,
3110179,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
3114048,000000AA,false,Rx,0,8,5A,50,07,00,B8,0B,94,00,
