Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
16115454,000000AA,false,Rx,0,8,5C,52,07,00,B8,0B,94,00,
16115461,000000A8,false,Rx,0,8,FE,01,21,E0,21,1F,0F,04,
16115701,000000A9,false,Rx,0,8,EA,01,79,DF,1D,C7,E0,21,
16115949,000000BA,false,Rx,0,7,03,FF,0F,00,00,4E,81,00,
16116771,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
16125122,000000AA,false,Rx,0,8,5E,54,07,00,B8,0B,94,00,
16125347,000000A8,false,Rx,0,8,FF,02,21,E0,21,1F,0F,04,
16125572,000000A9,false,Rx,0,8,EB,02,79,DF,1D,C7,E0,21,
16125807,000000BA,false,Rx,0,7,03,FF,0F,00,00,4F,82,00,
16126588,000000B6,false,Rx,0,5,06,06,80,00,C8,00,00,00,
16126827,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
16127237,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
16127462,0000019E,false,Rx,0,8,00,E8,3F,FC,FE,00,00,C3,
16127694,000001A0,false,Rx,0,8,00,80,00,40,01,11,60,D4,
16127925,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
16128150,000000C8,false,Rx,0,6,3B,08,7C,00,00,1C,00,00,
16135422,000000AA,false,Rx,0,8,60,56,07,00,B8,0B,94,00,
16135428,000000A8,false,Rx,0,8,00,03,21,E0,21,1F,0F,04,
16135666,000000A9,false,Rx,0,8,EC,03,79,DF,1D,C7,E0,21,
16135911,000000BA,false,Rx,0,7,03,FF,0F,00,00,50,83,00,
16136702,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
16138907,000004B0,false,Rx,0,8,00,42,FE,01,FF,FF,FF,FF,
16139697,000001D0,false,Rx,0,8,3C,76,63,C3,9C,9E,CD,82,
16145209,000000AA,false,Rx,0,8,62,58,07,00,B8,0B,94,00,
16145434,000000A8,false,Rx,0,8,02,04,21,E0,21,1F,0F,04,
16145668,000000A9,false,Rx,0,8,ED,04,79,DF,1D,C7,E0,21,
16145900,000000BA,false,Rx,0,7,03,FF,0F,00,00,51,84,00,
16146496,000000B6,false,Rx,0,5,07,07,80,00,C8,00,00,00,
16146728,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
16146960,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
16147371,0000019E,false,Rx,0,8,00,E8,3F,FC,FE,00,00,C3,
16147596,000001A0,false,Rx,0,8,00,80,00,60,01,14,70,08,
16147833,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
16148058,000001A6,false,Rx,0,8,00,00,00,00,00,00,80,F5,
16148283,00000374,false,Rx,0,5,00,00,00,00,FC,00,00,00,
16155585,000000AA,false,Rx,0,8,64,5A,07,00,B8,0B,94,00,
16155592,000000A8,false,Rx,0,8,03,05,21,E0,21,1F,0F,04,
16155597,000000A9,false,Rx,0,8,EE,05,79,DF,1D,C7,E0,21,
16155849,000000BA,false,Rx,0,7,03,FF,0F,00,00,52,85,00,
16156652,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
16165255,000000AA,false,Rx,0,8,66,5C,07,00,B8,0B,94,00,
16165479,000000A8,false,Rx,0,8,04,06,21,E0,21,1F,0F,04,
16165707,000000A9,false,Rx,0,8,EF,06,79,DF,1D,C7,E0,21,
16165939,000000BA,false,Rx,0,7,03,FF,0F,00,00,53,86,00,
16166535,000000B6,false,Rx,0,5,08,08,80,00,C8,00,00,00,
16166764,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
16166996,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
16167222,0000019E,false,Rx,0,8,00,E8,3F,FC,FE,00,00,C3,
16167447,000001A0,false,Rx,0,8,00,80,00,60,01,11,80,15,
16167869,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
16168094,000001B4,false,Rx,0,8,00,D0,E2,FA,44,32,FE,D9,
16175806,000000AA,false,Rx,0,8,68,5E,07,00,B8,0B,94,00,
16175812,000000A8,false,Rx,0,8,05,07,21,E0,21,1F,0F,04,
16175817,000000A9,false,Rx,0,8,F0,07,79,DF,1D,C7,E0,21,
16175823,000000BA,false,Rx,0,7,03,FF,0F,00,00,54,87,00,
16176630,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
16185110,000000AA,false,Rx,0,8,5A,50,07,00,B8,0B,94,00,
16185335,000000A8,false,Rx,0,8,06,08,21,E0,21,1F,0F,04,
16185559,000000A9,false,Rx,0,8,F1,08,79,DF,1D,C7,E0,21,
16185799,000000BA,false,Rx,0,7,03,FF,0F,00,00,55,88,00,
16186581,000000B6,false,Rx,0,5,09,09,80,00,C8,00,00,00,
16186817,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
16187041,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
16187267,0000019E,false,Rx,0,8,00,E8,3F,FC,FE,00,00,C3,
16187491,000001A0,false,Rx,0,8,00,80,00,40,01,14,90,08,
