Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
18602264,000000B6,false,Rx,0,5,00,01,80,00,C8,00,00,00,
18602273,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18602278,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
18602283,0000019E,false,Rx,0,8,00,E0,7F,FC,FE,00,00,FB,
18602288,000001A0,false,Rx,0,8,00,80,00,50,00,FE,1F,90,
18602293,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
18602298,000000A8,false,Rx,0,8,07,B5,01,B0,01,F0,03,02,
18602303,000000A9,false,Rx,0,8,E5,15,57,DF,14,57,7F,05,
18602309,000000AA,false,Rx,0,8,83,A5,01,00,40,0D,80,64,
18602314,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18602319,000000C8,false,Rx,0,6,1D,0A,0C,00,00,EC,00,00,
18602324,000000A8,false,Rx,0,8,08,B6,01,B0,01,F0,03,02,
18602329,000000A9,false,Rx,0,8,F6,16,57,EF,14,57,7F,05,
18602334,000000AA,false,Rx,0,8,94,B6,01,00,40,0D,80,64,
18602339,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18602344,000000A8,false,Rx,0,8,45,D3,01,D0,01,F0,03,02,
18602349,000000A9,false,Rx,0,8,54,13,57,0F,15,57,BF,05,
18602354,000000AA,false,Rx,0,8,9D,D3,01,00,2C,0D,80,64,
18602359,000000B6,false,Rx,0,5,08,08,80,00,C8,00,00,00,
18602364,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18602369,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
18602375,0000019E,false,Rx,0,8,00,E0,8F,FC,FE,00,00,0C,
18602380,000001A0,false,Rx,0,8,00,80,00,50,00,FE,8F,00,
18602385,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
18602390,000000A8,false,Rx,0,8,56,D4,01,E0,01,F0,03,02,
18602395,000000A9,false,Rx,0,8,45,14,57,0F,15,57,AF,05,
18602400,000000AA,false,Rx,0,8,9A,D4,01,00,28,0D,80,64,
18602405,00000492,false,Rx,0,8,17,42,FF,FF,FF,FF,FF,FF,
18602410,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18602415,000000A8,false,Rx,0,8,57,D5,01,E0,01,F0,03,02,
18602420,000000A9,false,Rx,0,8,46,15,57,0F,15,57,AF,05,
18602426,000000AA,false,Rx,0,8,AB,E5,01,00,28,0D,80,64,
18602431,00000200,false,Rx,0,8,42,81,C0,00,00,00,00,00,
18602436,000001B4,false,Rx,0,8,00,D0,E2,F2,04,32,FE,91,
18602441,000000B6,false,Rx,0,5,09,09,80,00,C8,00,00,00,
18602446,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18602451,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
18602456,0000019E,false,Rx,0,8,00,E0,8F,FC,FE,00,00,0C,
18602461,000001A0,false,Rx,0,8,00,80,00,B0,FF,FE,9F,71,
18602466,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
18602471,000000A8,false,Rx,0,8,38,C6,01,D0,01,F0,03,02,
18602477,000000A9,false,Rx,0,8,67,16,57,0F,15,57,CF,05,
18602482,000000AA,false,Rx,0,8,B8,E6,01,00,34,0D,80,64,
18602487,000001B5,false,Rx,0,6,00,FF,07,00,0A,FF,00,00,
18602492,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18602497,00000194,false,Rx,0,4,E7,F6,00,F0,00,00,00,00,
18602502,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
18602506,000000A8,false,Rx,0,8,49,D7,01,D0,01,F0,03,02,
18602512,000000A9,false,Rx,0,8,6A,17,58,0F,15,58,CF,05,
18602517,000000AA,false,Rx,0,8,A9,D7,01,00,34,0D,80,64,
18602522,0000031A,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
18602527,000000B6,false,Rx,0,5,0A,0A,80,00,C8,00,00,00,
18602531,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18602537,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
18602542,0000019E,false,Rx,0,8,00,E0,8F,FC,FE,00,00,0C,
18602547,000001A0,false,Rx,0,8,00,80,00,50,00,FE,AF,21,
18602552,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
18602557,000000A8,false,Rx,0,8,3A,C8,01,D0,01,F0,03,02,
18602562,000000A9,false,Rx,0,8,6B,18,58,0F,15,58,CF,05,
18602567,000000AA,false,Rx,0,8,AA,D8,01,00,34,0D,80,64,
18602572,00000130,false,Rx,0,5,45,43,21,8F,33,00,00,00,
18602577,000001B6,false,Rx,0,7,00,FC,2E,04,46,A0,26,00,
18602582,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18602587,000000A8,false,Rx,0,8,4B,D9,01,D0,01,F0,03,02,
18604483,000000B6,false,Rx,0,5,00,01,80,00,C8,00,00,00,
18604488,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18604493,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
18604499,0000019E,false,Rx,0,8,00,E0,8F,FC,FE,00,00,0C,
18604504,000001A0,false,Rx,0,8,00,80,00,90,FF,00,10,C2,
18604509,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
18605135,000000A8,false,Rx,0,8,67,E5,01,E0,01,F0,03,02,
18605365,000000A9,false,Rx,0,8,56,15,57,0F,15,57,BF,05,
18605596,000000AA,false,Rx,0,8,9B,D5,01,00,28,0D,80,64,
18613035,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18615645,000000A8,false,Rx,0,8,68,E6,01,E0,01,F0,03,02,
18615869,000000A9,false,Rx,0,8,57,16,57,0F,15,57,BF,05,
18616286,000000AA,false,Rx,0,8,AC,E6,01,00,28,0D,80,64,
18620181,000001D0,false,Rx,0,8,47,FF,62,C2,65,EB,CD,A9,
18624393,000000B6,false,Rx,0,5,02,02,80,00,C8,00,00,00,
18624398,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18624403,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
18624408,0000019E,false,Rx,0,8,00,E0,8F,FC,FE,00,00,0C,
18624413,000001A0,false,Rx,0,8,00,80,00,50,00,FE,2F,A0,
18624419,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
18624424,000001A6,false,Rx,0,8,04,00,02,00,02,00,98,FF,
18624666,000004A9,false,Rx,0,8,00,42,FF,FF,FF,FF,FF,FF,
18625086,000000A8,false,Rx,0,8,29,C7,01,C0,01,F0,03,02,
18625318,000000A9,false,Rx,0,8,B8,17,57,0F,15,57,1F,06,
18625542,000000AA,false,Rx,0,8,BD,E7,01,00,38,0D,80,64,
18632906,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18636265,000000A8,false,Rx,0,8,2A,C8,01,C0,01,F0,03,02,
18636488,000000A9,false,Rx,0,8,A9,18,57,FF,14,57,1F,06,
18636712,000000AA,false,Rx,0,8,9E,C8,01,00,38,0D,80,64,
18644420,000000B6,false,Rx,0,5,03,03,80,00,C8,00,00,00,
18644425,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18644430,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
18644435,0000019E,false,Rx,0,8,00,E0,9F,FC,FE,00,00,1C,
18644440,000001A0,false,Rx,0,8,00,80,00,00,00,FE,3F,60,
18644445,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
18645069,000000A8,false,Rx,0,8,2B,C9,01,C0,01,F0,03,02,
18645298,000000A9,false,Rx,0,8,AA,19,57,FF,14,57,1F,06,
18645526,000000AA,false,Rx,0,8,9F,C9,01,00,38,0D,80,64,
18651428,000001B6,false,Rx,0,7,00,FC,2E,04,46,A0,26,00,
18652930,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18654996,000000A8,false,Rx,0,8,2C,CA,01,C0,01,F0,03,02,
18655232,000000A9,false,Rx,0,8,6B,1A,57,FF,14,57,DF,05,
18655456,000000AA,false,Rx,0,8,A0,CA,01,00,38,0D,80,64,
18655679,00000200,false,Rx,0,8,42,81,C0,00,00,00,00,00,
18656821,000001B4,false,Rx,0,8,00,D0,E2,F4,04,32,FE,93,
18662956,000000B6,false,Rx,0,5,04,04,80,00,C8,00,00,00,
18665116,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18665121,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
18665126,0000019E,false,Rx,0,8,00,E0,9F,FC,FE,00,00,1C,
18665131,000001A0,false,Rx,0,8,00,80,00,F0,FF,FE,4F,61,
18665136,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
18665141,000000A8,false,Rx,0,8,2D,CB,01,C0,01,F0,03,02,
18665647,000000A9,false,Rx,0,8,6C,1B,57,FF,14,57,DF,05,
18665652,000000AA,false,Rx,0,8,A1,CB,01,00,38,0D,80,64,
18672973,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18673206,00000194,false,Rx,0,4,E8,F7,00,F0,00,00,00,00,
18673429,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
18675116,000000A8,false,Rx,0,8,2E,CC,01,C0,01,F0,03,02,
18675351,000000A9,false,Rx,0,8,1D,1C,57,FF,14,57,8F,05,
18675576,000000AA,false,Rx,0,8,A2,CC,01,00,38,0D,80,64,
18680011,0000031A,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
18682985,000000B6,false,Rx,0,5,05,05,80,00,C8,00,00,00,
