Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
18446744073709055907,000000A8,false,Rx,0,8,6F,ED,01,E0,01,F0,03,02,
18446744073709055913,000000A9,false,Rx,0,8,52,1D,56,3F,15,56,7F,0B,
18446744073709055918,000000AA,false,Rx,0,8,44,CD,01,00,D8,0D,80,64,
18446744073709055923,000000B6,false,Rx,0,5,07,07,80,00,C8,00,00,00,
18446744073709055928,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18446744073709055933,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
18446744073709055938,0000019E,false,Rx,0,8,00,E0,AF,FC,FE,00,00,2C,
18446744073709055943,000001A0,false,Rx,0,8,00,80,00,C0,FF,FE,7F,61,
18446744073709055948,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
18446744073709055953,000001A6,false,Rx,0,8,04,00,01,00,01,00,58,FC,
18446744073709055958,000000A8,false,Rx,0,8,70,EE,01,E0,01,F0,03,02,
18446744073709055963,000000A9,false,Rx,0,8,73,1E,56,5F,15,56,7F,0B,
18446744073709055969,000000AA,false,Rx,0,8,65,EE,01,00,D8,0D,80,64,
18446744073709055974,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18446744073709055979,000000A8,false,Rx,0,8,52,D0,01,E0,01,F0,03,02,
18446744073709055984,000000A9,false,Rx,0,8,65,10,56,5F,15,56,7F,0B,
18446744073709055989,000000AA,false,Rx,0,8,5B,E0,01,00,DC,0D,80,64,
18446744073709055994,000000B6,false,Rx,0,5,08,08,80,00,C8,00,00,00,
18446744073709055999,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18446744073709056004,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
18446744073709056009,0000019E,false,Rx,0,8,00,E0,AF,FC,FE,00,00,2C,
18446744073709056014,000001A0,false,Rx,0,8,00,80,00,30,00,FE,8F,E0,
18446744073709056019,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
18446744073709056024,000004A9,false,Rx,0,8,00,42,FF,FF,FF,FF,FF,FF,
18446744073709056030,000000A8,false,Rx,0,8,43,D1,01,D0,01,F0,03,02,
18446744073709056035,000000A9,false,Rx,0,8,66,11,56,5F,15,56,7F,0B,
18446744073709056040,000000AA,false,Rx,0,8,5C,E1,01,00,DC,0D,80,64,
18446744073709056045,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18446744073709056050,000001D0,false,Rx,0,8,3C,FF,64,C2,F2,57,CD,B1,
18446744073709056055,000001B4,false,Rx,0,8,00,D0,E2,F8,04,32,FE,97,
18446744073709056060,000000A8,false,Rx,0,8,34,C2,01,D0,01,F0,03,02,
18446744073709056065,000000A9,false,Rx,0,8,67,12,56,5F,15,56,7F,0B,
18446744073709056070,000000AA,false,Rx,0,8,65,E2,01,00,E4,0D,80,64,
18446744073709056076,000000B6,false,Rx,0,5,09,09,80,00,C8,00,00,00,
18446744073709056080,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18446744073709056086,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
18446744073709056091,0000019E,false,Rx,0,8,00,E0,AF,FC,FE,00,00,2C,
18446744073709056096,000001A0,false,Rx,0,8,00,80,00,F0,FF,FE,9F,B1,
18446744073709056101,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
18446744073709056106,000000A8,false,Rx,0,8,35,C3,01,D0,01,F0,03,02,
18446744073709056111,000000A9,false,Rx,0,8,58,13,56,4F,15,56,7F,0B,
18446744073709056116,000000AA,false,Rx,0,8,56,D3,01,00,E4,0D,80,64,
18446744073709056121,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18446744073709056126,00000194,false,Rx,0,4,EA,F9,00,F0,00,00,00,00,
18446744073709056131,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
18446744073709056136,000002A6,false,Rx,0,2,00,FC,00,00,00,00,00,00,
18446744073709056141,000000A8,false,Rx,0,8,26,C4,01,C0,01,F0,03,02,
18446744073709056146,000000A9,false,Rx,0,8,69,14,56,4F,15,56,8F,0B,
18446744073709056151,000000AA,false,Rx,0,8,57,D4,01,00,E4,0D,80,64,
18446744073709056156,0000031A,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
18446744073709056161,000000B6,false,Rx,0,5,0A,0A,80,00,C8,00,00,00,
18446744073709056166,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18446744073709056171,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
18446744073709056176,0000019E,false,Rx,0,8,00,E0,AF,FC,FE,00,00,2C,
18446744073709056182,000001A0,false,Rx,0,8,00,80,00,C0,FF,FE,AF,91,
18446744073709056187,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
18446744073709056193,000000A8,false,Rx,0,8,67,E5,01,E0,01,F0,03,02,
18446744073709056198,000000A9,false,Rx,0,8,5A,15,56,4F,15,56,7F,0B,
18446744073709056203,000000AA,false,Rx,0,8,4C,D5,01,00,D8,0D,80,64,
18446744073709056208,00000200,false,Rx,0,8,42,81,C0,00,00,00,00,00,
18446744073709056213,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18446744073709056218,00000130,false,Rx,0,5,45,43,21,8F,55,00,00,00,
18446744073709056223,000000A8,false,Rx,0,8,68,E6,01,E0,01,F0,03,02,
18446744073709056229,000000A9,false,Rx,0,8,5B,16,56,4F,15,56,7F,0B,
18446744073709167846,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18446744073709167851,000000C8,false,Rx,0,6,1D,0A,5C,00,00,0C,00,00,
18446744073709167856,000000A8,false,Rx,0,8,6A,E8,01,E0,01,F0,03,02,
18446744073709167861,000000A9,false,Rx,0,8,6D,18,56,5F,15,56,7F,0B,
18446744073709167867,000000AA,false,Rx,0,8,5F,E8,01,00,D8,0D,80,64,
18446744073709167872,000000B6,false,Rx,0,5,0C,0C,80,00,C8,00,00,00,
18446744073709167877,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18446744073709167882,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
18446744073709167887,0000019E,false,Rx,0,8,00,E0,AF,FC,FE,00,00,2C,
18446744073709167892,000001A0,false,Rx,0,8,00,80,00,B0,FF,FE,CF,A1,
18446744073709167897,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
18446744073709167902,000001A6,false,Rx,0,8,04,00,01,00,01,00,E8,FD,
18446744073709167907,00000374,false,Rx,0,5,00,00,00,00,FC,00,00,00,
18446744073709167912,000001B6,false,Rx,0,7,00,FC,3B,04,3A,A0,20,00,
18446744073709167917,000000A8,false,Rx,0,8,4B,D9,01,D0,01,F0,03,02,
18446744073709167922,000000A9,false,Rx,0,8,6E,19,56,4F,15,56,8F,0B,
18446744073709167927,000000AA,false,Rx,0,8,58,D9,01,00,E0,0D,80,64,
18446744073709167933,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18446744073709167938,000000A8,false,Rx,0,8,3C,CA,01,D0,01,F0,03,02,
18446744073709167943,000000A9,false,Rx,0,8,5F,1A,56,4F,15,56,7F,0B,
18446744073709167948,000000AA,false,Rx,0,8,5D,DA,01,00,E4,0D,80,64,
18446744073709167953,000000B6,false,Rx,0,5,0D,0D,80,00,C8,00,00,00,
18446744073709167958,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18446744073709167963,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
18446744073709167968,0000019E,false,Rx,0,8,00,E0,AF,FC,FE,00,00,2C,
18446744073709167973,000001A0,false,Rx,0,8,00,80,00,50,00,FE,DF,51,
18446744073709167978,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
18446744073709167983,00000480,false,Rx,0,8,12,42,FD,FF,FF,FF,FF,FF,
18446744073709167988,000000A8,false,Rx,0,8,3D,CB,01,D0,01,F0,03,02,
18446744073709167994,000000A9,false,Rx,0,8,60,1B,56,4F,15,56,7F,0B,
18446744073709167999,000000AA,false,Rx,0,8,5E,DB,01,00,E4,0D,80,64,
18446744073709168004,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18446744073709168009,000001D0,false,Rx,0,8,3C,FF,65,C2,29,58,CD,B1,
18446744073709168014,000000A8,false,Rx,0,8,3E,CC,01,D0,01,F0,03,02,
18446744073709168019,000000A9,false,Rx,0,8,61,1C,56,4F,15,56,7F,0B,
18446744073709168024,000000AA,false,Rx,0,8,5F,DC,01,00,E4,0D,80,64,
18446744073709168029,000001B4,false,Rx,0,8,00,D0,E2,F9,04,32,FE,98,
18446744073709168034,000000B6,false,Rx,0,5,0E,0E,80,00,C8,00,00,00,
18446744073709168039,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
18446744073709168044,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
18446744073709168050,0000019E,false,Rx,0,8,00,E0,AF,FC,FE,00,00,2C,
