Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1830974,00000374,false,Rx,0,5,00,00,00,00,FC,00,00,00,
1836956,000000AA,false,Rx,0,8,5E,54,07,00,B8,0B,94,00,
1837183,000000A8,false,Rx,0,8,08,0A,21,E0,21,1F,0F,04,
1837407,000000A9,false,Rx,0,8,F3,0A,79,DF,1D,C7,E0,21,
1837632,000000BA,false,Rx,0,7,03,FF,0F,00,00,57,8A,00,
1837874,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
1846952,000000AA,false,Rx,0,8,60,56,07,00,B8,0B,94,00,
1847178,000000A8,false,Rx,0,8,09,0B,21,E0,21,1F,0F,04,
1847402,000000A9,false,Rx,0,8,F4,0B,79,DF,1D,C7,E0,21,
1847627,000000B6,false,Rx,0,5,03,03,80,00,C8,00,00,00,
1847863,000000BA,false,Rx,0,7,03,FF,0F,00,00,58,8B,00,
1848088,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
1848314,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1848539,0000019E,false,Rx,0,8,00,E8,2F,FC,FE,00,00,B3,
1848767,000001A0,false,Rx,0,8,00,80,00,40,01,11,30,A4,
1848999,000001B4,false,Rx,0,8,00,D0,E2,F0,44,32,FE,CF,
1849410,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
1857010,000000AA,false,Rx,0,8,62,58,07,00,B8,0B,94,00,
1857239,000000A8,false,Rx,0,8,0A,0C,21,E0,21,1F,0F,04,
1857463,000000A9,false,Rx,0,8,F5,0C,79,DF,1D,C7,E0,21,
1857697,000000BA,false,Rx,0,7,03,FF,0F,00,00,59,8C,00,
1857930,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
1867004,000000AA,false,Rx,0,8,64,5A,07,00,B8,0B,94,00,
1867247,000000A8,false,Rx,0,8,0B,0D,21,E0,21,1F,0F,04,
1867484,000000A9,false,Rx,0,8,F6,0D,79,DF,1D,C7,E0,21,
1867713,000000B6,false,Rx,0,5,04,04,80,00,C8,00,00,00,
1867939,000000BA,false,Rx,0,7,03,FF,0F,00,00,5A,8D,00,
1868164,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
1868389,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1868614,0000019E,false,Rx,0,8,00,E8,2F,FC,FE,00,00,B3,
1868852,000001A0,false,Rx,0,8,00,80,00,40,01,14,40,B7,
1869078,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1869303,000004A9,false,Rx,0,8,30,42,FF,FF,FF,FF,FF,FF,
1875987,00000130,false,Rx,0,5,45,43,21,8F,98,00,00,00,
1876972,000000AA,false,Rx,0,8,66,5C,07,00,B8,0B,94,00,
1877197,000000A8,false,Rx,0,8,0C,0E,21,E0,21,1F,0F,04,
1877421,000000A9,false,Rx,0,8,F7,0E,79,DF,1D,C7,E0,21,
1877646,000000BA,false,Rx,0,7,03,FF,0F,00,00,5B,8E,00,
1877881,000000C4,false,Rx,0,7,42,08,FC,D3,FF,FF,F1,00,
1878106,000001D2,false,Rx,0,5,E1,0C,8F,D0,F0,00,00,00,
1878330,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
1887017,000000AA,false,Rx,0,8,5A,50,07,00,B8,0B,94,00,
