Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
970150,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
970565,000000AA,false,Rx,0,8,66,5C,07,00,B8,0B,94,00,
970807,000000A8,false,Rx,0,8,0C,0E,21,E0,21,1F,0F,04,
971032,000000A9,false,Rx,0,8,F7,0E,79,DF,1D,C7,E0,21,
971257,000000BA,false,Rx,0,7,03,FF,0F,00,00,5B,8E,00,
980130,000000B6,false,Rx,0,5,0C,0C,80,00,C8,00,00,00,
980354,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
980578,000000AA,false,Rx,0,8,5A,50,07,00,B8,0B,94,00,
980814,000000A8,false,Rx,0,8,FD,00,21,E0,21,1F,0F,04,
981039,000000A9,false,Rx,0,8,E9,00,79,DF,1D,C7,E0,21,
981264,000000BA,false,Rx,0,7,03,FF,0F,00,00,4D,80,00,
981488,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
981716,0000019E,false,Rx,0,8,00,E8,8F,FC,FE,00,00,14,
981948,000001A0,false,Rx,0,8,00,80,00,40,01,14,C0,38,
982173,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
982399,000001A6,false,Rx,0,8,00,00,00,00,00,00,C0,F0,
990186,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
990415,000000AA,false,Rx,0,8,5C,52,07,00,B8,0B,94,00,
990873,000000A8,false,Rx,0,8,FE,01,21,E0,21,1F,0F,04,
990878,000000A9,false,Rx,0,8,EA,01,79,DF,1D,C7,E0,21,
991102,000000BA,false,Rx,0,7,03,FF,0F,00,00,4E,81,00,
995278,000001B4,false,Rx,0,8,00,D0,E2,F2,44,32,FE,D1,
1000028,000000B6,false,Rx,0,5,0D,0D,80,00,C8,00,00,00,
1000253,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1000478,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1000711,000000A8,false,Rx,0,8,FF,02,21,E0,21,1F,0F,04,
1000944,000000A9,false,Rx,0,8,EB,02,79,DF,1D,C7,E0,21,
1001169,000000AA,false,Rx,0,8,5E,54,07,00,B8,0B,94,00,
1001394,000000BA,false,Rx,0,7,03,FF,0F,00,00,4F,82,00,
1001619,0000019E,false,Rx,0,8,00,E8,8F,FC,FE,00,00,14,
1001859,000001A0,false,Rx,0,8,00,80,00,40,01,14,D0,48,
1002085,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1002494,00000480,false,Rx,0,8,17,42,FD,FF,FF,FF,FF,FF,
1010155,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1010569,000000AA,false,Rx,0,8,60,56,07,00,B8,0B,94,00,
1010805,000000A8,false,Rx,0,8,00,03,21,E0,21,1F,0F,04,
1011030,000000A9,false,Rx,0,8,EC,03,79,DF,1D,C7,E0,21,
1011254,000000BA,false,Rx,0,7,03,FF,0F,00,00,50,83,00,
1017878,00000130,false,Rx,0,5,45,43,21,8F,BA,00,00,00,
1020174,000000B6,false,Rx,0,5,0E,0E,80,00,C8,00,00,00,
1020399,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1020623,000000A8,false,Rx,0,8,02,04,21,E0,21,1F,0F,04,
1020865,000000A9,false,Rx,0,8,ED,04,79,DF,1D,C7,E0,21,
1021091,000000AA,false,Rx,0,8,62,58,07,00,B8,0B,94,00,
1021316,000000BA,false,Rx,0,7,03,FF,0F,00,00,51,84,00,
1021540,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1021773,0000019E,false,Rx,0,8,00,E8,8F,FC,FE,00,00,14,
1022006,000001A0,false,Rx,0,8,00,80,00,60,01,14,E0,78,
1022231,000001D2,false,Rx,0,5,E1,0C,8F,70,F0,00,00,00,
1022456,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1030182,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1030410,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
1030635,000000A8,false,Rx,0,8,03,05,21,E0,21,1F,0F,04,
1030873,000000A9,false,Rx,0,8,EE,05,79,DF,1D,C7,E0,21,
1031098,000000AA,false,Rx,0,8,64,5A,07,00,B8,0B,94,00,
1031323,000000BA,false,Rx,0,7,03,FF,0F,00,00,52,85,00,
1033452,000001FB,false,Rx,0,2,F1,FF,00,00,00,00,00,00,
1040262,000000B6,false,Rx,0,5,FF,00,80,00,C8,00,00,00,
1040487,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1040714,000000A8,false,Rx,0,8,04,06,21,E0,21,1F,0F,04,
1040947,000000A9,false,Rx,0,8,EF,06,79,DF,1D,C7,E0,21,
1041171,000000AA,false,Rx,0,8,66,5C,07,00,B8,0B,94,00,
1041396,000000BA,false,Rx,0,7,03,FF,0F,00,00,53,86,00,
1041621,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1041874,0000019E,false,Rx,0,8,00,E8,9F,FC,FE,00,00,24,
1042138,000001A0,false,Rx,0,8,00,80,00,60,01,14,00,97,
1042392,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1050168,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1050582,000000AA,false,Rx,0,8,68,5E,07,00,B8,0B,94,00,
1050823,000000A8,false,Rx,0,8,05,07,21,E0,21,1F,0F,04,
1051048,000000A9,false,Rx,0,8,F0,07,79,DF,1D,C7,E0,21,
1051272,000000BA,false,Rx,0,7,03,FF,0F,00,00,54,87,00,
1060156,000000B6,false,Rx,0,5,00,01,80,00,C8,00,00,00,
1060381,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1060606,000000A8,false,Rx,0,8,06,08,21,E0,21,1F,0F,04,
1060847,000000A9,false,Rx,0,8,F1,08,79,DF,1D,C7,E0,21,
1061073,000000AA,false,Rx,0,8,5A,50,07,00,B8,0B,94,00,
1061298,000000BA,false,Rx,0,7,03,FF,0F,00,00,55,88,00,
1061523,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1061751,0000019E,false,Rx,0,8,00,E8,9F,FC,FE,00,00,24,
1061983,000001A0,false,Rx,0,8,00,80,00,60,01,14,10,A7,
1062428,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1062434,000000C8,false,Rx,0,6,38,08,CC,00,00,9C,00,00,
1065116,000001D0,false,Rx,0,8,3C,76,60,C3,9C,9E,CD,82,
1070272,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1070500,000000AA,false,Rx,0,8,5C,52,07,00,B8,0B,94,00,
1070730,000000A8,false,Rx,0,8,07,09,21,E0,21,1F,0F,04,
1070962,000000A9,false,Rx,0,8,F2,09,79,DF,1D,C7,E0,21,
1071187,000000BA,false,Rx,0,7,03,FF,0F,00,00,56,89,00,
1080176,000000B6,false,Rx,0,5,02,02,80,00,C8,00,00,00,
1080402,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1080627,000000A8,false,Rx,0,8,08,0A,21,E0,21,1F,0F,04,
1080869,000000A9,false,Rx,0,8,F3,0A,79,DF,1D,C7,E0,21,
1081094,000000AA,false,Rx,0,8,5E,54,07,00,B8,0B,94,00,
1081319,000000BA,false,Rx,0,7,03,FF,0F,00,00,57,8A,00,
1081544,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1081793,0000019E,false,Rx,0,8,00,E8,9F,FC,FE,00,00,24,
1082022,000001A0,false,Rx,0,8,00,80,00,40,01,11,20,94,
1082247,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
1082471,000001A6,false,Rx,0,8,00,00,00,00,00,00,50,F2,
1087340,00000497,false,Rx,0,8,29,42,FF,FF,FF,FF,FF,FF,
1090164,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1090576,000000AA,false,Rx,0,8,60,56,07,00,B8,0B,94,00,
1090817,000000A8,false,Rx,0,8,09,0B,21,E0,21,1F,0F,04,
1091042,000000A9,false,Rx,0,8,F4,0B,79,DF,1D,C7,E0,21,
1091268,000000BA,false,Rx,0,7,03,FF,0F,00,00,58,8B,00,
1095625,000001B4,false,Rx,0,8,00,D0,E2,F3,44,32,FE,D2,
1100002,000000B6,false,Rx,0,5,03,03,80,00,C8,00,00,00,
1100226,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1100452,000000A8,false,Rx,0,8,0A,0C,21,E0,21,1F,0F,04,
1100684,000000A9,false,Rx,0,8,F5,0C,79,DF,1D,C7,E0,21,
1100916,000000AA,false,Rx,0,8,62,58,07,00,B8,0B,94,00,
1101141,000000BA,false,Rx,0,7,03,FF,0F,00,00,59,8C,00,
1101366,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1101790,0000019E,false,Rx,0,8,00,E8,9F,FC,FE,00,00,24,
1102015,000001A0,false,Rx,0,8,00,80,00,40,01,14,30,A7,
1102240,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1110022,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1110437,000000AA,false,Rx,0,8,64,5A,07,00,B8,0B,94,00,
1110670,000000A8,false,Rx,0,8,0B,0D,21,E0,21,1F,0F,04,
1110901,000000A9,false,Rx,0,8,F6,0D,79,DF,1D,C7,E0,21,
1111127,000000BA,false,Rx,0,7,03,FF,0F,00,00,5A,8D,00,
1119065,00000130,false,Rx,0,5,45,43,21,8F,CB,00,00,00,
1120047,000000B6,false,Rx,0,5,04,04,80,00,C8,00,00,00,
1120271,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1120497,000000A8,false,Rx,0,8,0C,0E,21,E0,21,1F,0F,04,
