Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1013425,000000AA,false,Rx,0,8,5E,54,07,00,B8,0B,94,00,
1013432,000000A8,false,Rx,0,8,08,0A,21,E0,21,1F,0F,04,
1013437,000000A9,false,Rx,0,8,F3,0A,79,DF,1D,C7,E0,21,
1013677,000000BA,false,Rx,0,7,03,FF,0F,00,00,57,8A,00,
1017052,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
1019917,000001FB,false,Rx,0,2,FE,FF,00,00,00,00,00,00,
1022967,000000AA,false,Rx,0,8,60,56,07,00,B8,0B,94,00,
1023192,000000A8,false,Rx,0,8,09,0B,21,E0,21,1F,0F,04,
1023416,000000A9,false,Rx,0,8,F4,0B,79,DF,1D,C7,E0,21,
1023642,000000BA,false,Rx,0,7,03,FF,0F,00,00,58,8B,00,
1026916,000000B6,false,Rx,0,5,0B,0B,80,00,C8,00,00,00,
1027140,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
1027365,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1027787,0000019E,false,Rx,0,8,00,E8,0F,FC,FE,00,00,93,
1028023,000001A0,false,Rx,0,8,00,80,00,40,01,14,B0,28,
1028248,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1033498,000000AA,false,Rx,0,8,62,58,07,00,B8,0B,94,00,
1033505,000000A8,false,Rx,0,8,0A,0C,21,E0,21,1F,0F,04,
1033510,000000A9,false,Rx,0,8,F5,0C,79,DF,1D,C7,E0,21,
1033754,000000BA,false,Rx,0,7,03,FF,0F,00,00,59,8C,00,
1037068,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
1042941,000000AA,false,Rx,0,8,64,5A,07,00,B8,0B,94,00,
1043166,000000A8,false,Rx,0,8,0B,0D,21,E0,21,1F,0F,04,
1043391,000000A9,false,Rx,0,8,F6,0D,79,DF,1D,C7,E0,21,
1043617,000000BA,false,Rx,0,7,03,FF,0F,00,00,5A,8D,00,
1046868,000000B6,false,Rx,0,5,0C,0C,80,00,C8,00,00,00,
1047093,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
1047317,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1047543,0000019E,false,Rx,0,8,00,E8,0F,FC,FE,00,00,93,
1047777,000001A0,false,Rx,0,8,00,80,00,40,01,14,C0,38,
1048009,000001D0,false,Rx,0,8,3C,76,6D,C3,9C,9E,CD,82,
1048420,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1048646,000001A6,false,Rx,0,8,00,00,00,00,00,00,F0,F6,
1053474,000000AA,false,Rx,0,8,66,5C,07,00,B8,0B,94,00,
1053481,000000A8,false,Rx,0,8,0C,0E,21,E0,21,1F,0F,04,
1053486,000000A9,false,Rx,0,8,F7,0E,79,DF,1D,C7,E0,21,
1053724,000000BA,false,Rx,0,7,03,FF,0F,00,00,5B,8E,00,
1056875,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
1062941,000000AA,false,Rx,0,8,5A,50,07,00,B8,0B,94,00,
1063166,000000A8,false,Rx,0,8,FD,00,21,E0,21,1F,0F,04,
1063391,000000A9,false,Rx,0,8,E9,00,79,DF,1D,C7,E0,21,
1063616,000000BA,false,Rx,0,7,03,FF,0F,00,00,4D,80,00,
1066863,000000B6,false,Rx,0,5,0D,0D,80,00,C8,00,00,00,
1067087,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
1067312,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1067537,0000019E,false,Rx,0,8,00,E8,0F,FC,FE,00,00,93,
1067767,000001A0,false,Rx,0,8,00,80,00,40,01,14,D0,48,
1067998,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1070478,000001B4,false,Rx,0,8,00,D0,E2,FE,44,32,FE,DD,
1071089,00000135,false,Rx,0,2,F5,FF,00,00,00,00,00,00,
1071690,00000202,false,Rx,0,2,FE,FF,00,00,00,00,00,00,
196615,000000AA,false,Rx,0,8,5C,52,07,00,B8,0B,94,00,
196621,000000A8,false,Rx,0,8,FE,01,21,E0,21,1F,0F,04,
196627,000000A9,false,Rx,0,8,EA,01,79,DF,1D,C7,E0,21,
196632,000000BA,false,Rx,0,7,03,FF,0F,00,00,4E,81,00,
200203,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
201941,000004B0,false,Rx,0,8,00,42,FE,01,FF,FF,FF,FF,
205933,000000AA,false,Rx,0,8,5E,54,07,00,B8,0B,94,00,
206158,000000A8,false,Rx,0,8,FF,02,21,E0,21,1F,0F,04,
206384,000000A9,false,Rx,0,8,EB,02,79,DF,1D,C7,E0,21,
206608,000000BA,false,Rx,0,7,03,FF,0F,00,00,4F,82,00,
209854,000000B6,false,Rx,0,5,0E,0E,80,00,C8,00,00,00,
210078,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
210303,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
210716,0000019E,false,Rx,0,8,00,E8,0F,FC,FE,00,00,93,
210949,000001A0,false,Rx,0,8,00,80,00,60,01,14,E0,78,
211173,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
216610,000000AA,false,Rx,0,8,60,56,07,00,B8,0B,94,00,
216616,000000A8,false,Rx,0,8,00,03,21,E0,21,1F,0F,04,
216622,000000A9,false,Rx,0,8,EC,03,79,DF,1D,C7,E0,21,
216627,000000BA,false,Rx,0,7,03,FF,0F,00,00,50,83,00,
219959,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
220185,00000194,false,Rx,0,4,E1,F0,00,F0,00,00,00,00,
220443,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
220448,000002A6,false,Rx,0,2,00,FC,00,00,00,00,00,00,
225944,000000AA,false,Rx,0,8,62,58,07,00,B8,0B,94,00,
226169,000000A8,false,Rx,0,8,02,04,21,E0,21,1F,0F,04,
226395,000000A9,false,Rx,0,8,ED,04,79,DF,1D,C7,E0,21,
226620,000000BA,false,Rx,0,7,03,FF,0F,00,00,51,84,00,
226859,00000130,false,Rx,0,5,45,43,21,8F,87,00,00,00,
230092,000000B6,false,Rx,0,5,FF,00,80,00,C8,00,00,00,
230317,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
230542,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
230777,0000019E,false,Rx,0,8,00,E8,0F,FC,FE,00,00,93,
231009,000001A0,false,Rx,0,8,00,80,00,60,01,14,00,97,
231234,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
231459,000000C8,false,Rx,0,6,3B,08,AC,00,00,8C,00,00,
236668,000000AA,false,Rx,0,8,64,5A,07,00,B8,0B,94,00,
236675,000000A8,false,Rx,0,8,03,05,21,E0,21,1F,0F,04,
236680,000000A9,false,Rx,0,8,EE,05,79,DF,1D,C7,E0,21,
236686,000000BA,false,Rx,0,7,03,FF,0F,00,00,52,85,00,
240009,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
245880,000000AA,false,Rx,0,8,66,5C,07,00,B8,0B,94,00,
246290,000000A8,false,Rx,0,8,04,06,21,E0,21,1F,0F,04,
246515,000000A9,false,Rx,0,8,EF,06,79,DF,1D,C7,E0,21,
246748,000000BA,false,Rx,0,7,03,FF,0F,00,00,53,86,00,
249991,000000B6,false,Rx,0,5,00,01,80,00,C8,00,00,00,
250216,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
250441,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
250672,0000019E,false,Rx,0,8,00,E8,0F,FC,FE,00,00,93,
250905,000001A0,false,Rx,0,8,00,80,00,40,01,14,10,87,
251142,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
256858,000000AA,false,Rx,0,8,68,5E,07,00,B8,0B,94,00,
256865,000000A8,false,Rx,0,8,05,07,21,E0,21,1F,0F,04,
256870,000000A9,false,Rx,0,8,F0,07,79,DF,1D,C7,E0,21,
256875,000000BA,false,Rx,0,7,03,FF,0F,00,00,54,87,00,
256881,00000242,false,Rx,0,5,10,F0,FF,FF,FF,00,00,00,
