Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
14477366,000000AA,false,Rx,0,8,68,3A,FE,00,00,00,84,00,
14477653,000000A8,false,Rx,0,8,03,05,21,E0,21,1F,0F,04,
14477658,000000A9,false,Rx,0,8,EE,05,79,DF,1D,C7,E0,21,
14477902,000000BA,false,Rx,0,7,03,FF,0F,00,00,52,85,00,
14479113,000000B6,false,Rx,0,5,08,08,80,00,C8,00,00,00,
14479340,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
14479577,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
14479802,0000019E,false,Rx,0,8,00,EA,0F,FC,FE,61,00,F6,
14480026,000001A0,false,Rx,0,8,00,80,00,00,80,00,88,2B,
14480446,000002B2,false,Rx,0,8,00,00,00,00,0F,80,00,04,
14486541,00000332,false,Rx,0,2,61,82,00,00,00,00,00,00,
14486545,00000332,false,Rx,0,2,61,82,00,00,00,00,00,00,
14486770,000001D0,false,Rx,0,8,3C,76,04,C3,00,00,CD,82,
14486995,00000332,false,Rx,0,2,61,82,00,00,00,00,00,00,
14487218,000000AA,false,Rx,0,8,6A,3C,FE,00,00,00,84,00,
14487445,000000A8,false,Rx,0,8,04,06,21,E0,21,1F,0F,04,
14487678,000000A9,false,Rx,0,8,EF,06,79,DF,1D,C7,E0,21,
14487902,000000BA,false,Rx,0,7,03,FF,0F,00,00,53,86,00,
14489251,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
14491933,000001FB,false,Rx,0,2,F0,FF,00,00,00,00,00,00,
14494040,00000130,false,Rx,0,5,00,0D,D0,0F,01,00,00,00,
14497249,000000AA,false,Rx,0,8,6C,3E,FE,00,00,00,84,00,
14497492,000000A8,false,Rx,0,8,05,07,21,E0,21,1F,0F,04,
14497724,000000A9,false,Rx,0,8,F0,07,79,DF,1D,C7,E0,21,
14497958,000000BA,false,Rx,0,7,03,FF,0F,00,00,54,87,00,
14499153,000000B6,false,Rx,0,5,09,09,80,00,C8,00,00,00,
14499397,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
14499667,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
14499892,0000019E,false,Rx,0,8,00,EA,0F,FC,FE,61,00,F6,
14500117,000001A0,false,Rx,0,8,00,80,00,00,80,00,98,3B,
