Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1254506133,000000B6,false,Rx,0,5,06,06,80,00,C8,00,00,00,
1254506366,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
1254506598,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1254506823,000000A8,false,Rx,0,8,08,0A,21,E0,21,1F,0F,04,
1254507048,000000A9,false,Rx,0,8,F3,0A,79,DF,1D,C7,E0,21,
1254507273,000000AA,false,Rx,0,8,62,34,FE,00,00,00,84,00,
1254507510,000000BA,false,Rx,0,7,03,FF,0F,00,00,57,8A,00,
1254507736,0000019E,false,Rx,0,8,00,EA,6F,FC,FE,61,00,57,
1254507961,000001A0,false,Rx,0,8,00,80,00,00,80,00,68,0B,
1254508186,000002B2,false,Rx,0,8,00,00,00,00,0F,80,00,04,
1254516143,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
1254516752,000000AA,false,Rx,0,8,64,36,FE,00,00,00,84,00,
1254516977,000000A8,false,Rx,0,8,09,0B,21,E0,21,1F,0F,04,
1254517202,000000A9,false,Rx,0,8,F4,0B,79,DF,1D,C7,E0,21,
1254517434,000000BA,false,Rx,0,7,03,FF,0F,00,00,58,8B,00,
1254526006,000000B6,false,Rx,0,5,07,07,80,00,C8,00,00,00,
1254526235,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
1254526655,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1254526880,000000A8,false,Rx,0,8,0A,0C,21,E0,21,1F,0F,04,
1254527105,000000A9,false,Rx,0,8,F5,0C,79,DF,1D,C7,E0,21,
1254527330,000000AA,false,Rx,0,8,66,38,FE,00,00,00,84,00,
1254527569,000000BA,false,Rx,0,7,03,FF,0F,00,00,59,8C,00,
1254527794,0000019E,false,Rx,0,8,00,EA,6F,FC,FE,61,00,57,
1254528019,000001A0,false,Rx,0,8,00,80,00,00,80,00,78,1B,
1254528244,000002B2,false,Rx,0,8,00,00,00,00,0F,80,00,04,
1254536187,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
1254536611,000000AA,false,Rx,0,8,68,3A,FE,00,00,00,84,00,
1254536837,000000A8,false,Rx,0,8,0B,0D,21,E0,21,1F,0F,04,
1254537061,000000A9,false,Rx,0,8,F6,0D,79,DF,1D,C7,E0,21,
1254537286,000000BA,false,Rx,0,7,03,FF,0F,00,00,5A,8D,00,
1254540536,00000480,false,Rx,0,8,17,42,FD,FF,FF,FF,FF,FF,
1254545914,00000332,false,Rx,0,2,61,82,00,00,00,00,00,00,
1254545922,00000332,false,Rx,0,2,61,82,00,00,00,00,00,00,
1254546147,000000B6,false,Rx,0,5,08,08,80,00,C8,00,00,00,
1254546381,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
1254546613,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1254546838,000000AA,false,Rx,0,8,6A,3C,FE,00,00,00,84,00,
1254547064,0000019E,false,Rx,0,8,00,EA,6F,FC,FE,61,00,57,
1254547288,000000BA,false,Rx,0,7,03,FF,0F,00,00,5B,8E,00,
1254547524,000001A0,false,Rx,0,8,00,80,00,00,80,00,88,2B,
1254547749,000000A9,false,Rx,0,8,F7,0E,79,DF,1D,C7,E0,21,
1254547974,000001D0,false,Rx,0,8,3C,76,0B,C3,00,00,CD,82,
1254548199,000000A8,false,Rx,0,8,0C,0E,21,E0,21,1F,0F,04,
1254548657,000002B2,false,Rx,0,8,00,00,00,00,0F,80,00,04,
1254548662,00000332,false,Rx,0,2,61,82,00,00,00,00,00,00,
1254556021,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
1254556626,000000AA,false,Rx,0,8,5E,30,FE,00,00,00,84,00,
1254556852,000000A8,false,Rx,0,8,FD,00,21,E0,21,1F,0F,04,
1254557077,000000A9,false,Rx,0,8,E9,00,79,DF,1D,C7,E0,21,
1254557302,000000BA,false,Rx,0,7,03,FF,0F,00,00,4D,80,00,
1254559645,000001FB,false,Rx,0,2,F0,FF,00,00,00,00,00,00,
1254559649,00000130,false,Rx,0,5,00,0D,D0,0F,CC,00,00,00,
1254566118,000000B6,false,Rx,0,5,09,09,80,00,C8,00,00,00,
1254566349,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
1254566581,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1254566806,000000A8,false,Rx,0,8,FE,01,21,E0,21,1F,0F,04,
1254567031,000000A9,false,Rx,0,8,EA,01,79,DF,1D,C7,E0,21,
1254567256,000000AA,false,Rx,0,8,60,32,FE,00,00,00,84,00,
1254567491,000000BA,false,Rx,0,7,03,FF,0F,00,00,4E,81,00,
1254567716,0000019E,false,Rx,0,8,00,EA,6F,FC,FE,61,00,57,
1254567941,000001A0,false,Rx,0,8,00,80,00,00,80,00,98,3B,
1254568166,000002B2,false,Rx,0,8,00,00,00,00,0F,80,00,04,
1254576145,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
1254576754,000000AA,false,Rx,0,8,62,34,FE,00,00,00,84,00,
1254576979,000000A8,false,Rx,0,8,FF,02,21,E0,21,1F,0F,04,
1254577204,000000A9,false,Rx,0,8,EB,02,79,DF,1D,C7,E0,21,
1254577437,000000BA,false,Rx,0,7,03,FF,0F,00,00,4F,82,00,
1254586004,000000B6,false,Rx,0,5,0A,0A,80,00,C8,00,00,00,
1254586232,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
1254586460,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1254586693,000000A8,false,Rx,0,8,00,03,21,E0,21,1F,0F,04,
1254586917,000000A9,false,Rx,0,8,EC,03,79,DF,1D,C7,E0,21,
1254587143,000000AA,false,Rx,0,8,64,36,FE,00,00,00,84,00,
1254587375,000000BA,false,Rx,0,7,03,FF,0F,00,00,50,83,00,
1254587604,0000019E,false,Rx,0,8,00,EA,6F,FC,FE,61,00,57,
1254587829,000001A0,false,Rx,0,8,00,80,00,00,80,00,A8,4B,
1254588240,000002B2,false,Rx,0,8,00,00,00,00,0F,80,00,04,
1254588470,000001A6,false,Rx,0,8,00,00,00,00,00,00,F0,F6,
1254588734,000000C8,false,Rx,0,6,3E,03,7C,00,00,1C,00,00,
1254588739,00000374,false,Rx,0,5,00,00,00,00,FC,00,00,00,
1254590480,000001D2,false,Rx,0,5,E1,0C,8F,90,F0,00,00,00,
1254596150,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
1254596381,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
1254596611,000000AA,false,Rx,0,8,66,38,FE,00,00,00,84,00,
1254596836,000000A8,false,Rx,0,8,02,04,21,E0,21,1F,0F,04,
1254597247,000000A9,false,Rx,0,8,ED,04,79,DF,1D,C7,E0,21,
1254597484,000000BA,false,Rx,0,7,03,FF,0F,00,00,51,84,00,
1254605994,000000B6,false,Rx,0,5,0B,0B,80,00,C8,00,00,00,
1254606223,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
1254606450,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1254606682,000000A8,false,Rx,0,8,03,05,21,E0,21,1F,0F,04,
1254606907,000000A9,false,Rx,0,8,EE,05,79,DF,1D,C7,E0,21,
1254607317,000000AA,false,Rx,0,8,68,3A,FE,00,00,00,84,00,
1254607551,000000BA,false,Rx,0,7,03,FF,0F,00,00,52,85,00,
1254607777,0000019E,false,Rx,0,8,00,EA,6F,FC,FE,61,00,57,
1254608001,000001A0,false,Rx,0,8,00,80,00,00,80,00,B8,5B,
1254608226,000002B2,false,Rx,0,8,00,00,00,00,0F,80,00,04,
1254616168,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
1254616601,000000AA,false,Rx,0,8,6A,3C,FE,00,00,00,84,00,
1254617011,000000A8,false,Rx,0,8,04,06,21,E0,21,1F,0F,04,
1254617236,000000A9,false,Rx,0,8,EF,06,79,DF,1D,C7,E0,21,
1254617467,000000BA,false,Rx,0,7,03,FF,0F,00,00,53,86,00,
1254623223,00000497,false,Rx,0,8,29,52,FF,FF,FF,FF,FF,FF,
1254626003,000000B6,false,Rx,0,5,0C,0C,80,00,C8,00,00,00,
1254626229,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
1254626650,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1254626875,000000A8,false,Rx,0,8,05,07,21,E0,21,1F,0F,04,
1254627100,000000A9,false,Rx,0,8,F0,07,79,DF,1D,C7,E0,21,
1254627326,000000AA,false,Rx,0,8,6C,3E,FE,00,00,00,84,00,
1254627567,000000BA,false,Rx,0,7,03,FF,0F,00,00,54,87,00,
1254627792,0000019E,false,Rx,0,8,00,EA,6F,FC,FE,61,00,57,
1254628017,000001A0,false,Rx,0,8,00,80,00,00,80,00,C8,6B,
1254628242,000002B2,false,Rx,0,8,00,00,00,00,0F,80,00,04,
1254636002,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
1254636611,000000AA,false,Rx,0,8,5E,30,FE,00,00,00,84,00,
1254636836,000000A8,false,Rx,0,8,06,08,21,E0,21,1F,0F,04,
1254637247,000000A9,false,Rx,0,8,F1,08,79,DF,1D,C7,E0,21,
1254637484,000000BA,false,Rx,0,7,03,FF,0F,00,00,55,88,00,
1254645819,00000332,false,Rx,0,2,61,82,00,00,00,00,00,00,
1254646047,000000B6,false,Rx,0,5,0D,0D,80,00,C8,00,00,00,
1254646272,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
1254646511,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1254646736,0000019E,false,Rx,0,8,00,EA,7F,FC,FE,61,00,67,
1254646961,000001A0,false,Rx,0,8,00,80,00,00,80,00,D8,7B,
1254647187,000001D0,false,Rx,0,8,3C,76,0B,C3,00,00,CD,82,
1254647416,000002B2,false,Rx,0,8,00,00,00,00,0F,80,00,04,
1254647648,000000BA,false,Rx,0,7,03,FF,0F,00,00,56,89,00,
1254647873,00000332,false,Rx,0,2,61,82,00,00,00,00,00,00,
1254648097,000000A9,false,Rx,0,8,F2,09,79,DF,1D,C7,E0,21,
1254648322,000000A8,false,Rx,0,8,07,09,21,E0,21,1F,0F,04,
1254648596,000000AA,false,Rx,0,8,60,32,FE,00,00,00,84,00,
1254648601,00000332,false,Rx,0,2,61,82,00,00,00,00,00,00,
1254655982,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
1254656778,000000AA,false,Rx,0,8,62,34,FE,00,00,00,84,00,
1254657004,000000A8,false,Rx,0,8,08,0A,21,E0,21,1F,0F,04,
1254657229,000000A9,false,Rx,0,8,F3,0A,79,DF,1D,C7,E0,21,
1254657461,000000BA,false,Rx,0,7,03,FF,0F,00,00,57,8A,00,
1254659187,000001B5,false,Rx,0,7,C8,FF,04,00,88,FF,FF,00,
1254659982,00000130,false,Rx,0,5,00,0D,D0,0F,DD,00,00,00,
1254666044,000000B6,false,Rx,0,5,0E,0E,80,00,C8,00,00,00,
1254666304,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
1254666551,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
