Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5070736,00000423,false,Rx,0,8,07,1D,00,02,B2,80,B2,D8,
5136280,00000377,false,Rx,0,8,00,00,00,00,28,28,28,20,
5146233,0000038A,false,Rx,0,8,45,41,00,00,04,00,00,00,
5156300,00000377,false,Rx,0,8,00,00,00,00,28,28,28,20,
5166242,00000389,false,Rx,0,8,BD,00,00,41,41,00,00,00,
5170628,00000423,false,Rx,0,8,07,1D,00,02,B2,80,B2,D8,
5176355,00000377,false,Rx,0,8,04,8F,00,00,43,45,41,20,
5186274,00000569,false,Rx,0,8,0A,00,00,00,00,00,00,00,
5196184,00000377,false,Rx,0,8,04,99,00,00,43,45,41,20,
5206334,00000568,false,Rx,0,8,00,02,80,00,00,00,08,80,
5216216,00000377,false,Rx,0,8,04,A1,00,00,43,45,41,20,
5226191,00000563,false,Rx,0,8,00,00,00,0A,02,08,00,00,
5236268,00000377,false,Rx,0,8,04,A5,00,00,43,45,41,20,
5246377,0000038A,false,Rx,0,8,45,41,00,00,04,00,00,00,
5256251,00000377,false,Rx,0,8,04,A7,00,00,43,45,41,20,
5266359,00000389,false,Rx,0,8,BD,00,00,41,41,00,00,00,
5270744,00000423,false,Rx,0,8,07,1D,00,02,B2,80,B2,D8,
5276271,00000377,false,Rx,0,8,04,A9,00,00,43,45,41,20,
5280612,00000445,false,Rx,0,7,80,DF,AA,65,04,82,00,00,
5286215,00000664,false,Rx,0,8,01,83,06,32,F3,00,00,00,
5296294,00000377,false,Rx,0,8,04,A9,00,00,43,45,41,20,
5306262,00000663,false,Rx,0,8,00,39,34,38,31,41,30,31,
5316323,00000377,false,Rx,0,8,04,A9,00,00,43,45,41,20,
5336352,00000377,false,Rx,0,8,04,A9,00,00,43,45,41,20,
5346292,0000038A,false,Rx,0,8,45,41,00,00,04,00,00,00,
5356357,00000377,false,Rx,0,8,04,AB,00,00,43,45,41,20,
5366251,00000389,false,Rx,0,8,BD,00,00,41,41,00,00,00,
5370641,00000423,false,Rx,0,8,07,1D,00,02,B2,80,B2,D8,
5376371,00000377,false,Rx,0,8,04,AB,00,00,43,45,41,20,
5380527,00000445,false,Rx,0,7,80,DF,AA,65,04,82,00,00,
5386346,00000569,false,Rx,0,8,0A,00,00,00,00,00,00,00,
5396241,00000377,false,Rx,0,8,04,AB,00,00,43,45,41,20,
5406305,00000568,false,Rx,0,8,00,02,80,00,00,00,08,80,
5416254,00000377,false,Rx,0,8,04,AB,00,00,43,45,41,20,
5426365,00000563,false,Rx,0,8,00,00,00,0A,02,08,00,00,
5436366,00000377,false,Rx,0,8,04,AB,00,00,43,45,41,20,
5446325,0000038A,false,Rx,0,8,45,41,00,00,04,00,00,00,
5456192,00000377,false,Rx,0,8,04,A7,00,00,43,45,41,20,
5466275,00000389,false,Rx,0,8,BD,00,00,41,41,00,00,00,
5470668,00000423,false,Rx,0,8,07,1D,00,02,5D,80,5D,D8,
