Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
14090483,000000C4,false,Rx,0,7,8A,01,FC,00,00,FF,F1,00,
14090493,000001B5,false,Rx,0,7,C8,FF,04,00,88,FF,FF,00,
14090498,000000AA,false,Rx,0,8,5B,51,07,00,B8,0B,94,00,
14090504,000000A8,false,Rx,0,8,FE,01,21,E0,21,1F,0F,04,
14090509,000000A9,false,Rx,0,8,EA,01,79,DF,1D,C7,E0,21,
14090514,000000BA,false,Rx,0,7,03,FF,0F,00,00,4E,81,00,
14090519,000000B6,false,Rx,0,5,05,05,80,00,C8,00,00,00,
14090525,000000C4,false,Rx,0,7,8A,01,FC,00,00,FF,F1,00,
14090530,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
14090535,0000019E,false,Rx,0,8,00,E0,5F,FC,FE,00,00,DB,
14090540,000001A0,false,Rx,0,8,00,80,00,10,00,17,50,99,
14090546,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
14090551,000000AA,false,Rx,0,8,5C,52,07,00,B8,0B,94,00,
14090556,000000A8,false,Rx,0,8,FF,02,21,E0,21,1F,0F,04,
14090562,000000AA,false,Rx,0,8,67,5D,07,00,B8,0B,94,00,
14090567,000000A8,false,Rx,0,8,0B,0D,21,E0,21,1F,0F,04,
14090572,000000A9,false,Rx,0,8,F6,0D,79,DF,1D,C7,E0,21,
14090577,000000BA,false,Rx,0,7,03,FF,0F,00,00,5A,8D,00,
14090583,000001D2,false,Rx,0,5,E1,0C,8F,00,F0,00,00,00,
14090588,000000B6,false,Rx,0,5,0B,0B,80,00,C8,00,00,00,
14090593,000000C4,false,Rx,0,7,8A,01,FC,00,00,FF,F1,00,
14090598,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
14090603,0000019E,false,Rx,0,8,00,E0,6F,FC,FE,00,00,EB,
14090609,000001A0,false,Rx,0,8,00,80,00,30,00,17,B0,1A,
