Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2162789,000000B6,false,Rx,0,5,FF,00,80,00,C8,00,00,00,
2163018,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
2163243,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
2163469,0000019E,false,Rx,0,8,00,E8,9F,FC,FE,00,00,24,
2163699,000001A0,false,Rx,0,8,00,80,00,40,01,17,00,7A,
2163931,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
2166045,000000AA,false,Rx,0,8,66,5C,07,00,B8,0B,94,00,
2166270,000000A8,false,Rx,0,8,04,06,21,E0,21,1F,0F,04,
2166495,000000A9,false,Rx,0,8,EF,06,79,DF,1D,C7,E0,21,
2166755,000000BA,false,Rx,0,7,03,FF,0F,00,00,53,86,00,
2166760,000001FB,false,Rx,0,2,F5,FF,00,00,00,00,00,00,
2172826,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
2176047,000000AA,false,Rx,0,8,68,5E,07,00,B8,0B,94,00,
2176272,000000A8,false,Rx,0,8,05,07,21,E0,21,1F,0F,04,
2176498,000000A9,false,Rx,0,8,F0,07,79,DF,1D,C7,E0,21,
2176726,000000BA,false,Rx,0,7,03,FF,0F,00,00,54,87,00,
2182789,000000B6,false,Rx,0,5,00,01,80,00,C8,00,00,00,
2183018,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
2183243,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
2183469,0000019E,false,Rx,0,8,00,E8,9F,FC,FE,00,00,24,
2183697,000001A0,false,Rx,0,8,00,80,00,60,01,14,10,A7,
2183929,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
2184154,000000C8,false,Rx,0,6,38,08,CC,00,00,EC,00,00,
2186068,000000AA,false,Rx,0,8,5A,50,07,00,B8,0B,94,00,
2186293,000000A8,false,Rx,0,8,06,08,21,E0,21,1F,0F,04,
2186517,000000A9,false,Rx,0,8,F1,08,79,DF,1D,C7,E0,21,
2186748,000000BA,false,Rx,0,7,03,FF,0F,00,00,55,88,00,
2190551,000001D0,false,Rx,0,8,3C,76,63,C3,9C,9E,CD,82,
2192856,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
2196090,000000AA,false,Rx,0,8,5C,52,07,00,B8,0B,94,00,
2196315,000000A8,false,Rx,0,8,07,09,21,E0,21,1F,0F,04,
2196540,000000A9,false,Rx,0,8,F2,09,79,DF,1D,C7,E0,21,
2196774,000000BA,false,Rx,0,7,03,FF,0F,00,00,56,89,00,
186688,000000B6,false,Rx,0,5,02,02,80,00,C8,00,00,00,
186922,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
187148,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
187373,0000019E,false,Rx,0,8,00,E8,9F,FC,FE,00,00,24,
187598,000001A0,false,Rx,0,8,00,80,00,60,01,14,20,B7,
