Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1021282110,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
1021289419,000001B5,false,Rx,0,7,C8,FF,04,00,88,FF,FF,00,
1021290559,000002FC,false,Rx,0,7,81,04,00,FF,FF,FF,FF,00,
1021301063,000002C0,false,Rx,0,3,60,81,FE,00,00,00,00,00,
1021303118,000002F8,false,Rx,0,8,FD,FD,FD,03,BF,E7,07,FC,
1021304454,00000330,false,Rx,0,8,70,48,06,00,FF,FF,9D,99,
1021313002,000003BE,false,Rx,0,2,6D,F0,00,00,00,00,00,00,
1021328925,00000130,false,Rx,0,5,00,E3,C0,3F,82,00,00,00,
1021343796,00000497,false,Rx,0,8,17,01,FF,FF,FF,FF,FF,FF,
1021371878,00000480,false,Rx,0,8,17,02,FD,FF,FF,FF,FF,FF,
1021378335,00000130,false,Rx,0,5,00,E3,C0,3F,93,00,00,00,
1021402504,000004A9,false,Rx,0,8,29,01,FF,FF,FF,FF,FF,FF,
1021412516,000000C4,false,Rx,0,7,98,FF,FD,00,00,FF,F1,00,
1021422536,000000B6,false,Rx,0,5,00,01,80,00,C8,00,00,00,
1021422761,000000C4,false,Rx,0,7,98,FF,FD,00,00,FF,F1,00,
1021422988,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1021423217,0000019E,false,Rx,0,8,00,EA,1F,FC,FE,61,FF,07,
1021423448,000001A0,false,Rx,0,8,00,80,00,00,80,00,18,BA,
1021423673,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
1021423896,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
1021432521,000000C4,false,Rx,0,7,98,FF,FD,00,00,FF,F1,00,
1021442365,000000B6,false,Rx,0,5,02,02,80,00,C8,00,00,00,
1021442589,000000C4,false,Rx,0,7,98,FF,FD,00,00,FF,F1,00,
1021442997,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1021443226,0000019E,false,Rx,0,8,00,EA,1F,FC,FE,61,FF,07,
1021443455,000001A0,false,Rx,0,8,00,80,00,00,80,00,28,CA,
1021443683,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
1021452508,000000C4,false,Rx,0,7,98,FF,FD,00,00,FF,F1,00,
1021462382,000000B6,false,Rx,0,5,03,03,80,00,C8,00,00,00,
1021462605,000000C4,false,Rx,0,7,98,FF,FD,00,00,FF,F1,00,
1021462829,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1021463053,0000019E,false,Rx,0,8,00,EA,1F,FC,FE,61,00,07,
1021463470,000001A0,false,Rx,0,8,00,80,00,00,80,00,38,DA,
1021463693,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
1021463917,00000497,false,Rx,0,8,29,02,FF,FF,FF,FF,FF,FF,
1021472545,000000C4,false,Rx,0,7,98,FF,FD,00,00,FF,F1,00,
1021473326,00000130,false,Rx,0,5,00,E3,C0,1F,74,00,00,00,
1021478498,00000130,false,Rx,0,5,00,E3,C0,1F,85,00,00,00,
1021482624,000000B6,false,Rx,0,5,04,04,80,00,C8,00,00,00,
1021482848,000000C4,false,Rx,0,7,98,FF,FD,00,00,FF,F1,00,
1021483070,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1021483302,0000019E,false,Rx,0,8,00,EA,1F,FC,FE,61,00,07,
1021483528,000001A0,false,Rx,0,8,00,80,00,00,80,00,48,EA,
1021483787,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
1021483792,000002A6,false,Rx,0,2,00,F8,00,00,00,00,00,00,
1021492593,000000C4,false,Rx,0,7,98,FF,FD,00,00,FF,F1,00,
1021502431,000000B6,false,Rx,0,5,05,05,80,00,C8,00,00,00,
1021502656,000000C4,false,Rx,0,7,98,FF,FD,00,00,FF,F1,00,
1021502880,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1021503104,0000019E,false,Rx,0,8,00,EA,1F,FC,FE,61,00,07,
1021503338,000001A0,false,Rx,0,8,00,80,00,00,80,00,58,FA,
1021503563,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
1021503971,000001A6,false,Rx,0,8,FF,FF,00,00,00,00,00,F0,
1021512593,000000C4,false,Rx,0,7,98,FF,FD,00,00,FF,F1,00,
1021512997,000003BE,false,Rx,0,2,6D,F0,00,00,00,00,00,00,
1021522469,000000B6,false,Rx,0,5,06,06,80,00,C8,00,00,00,
1021522694,000000C4,false,Rx,0,7,98,FF,FD,00,00,FF,F1,00,
1021522917,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1021523142,0000019E,false,Rx,0,8,00,EA,2F,FC,FE,61,00,17,
1021523558,000001A0,false,Rx,0,8,00,80,00,00,80,00,68,0B,
1021523815,000002B2,false,Rx,0,8,00,00,00,00,03,80,00,04,
1021523820,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
1021524043,00000330,false,Rx,0,8,70,48,06,FF,FF,FF,FD,FF,
1021532612,000000C4,false,Rx,0,7,98,FF,FD,00,00,FF,F1,00,
1021542450,000000B6,false,Rx,0,5,07,07,80,00,C8,00,00,00,
1021542686,000000C4,false,Rx,0,7,98,FF,FD,00,00,FF,F1,00,
1021542909,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1021543133,0000019E,false,Rx,0,8,00,EA,2F,FC,FE,61,00,17,
1021543366,000001A0,false,Rx,0,8,00,80,00,00,80,00,78,1B,
1021543773,000002B2,false,Rx,0,8,00,00,00,00,0F,80,00,04,
1021552429,000000C4,false,Rx,0,7,98,FF,FD,00,00,FF,F1,00,
1021562413,000000B6,false,Rx,0,5,08,08,80,00,C8,00,00,00,
1021562637,000000C4,false,Rx,0,7,98,FF,FD,00,00,FF,F1,00,
1021563045,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1021563273,0000019E,false,Rx,0,8,00,EA,2F,FC,FE,61,00,17,
1021563504,000001A0,false,Rx,0,8,00,80,00,00,80,00,88,2B,
1021563728,000002B2,false,Rx,0,8,00,00,00,00,0F,80,00,04,
1021563956,000004A9,false,Rx,0,8,17,12,FF,FF,FF,FF,FF,FF,
1021572019,00000480,false,Rx,0,8,17,01,FD,FF,FF,FF,FF,FF,
1021572614,000000C4,false,Rx,0,7,98,FF,FD,00,00,FF,F1,00,
1021578392,00000130,false,Rx,0,5,00,E3,C0,1F,96,00,00,00,
1021582481,000000B6,false,Rx,0,5,09,09,80,00,C8,00,00,00,
1021582706,000000C4,false,Rx,0,7,98,FF,FD,00,00,FF,F1,00,
1021582929,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1021583155,0000019E,false,Rx,0,8,00,EA,2F,FC,FE,61,00,17,
1021583387,000001A0,false,Rx,0,8,00,80,00,00,80,00,98,3B,
1021583795,000002B2,false,Rx,0,8,00,00,00,00,0F,80,00,04,
1021592603,000000C4,false,Rx,0,7,98,FF,FD,00,00,FF,F1,00,
1021602418,000000B6,false,Rx,0,5,0A,0A,80,00,C8,00,00,00,
1021602643,000000C4,false,Rx,0,7,98,FF,FD,00,00,FF,F1,00,
