Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
26598602,000001D0,false,Rx,0,8,3C,77,6D,C3,9C,9E,CD,82,
26601063,000000B6,false,Rx,0,5,FF,00,80,00,C8,00,00,00,
26601308,000000C4,false,Rx,0,7,EF,FD,FC,00,00,FF,F1,00,
26601542,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
26601794,0000019E,false,Rx,0,8,00,E0,DF,FC,FE,00,00,5C,
26602014,000001A0,false,Rx,0,8,00,80,00,F0,FF,00,00,13,
26602244,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
26603918,000000AA,false,Rx,0,8,5B,51,07,00,B8,0B,94,00,
26604327,000000A8,false,Rx,0,8,FE,01,21,E0,21,1F,0F,04,
26604547,000000A9,false,Rx,0,8,EA,01,79,DF,1D,C7,E0,21,
26604768,000000BA,false,Rx,0,7,08,FF,0F,00,00,53,81,00,
26611007,000000C4,false,Rx,0,7,EF,FD,FC,00,00,FF,F1,00,
26611238,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
26614006,000000AA,false,Rx,0,8,5C,52,07,00,B8,0B,94,00,
26614238,000000A8,false,Rx,0,8,FF,02,21,E0,21,1F,0F,04,
26614458,000000A9,false,Rx,0,8,EB,02,79,DF,1D,C7,E0,21,
26614678,000000BA,false,Rx,0,7,08,FF,0F,00,00,54,82,00,
26621129,000000B6,false,Rx,0,5,00,01,80,00,C8,00,00,00,
26621382,000000C4,false,Rx,0,7,EF,FD,FC,00,00,FF,F1,00,
26621617,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
26621838,0000019E,false,Rx,0,8,00,E0,EF,FC,FE,00,00,6C,
26622058,000001A0,false,Rx,0,8,00,80,00,D0,FF,00,10,02,
26622288,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
26623964,000000AA,false,Rx,0,8,5D,53,07,00,B8,0B,94,00,
26624186,000000A8,false,Rx,0,8,00,03,21,E0,21,1F,0F,04,
26624413,000000A9,false,Rx,0,8,EC,03,79,DF,1D,C7,E0,21,
26624634,000000BA,false,Rx,0,7,08,FF,0F,00,00,55,83,00,
26631061,000000C4,false,Rx,0,7,EF,FD,FC,00,00,FF,F1,00,
26634022,000000AA,false,Rx,0,8,5E,54,07,00,B8,0B,94,00,
26634252,000000A8,false,Rx,0,8,02,04,21,E0,21,1F,0F,04,
26634473,000000A9,false,Rx,0,8,ED,04,79,DF,1D,C7,E0,21,
26634693,000000BA,false,Rx,0,7,08,FF,0F,00,00,56,84,00,
26641094,000000B6,false,Rx,0,5,02,02,80,00,C8,00,00,00,
26641325,000000C4,false,Rx,0,7,EF,FD,FC,00,00,FF,F1,00,
26641545,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
26641771,0000019E,false,Rx,0,8,00,E0,EF,FC,FE,00,00,6C,
26642000,000001A0,false,Rx,0,8,00,80,00,F0,FF,00,20,33,
26642222,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
26643952,000000AA,false,Rx,0,8,5F,55,07,00,B8,0B,94,00,
26644174,000000A8,false,Rx,0,8,03,05,21,E0,21,1F,0F,04,
26644402,000000A9,false,Rx,0,8,EE,05,79,DF,1D,C7,E0,21,
