Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
39423424,00000377,false,Rx,0,8,05,9D,03,3E,3E,3C,3F,22,
39423869,00000398,false,Rx,0,8,00,00,00,39,38,00,09,00,
39426161,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
39427851,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
39427857,00000423,false,Rx,0,8,07,1D,00,02,5D,80,5D,D8,
39428106,00000358,false,Rx,0,8,89,36,62,01,8E,01,00,00,
39428332,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
39438246,00000155,false,Rx,0,8,57,47,C0,54,55,48,02,C6,
39438471,00000424,false,Rx,0,8,11,40,56,82,3D,6C,55,3F,
39438705,00000425,false,Rx,0,8,24,BA,44,9C,42,1C,ED,0C,
39443251,00000377,false,Rx,0,8,05,9D,03,3E,3E,3C,3F,22,
39447898,00000445,false,Rx,0,7,80,55,55,65,04,82,00,00,
39448133,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
39453442,0000038A,false,Rx,0,8,3C,3B,01,00,04,00,00,00,
39458131,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
39463256,00000377,false,Rx,0,8,05,9D,03,3E,3E,3C,3F,22,
39468143,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
39473334,00000389,false,Rx,0,8,B1,00,00,3B,3B,40,00,00,
39478284,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C8,
39483408,00000377,false,Rx,0,8,05,9D,03,3E,3E,3C,3F,22,
39488323,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C5,
39493381,00000569,false,Rx,0,8,AA,C0,80,02,00,00,00,00,
39498312,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C7,
39503425,00000377,false,Rx,0,8,05,9D,03,3E,3E,3C,3F,22,
39508100,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C7,
39513302,00000568,false,Rx,0,8,00,02,80,0A,00,00,A8,AA,
39518247,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C7,
39523290,00000377,false,Rx,0,8,05,9D,03,3E,3E,3C,3F,22,
39523900,00000398,false,Rx,0,8,00,00,00,39,38,00,09,00,
39526197,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
39526422,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
39528269,00000423,false,Rx,0,8,07,1D,00,02,5D,80,5D,D8,
39528275,00000358,false,Rx,0,8,89,36,62,01,8E,01,00,00,
39528281,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C7,
39533323,00000563,false,Rx,0,8,AA,AA,AA,AA,82,2A,00,00,
39538103,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C7,
39538335,00000424,false,Rx,0,8,11,40,56,82,3D,6C,55,3F,
39538576,00000425,false,Rx,0,8,24,BA,44,9C,42,1C,ED,0C,
39543312,00000377,false,Rx,0,8,05,9D,03,3E,3E,3C,3F,22,
39548418,00000445,false,Rx,0,7,80,55,55,65,04,82,00,00,
39548424,00000155,false,Rx,0,8,57,47,C0,54,55,48,02,C4,
39553436,0000038A,false,Rx,0,8,3C,3B,01,00,04,00,00,00,
39558178,00000155,false,Rx,0,8,57,47,C0,54,55,48,02,C5,
39563287,00000377,false,Rx,0,8,05,9D,03,3E,3E,3C,3F,22,
39568510,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C5,
39573338,00000389,false,Rx,0,8,B1,00,00,3B,3B,40,00,00,
39578281,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
39583402,00000377,false,Rx,0,8,05,9D,03,3E,3E,3C,3F,22,
39588656,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
39598224,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
39603341,00000377,false,Rx,0,8,05,9D,03,3E,3E,3C,3F,22,
39608771,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
39618140,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
39623318,00000377,false,Rx,0,8,05,9D,03,3E,3E,3C,3F,22,
39623937,00000398,false,Rx,0,8,00,00,00,39,38,00,09,00,
39626232,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
39626458,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
39628936,00000423,false,Rx,0,8,07,1D,00,02,5D,80,5D,D8,
39628943,00000358,false,Rx,0,8,89,36,62,01,8E,01,00,00,
39628949,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
39638235,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
39638537,00000424,false,Rx,0,8,11,40,56,82,3D,6C,55,3F,
39638543,00000425,false,Rx,0,8,24,BA,44,9C,42,1C,ED,0C,
39643281,00000377,false,Rx,0,8,05,9D,03,3E,3E,3C,3F,22,
39647276,00000445,false,Rx,0,7,80,55,55,65,04,82,00,00,
39648932,00000155,false,Rx,0,8,57,47,C0,54,55,48,02,C6,
39653384,0000038A,false,Rx,0,8,3C,3B,01,00,04,00,00,00,
39658164,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
39663282,00000377,false,Rx,0,8,05,9D,03,3E,3E,3C,3F,22,
39669116,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C6,
39673386,00000389,false,Rx,0,8,B1,00,00,3B,3B,40,00,00,
39678137,00000155,false,Rx,0,8,57,47,C1,54,55,48,02,C4,
