Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
71818693,00000358,false,Rx,0,8,89,32,00,00,8E,01,00,00,
71868631,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
71868865,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
71918601,00000358,false,Rx,0,8,89,32,00,00,8E,01,00,00,
71968626,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
71968862,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
71986631,000007DF,false,Rx,0,8,03,2A,07,D2,55,55,55,55,
71986921,000007E8,false,Rx,0,8,07,6A,07,D2,00,00,00,00,
72018715,00000358,false,Rx,0,8,89,32,00,00,8E,01,00,00,
72068695,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
72068878,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
72118690,00000358,false,Rx,0,8,89,32,00,00,8E,01,00,00,
72168636,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
72168863,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
72218603,00000358,false,Rx,0,8,89,32,00,00,8E,01,00,00,
72268663,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
72268867,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
72318596,00000358,false,Rx,0,8,89,32,00,00,8E,01,00,00,
72368720,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
72368850,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
72418594,00000358,false,Rx,0,8,89,32,00,00,8E,01,00,00,
72468612,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
72468855,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
72518626,00000358,false,Rx,0,8,89,32,00,00,8E,01,00,00,
72568611,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
72568856,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
72618632,00000358,false,Rx,0,8,89,32,00,00,8E,01,00,00,
72668740,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
72668852,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
72718592,00000358,false,Rx,0,8,89,32,00,00,8E,01,00,00,
72768657,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
72768852,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
72818587,00000358,false,Rx,0,8,89,32,00,00,8E,01,00,00,
72868721,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
72868853,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
72918541,00000358,false,Rx,0,8,89,32,00,00,8E,01,00,00,
72968663,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
72968837,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
73018667,00000358,false,Rx,0,8,89,32,00,00,8E,01,00,00,
73068614,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
73068834,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
73118606,00000358,false,Rx,0,8,89,32,00,00,8E,01,00,00,
73168652,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
73168830,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
73218527,00000358,false,Rx,0,8,89,32,00,00,8E,01,00,00,
73268682,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
73268845,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
73318514,00000358,false,Rx,0,8,89,32,00,00,8E,01,00,00,
73368713,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
73368817,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
73418510,00000358,false,Rx,0,8,89,32,00,00,8E,01,00,00,
73468640,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
73468821,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
73518570,00000358,false,Rx,0,8,89,32,00,00,8E,01,00,00,
73568636,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
73568822,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
73618647,00000358,false,Rx,0,8,89,32,00,00,8E,01,00,00,
73668706,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
73668827,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
73718526,00000358,false,Rx,0,8,89,32,00,00,8E,01,00,00,
73768663,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
73768821,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
73818519,00000358,false,Rx,0,8,89,32,00,00,8E,01,00,00,
73868733,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
73868828,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
73918515,00000358,false,Rx,0,8,89,32,00,00,8E,01,00,00,
