Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
16500627,00000135,false,Rx,0,2,F5,FF,00,00,00,00,00,00,
16503622,000000C8,false,Rx,0,6,46,FF,4C,00,00,5C,00,00,
16509667,000000D7,false,Rx,0,2,5F,FF,00,00,00,00,00,00,
16513456,000000C0,false,Rx,0,2,F0,FF,00,00,00,00,00,00,
16514389,00000349,false,Rx,0,5,12,0C,70,0A,00,00,00,00,
16519031,000001D0,false,Rx,0,8,3C,76,6A,C3,9C,9E,CD,82,
-1726,00000130,false,Rx,0,5,45,43,21,8F,FE,00,00,00,
-719,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
3456,000004C0,false,Rx,0,8,41,42,FF,01,00,01,EC,00,
17569,000001E7,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
22932,000001B4,false,Rx,0,8,00,D0,E2,F7,04,32,FE,96,
51354,000001D2,false,Rx,0,5,D2,0C,8F,50,F0,00,00,00,
52587,000001A6,false,Rx,0,8,00,00,00,00,00,00,D8,FB,
61003,000000AA,false,Rx,0,8,64,5A,07,00,B8,0B,94,00,
62198,000000A8,false,Rx,0,8,08,0A,21,E0,21,1F,0F,04,
62879,00000304,false,Rx,0,2,F2,FF,00,00,00,00,00,00,
66077,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
67282,000001A0,false,Rx,0,8,00,80,00,B0,00,14,90,77,
93357,000004C1,false,Rx,0,8,56,52,FE,01,FF,FF,FF,FF,
95024,000001D0,false,Rx,0,8,3C,76,6A,C3,9C,9E,CD,82,
98480,00000130,false,Rx,0,5,45,43,21,8F,00,00,00,00,
99486,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
117580,000001E7,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
123285,000001B4,false,Rx,0,8,00,D0,E2,F8,04,32,FE,97,
152019,000001A6,false,Rx,0,8,00,00,00,00,00,00,68,FD,
155942,000000C4,false,Rx,0,7,46,FF,FC,00,00,FF,F1,00,
157166,00000581,false,Rx,0,8,40,4D,00,29,FF,FF,FF,FF,
161033,000000AA,false,Rx,0,8,5F,55,07,00,B8,0B,94,00,
162228,000000A8,false,Rx,0,8,03,05,21,E0,21,1F,0F,04,
162909,000001FB,false,Rx,0,2,F5,FF,00,00,00,00,00,00,
166096,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
167301,0000019E,false,Rx,0,8,00,E0,6F,FC,FE,00,00,EB,
168524,000001A0,false,Rx,0,8,00,80,00,B0,00,14,E0,C7,
178357,000004D6,false,Rx,0,8,60,42,FF,FF,FF,FF,FF,FF,
179684,000000C8,false,Rx,0,6,46,FF,9C,00,00,5C,00,00,
185636,000000D7,false,Rx,0,2,60,FF,00,00,00,00,00,00,
189517,000000C0,false,Rx,0,2,F1,FF,00,00,00,00,00,00,
190440,00000349,false,Rx,0,5,15,0C,70,0A,00,00,00,00,
195019,000001D0,false,Rx,0,8,3C,76,6B,C3,9C,9E,CD,82,
198229,00000130,false,Rx,0,5,45,43,21,8F,11,00,00,00,
199276,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
217576,000001E7,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
222928,000001B4,false,Rx,0,8,00,D0,E2,F9,04,32,FE,98,
251383,000001D2,false,Rx,0,5,D2,0C,8F,60,F0,00,00,00,
252617,000001A6,false,Rx,0,8,00,00,00,00,00,00,F8,FE,
261065,000000AA,false,Rx,0,8,5A,50,07,00,B8,0B,94,00,
262269,000000A8,false,Rx,0,8,FD,00,21,E0,21,1F,0F,04,
263472,000004E0,false,Rx,0,8,63,42,FF,01,FF,FF,FF,FF,
266117,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
267332,000001A0,false,Rx,0,8,00,80,00,B0,00,18,40,2B,
295019,000001D0,false,Rx,0,8,3C,76,6B,C3,9C,9E,CD,82,
298425,00000130,false,Rx,0,5,45,43,21,8F,22,00,00,00,
299443,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
311982,000005A9,false,Rx,0,8,40,47,00,39,FF,FF,FF,FF,
317554,000001E7,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
323147,000001B4,false,Rx,0,8,00,D0,E2,FA,04,32,FE,99,
332139,000001EE,false,Rx,0,2,00,FF,00,00,00,00,00,00,
332815,000003B0,false,Rx,0,2,FE,FF,00,00,00,00,00,00,
351974,000001A6,false,Rx,0,8,00,00,00,00,00,00,88,F0,
352849,000001FB,false,Rx,0,2,F6,FF,00,00,00,00,00,00,
355977,000000C4,false,Rx,0,7,46,FF,FC,00,00,FF,F1,00,
360782,000004E3,false,Rx,0,8,72,42,FD,01,FF,FF,FF,FF,
361943,000000AA,false,Rx,0,8,64,5A,07,00,B8,0B,94,00,
