Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
8000764,000001A0,false,Rx,0,8,00,80,00,B0,00,14,A0,87,
8020009,000001D0,false,Rx,0,8,3C,76,64,C3,9C,9E,CD,82,
8023715,00000130,false,Rx,0,5,45,43,21,8F,33,00,00,00,
8026324,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
8043822,000001E7,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
8049352,000001B4,false,Rx,0,8,00,D0,E2,FB,04,32,FE,9A,
8077899,000001A6,false,Rx,0,8,00,00,00,00,00,00,08,FC,
8089410,000000C4,false,Rx,0,7,46,FF,FC,00,00,FF,F1,00,
8090066,000002CA,false,Rx,0,2,93,FF,00,00,00,00,00,00,
8091293,00000481,false,Rx,0,8,40,42,FF,01,FF,FF,FF,FF,
8094493,000000AA,false,Rx,0,8,5F,55,07,00,B8,0B,94,00,
8095706,000000A8,false,Rx,0,8,03,05,21,E0,21,1F,0F,04,
8098827,000005C0,false,Rx,0,8,04,00,32,FF,FF,FF,F0,FF,
8100092,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
8101296,0000019E,false,Rx,0,8,00,E0,6F,FC,FE,00,00,EB,
8102524,000001A0,false,Rx,0,8,00,80,00,B0,00,14,00,E6,
8103195,000001FB,false,Rx,0,2,F9,FF,00,00,00,00,00,00,
8106570,000000C8,false,Rx,0,6,46,FF,9C,00,00,5C,00,00,
8109734,000000D7,false,Rx,0,2,1E,FF,00,00,00,00,00,00,
8120010,000001D0,false,Rx,0,8,3C,76,65,C3,9C,9E,CD,82,
92805,00000130,false,Rx,0,5,45,43,21,8F,44,00,00,00,
93493,000000C0,false,Rx,0,2,FA,FF,00,00,00,00,00,00,
94412,00000349,false,Rx,0,5,18,0C,73,0A,00,00,00,00,
96224,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
113822,000001E7,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
119102,000001B4,false,Rx,0,8,00,D0,E2,FC,04,32,FE,9B,
146052,000001D2,false,Rx,0,5,D2,0C,8F,30,F0,00,00,00,
148059,000001A6,false,Rx,0,8,00,00,00,00,00,00,98,FD,
158255,000004C0,false,Rx,0,8,41,42,FF,01,00,01,EC,00,
164491,000000AA,false,Rx,0,8,5A,50,07,00,B8,0B,94,00,
165693,000000A8,false,Rx,0,8,FD,00,21,E0,21,1F,0F,04,
166376,00000304,false,Rx,0,2,F2,FF,00,00,00,00,00,00,
169564,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
170789,000001A0,false,Rx,0,8,00,80,00,B0,00,14,50,37,
190003,000001D0,false,Rx,0,8,3C,76,65,C3,9C,9E,CD,82,
193046,00000130,false,Rx,0,5,45,43,21,8F,55,00,00,00,
196399,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
213858,000001E7,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
219470,000001B4,false,Rx,0,8,00,D0,E2,FD,04,32,FE,9C,
247871,000001A6,false,Rx,0,8,00,00,00,00,00,00,28,FF,
259434,000000C4,false,Rx,0,7,46,FF,FC,00,00,FF,F1,00,
260649,000004C1,false,Rx,0,8,56,52,FE,01,FF,FF,FF,FF,
261331,000001FB,false,Rx,0,2,FA,FF,00,00,00,00,00,00,
264519,000000AA,false,Rx,0,8,64,5A,07,00,B8,0B,94,00,
265702,000000A8,false,Rx,0,8,08,0A,21,E0,21,1F,0F,04,
269600,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
270803,0000019E,false,Rx,0,8,00,E0,7F,FC,FE,00,00,FB,
272037,000001A0,false,Rx,0,8,00,80,00,B0,00,14,A0,87,
276544,000000C8,false,Rx,0,6,46,FF,EC,00,00,5C,00,00,
279700,000000D7,false,Rx,0,2,1F,FF,00,00,00,00,00,00,
289984,000001D0,false,Rx,0,8,3C,76,66,C3,9C,9E,CD,82,
292790,00000130,false,Rx,0,5,45,43,21,8F,76,00,00,00,
293489,000000C0,false,Rx,0,2,FB,FF,00,00,00,00,00,00,
294396,00000349,false,Rx,0,5,16,0C,75,0A,00,00,00,00,
296187,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
306272,000002BA,false,Rx,0,5,00,00,00,00,10,00,00,00,
313823,000001E7,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
319103,000001B4,false,Rx,0,8,00,D0,E2,FE,04,32,FE,9D,
346075,000001D2,false,Rx,0,5,D2,0C,8F,40,F0,00,00,00,
348020,000001A6,false,Rx,0,8,00,00,00,00,00,00,B8,F0,
