Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
6796889,000001D0,false,Rx,0,8,3C,76,61,C3,9C,9E,CD,82,
6800266,000001A0,false,Rx,0,8,00,80,00,C0,00,14,40,37,
6801519,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
6807574,000001A6,false,Rx,0,8,00,00,00,00,00,00,80,F9,
6816483,000004D6,false,Rx,0,8,60,42,FF,FF,FF,FF,FF,FF,
6835249,000001B4,false,Rx,0,8,00,D0,E2,FA,04,32,FE,99,
6850388,000001E7,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
6853003,000001D2,false,Rx,0,5,D2,0C,8F,A0,F0,00,00,00,
6855911,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
6859066,00000130,false,Rx,0,5,45,43,21,8F,CB,00,00,00,
6860290,000000A8,false,Rx,0,8,04,06,21,E0,21,1F,0F,04,
6861462,000000AA,false,Rx,0,8,60,56,07,00,B8,0B,94,00,
6890177,000000C4,false,Rx,0,7,4A,FF,FC,00,00,FF,F1,00,
6896195,000000C8,false,Rx,0,6,4A,FF,5C,00,00,9C,00,00,
6897367,000001D0,false,Rx,0,8,3C,76,61,C3,9C,9E,CD,82,
6900293,000001A0,false,Rx,0,8,00,80,00,B0,00,18,90,7B,
6901495,0000019E,false,Rx,0,8,00,E0,7F,FC,FE,00,00,FB,
6902760,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
6907578,000001A6,false,Rx,0,8,00,00,00,00,00,00,10,FB,
6915213,000004E0,false,Rx,0,8,63,42,FF,01,FF,FF,FF,FF,
6921977,000001EE,false,Rx,0,2,00,FF,00,00,00,00,00,00,
6923766,000000C0,false,Rx,0,2,FB,FF,00,00,00,00,00,00,
6924680,00000349,false,Rx,0,5,8D,0A,78,0A,00,00,00,00,
6934999,000001B4,false,Rx,0,8,00,D0,E2,FB,04,32,FE,9A,
6940073,000002F6,false,Rx,0,2,54,F5,00,00,00,00,00,00,
6950379,000001E7,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
6955764,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
6958858,00000130,false,Rx,0,5,45,43,21,8F,DC,00,00,00,
6960277,000000A8,false,Rx,0,8,FE,01,21,E0,21,1F,0F,04,
6961449,000000AA,false,Rx,0,8,5B,51,07,00,B8,0B,94,00,
6973614,000000D7,false,Rx,0,2,74,FF,00,00,00,00,00,00,
6975785,000001FB,false,Rx,0,2,F0,FF,00,00,00,00,00,00,
6991947,00000335,false,Rx,0,8,00,2C,0F,00,00,9A,00,00,
6996867,000001D0,false,Rx,0,8,3C,76,62,C3,9C,9E,CD,82,
7000305,000001A0,false,Rx,0,8,00,80,00,B0,00,14,E0,C7,
7001561,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
7004381,000004E3,false,Rx,0,8,72,42,FD,01,FF,FF,FF,FF,
7007601,000001A6,false,Rx,0,8,00,00,00,00,00,00,A0,FC,
7034356,000000F2,false,Rx,0,8,F1,FF,87,C0,FF,FF,FF,FF,
7035530,000001B4,false,Rx,0,8,00,D0,E2,FC,04,32,FE,9B,
7050381,000001E7,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
7052915,000001D2,false,Rx,0,5,D2,0C,8F,B0,F0,00,00,00,
7055935,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
7059061,00000130,false,Rx,0,5,45,43,21,8F,ED,00,00,00,
7060315,000000A8,false,Rx,0,8,09,0B,21,E0,21,1F,0F,04,
7061488,000000AA,false,Rx,0,8,65,5B,07,00,B8,0B,94,00,
7081922,000006F1,false,Rx,0,8,78,03,30,16,01,02,58,00,
7083960,00000678,false,Rx,0,8,F1,10,11,70,16,01,CE,00,
7085330,000006F1,false,Rx,0,8,78,30,00,02,00,00,00,00,
7087882,00000678,false,Rx,0,8,F1,21,0F,91,93,25,26,26,
7090231,000000C4,false,Rx,0,7,4A,FF,FC,00,00,FF,F1,00,
7091948,00000678,false,Rx,0,8,F1,22,00,00,2F,03,00,00,
7094184,000004F2,false,Rx,0,8,78,42,FF,01,00,0D,02,00,
7096181,000000C8,false,Rx,0,6,4A,FF,AC,00,00,AC,00,00,
7097331,000001D0,false,Rx,0,8,3C,76,62,C3,9C,9E,CD,82,
7100328,000001A0,false,Rx,0,8,00,80,00,B0,00,18,40,2B,
7101541,0000019E,false,Rx,0,8,00,E0,8F,FC,FE,00,00,0C,
7102795,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
7107551,000001A6,false,Rx,0,8,00,00,00,00,00,00,30,FE,
7117931,00000328,false,Rx,0,6,C9,3B,1D,01,8C,24,00,00,
7123782,000000C0,false,Rx,0,2,FC,FF,00,00,00,00,00,00,
7124685,00000349,false,Rx,0,5,8E,0A,77,0A,00,00,00,00,
7134995,000001B4,false,Rx,0,8,00,D0,E2,FD,04,32,FE,9C,
7150371,000001E7,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
7155754,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
7158836,00000130,false,Rx,0,5,45,43,21,8F,FE,00,00,00,
7160318,000000A8,false,Rx,0,8,04,06,21,E0,21,1F,0F,04,
7161491,000000AA,false,Rx,0,8,60,56,07,00,B8,0B,94,00,
7166785,000001FB,false,Rx,0,2,F1,FF,00,00,00,00,00,00,
7173589,000000D7,false,Rx,0,2,75,FF,00,00,00,00,00,00,
7182951,000004F8,false,Rx,0,8,00,42,FF,FF,FF,FF,FF,FF,
7196865,000001D0,false,Rx,0,8,3C,76,63,C3,9C,9E,CD,82,
7200345,000001A0,false,Rx,0,8,00,80,00,90,00,14,90,57,
7201600,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
7207604,000001A6,false,Rx,0,8,00,00,00,00,00,00,C0,FF,
7210761,000001B5,false,Rx,0,6,00,FF,02,00,48,FF,00,00,
7235338,000001B4,false,Rx,0,8,00,D0,E2,FE,04,32,FE,9D,
7250382,000001E7,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
7251315,00000246,false,Rx,0,4,3F,FB,00,FF,00,00,00,00,
