Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1634112,0000019E,false,Rx,0,8,00,EA,BF,FC,FE,61,00,A7,
1634118,000001A0,false,Rx,0,8,00,80,00,00,80,00,B8,5B,
1634124,000002B2,false,Rx,0,8,00,00,00,00,0F,80,00,04,
1638398,000000AA,false,Rx,0,8,60,32,FE,00,00,00,84,00,
1638625,000000A8,false,Rx,0,8,07,09,21,E0,21,1F,0F,04,
1638859,000000A9,false,Rx,0,8,F2,09,79,DF,1D,C7,E0,21,
1639083,000000BA,false,Rx,0,7,03,FF,0F,00,00,56,89,00,
1641946,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
1648411,000000AA,false,Rx,0,8,62,34,FE,00,00,00,84,00,
1648636,000000A8,false,Rx,0,8,08,0A,21,E0,21,1F,0F,04,
1648875,000000A9,false,Rx,0,8,F3,0A,79,DF,1D,C7,E0,21,
1649100,000000BA,false,Rx,0,7,03,FF,0F,00,00,57,8A,00,
1651781,000000B6,false,Rx,0,5,0C,0C,80,00,C8,00,00,00,
1652012,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
1652422,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1654221,0000019E,false,Rx,0,8,00,EA,BF,FC,FE,61,00,A7,
1654228,000001A0,false,Rx,0,8,00,80,00,00,80,00,C8,6B,
1654233,000002B2,false,Rx,0,8,00,00,00,00,0F,80,00,04,
1658521,000000AA,false,Rx,0,8,64,36,FE,00,00,00,84,00,
1658755,000000A8,false,Rx,0,8,09,0B,21,E0,21,1F,0F,04,
1658988,000000A9,false,Rx,0,8,F4,0B,79,DF,1D,C7,E0,21,
1659213,000000BA,false,Rx,0,7,03,FF,0F,00,00,58,8B,00,
1661889,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
1664548,000001FB,false,Rx,0,2,F2,FF,00,00,00,00,00,00,
1668363,000000AA,false,Rx,0,8,66,38,FE,00,00,00,84,00,
1668588,000000A8,false,Rx,0,8,0A,0C,21,E0,21,1F,0F,04,
1668816,000000A9,false,Rx,0,8,F5,0C,79,DF,1D,C7,E0,21,
1669049,000000BA,false,Rx,0,7,03,FF,0F,00,00,59,8C,00,
1671720,000000B6,false,Rx,0,5,0D,0D,80,00,C8,00,00,00,
1671952,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
1672177,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1672402,0000019E,false,Rx,0,8,00,EA,CF,FC,FE,61,00,B7,
1674311,000001A0,false,Rx,0,8,00,80,00,00,80,00,D8,7B,
1674317,000002B2,false,Rx,0,8,00,00,00,00,0F,80,00,04,
1678390,000000AA,false,Rx,0,8,68,3A,FE,00,00,00,84,00,
1678617,000000A8,false,Rx,0,8,0B,0D,21,E0,21,1F,0F,04,
1678857,000000A9,false,Rx,0,8,F6,0D,79,DF,1D,C7,E0,21,
1679082,000000BA,false,Rx,0,7,03,FF,0F,00,00,5A,8D,00,
1681944,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
1683866,00000130,false,Rx,0,5,00,0E,D0,0F,43,00,00,00,
1688417,000000AA,false,Rx,0,8,6A,3C,FE,00,00,00,84,00,
1688643,000000A8,false,Rx,0,8,0C,0E,21,E0,21,1F,0F,04,
1688881,000000A9,false,Rx,0,8,F7,0E,79,DF,1D,C7,E0,21,
1689107,000000BA,false,Rx,0,7,03,FF,0F,00,00,5B,8E,00,
