Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
105707275,000000AA,false,Rx,0,8,64,36,FE,00,00,00,84,00,
105707503,000000A8,false,Rx,0,8,09,0B,21,E0,21,1F,0F,04,
105707732,000000A9,false,Rx,0,8,F4,0B,79,DF,1D,C7,E0,21,
105707965,000000BA,false,Rx,0,7,03,FF,0F,00,00,58,8B,00,
105709504,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
105711054,000001D2,false,Rx,0,5,E1,0C,8F,C0,F0,00,00,00,
105717194,000000AA,false,Rx,0,8,66,38,FE,00,00,00,84,00,
105717419,000000A8,false,Rx,0,8,0A,0C,21,E0,21,1F,0F,04,
105717644,000000A9,false,Rx,0,8,F5,0C,79,DF,1D,C7,E0,21,
105717883,000000BA,false,Rx,0,7,03,FF,0F,00,00,59,8C,00,
105719416,000000B6,false,Rx,0,5,0D,0D,80,00,C8,00,00,00,
105719640,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
105719879,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
105720105,0000019E,false,Rx,0,8,00,EA,3F,FC,FE,61,00,27,
105720329,000001A0,false,Rx,0,8,00,80,00,00,80,00,D8,7B,
105720767,000002B2,false,Rx,0,8,00,00,00,00,0F,80,00,04,
105727240,000000AA,false,Rx,0,8,68,3A,FE,00,00,00,84,00,
105727468,000000A8,false,Rx,0,8,0B,0D,21,E0,21,1F,0F,04,
105727694,000000A9,false,Rx,0,8,F6,0D,79,DF,1D,C7,E0,21,
105727930,000000BA,false,Rx,0,7,03,FF,0F,00,00,5A,8D,00,
105729468,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
105731579,00000480,false,Rx,0,8,17,42,FD,FF,FF,FF,FF,FF,
105732937,00000130,false,Rx,0,5,00,0E,D0,0F,76,00,00,00,
105737297,000000AA,false,Rx,0,8,6A,3C,FE,00,00,00,84,00,
105737521,000000A8,false,Rx,0,8,0C,0E,21,E0,21,1F,0F,04,
105737749,000000A9,false,Rx,0,8,F7,0E,79,DF,1D,C7,E0,21,
105737981,000000BA,false,Rx,0,7,03,FF,0F,00,00,5B,8E,00,
105739516,000000B6,false,Rx,0,5,0E,0E,80,00,C8,00,00,00,
105739746,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
105739978,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
105740203,0000019E,false,Rx,0,8,00,EA,3F,FC,FE,61,00,27,
105740614,000001A0,false,Rx,0,8,00,80,00,00,80,00,E8,8B,
105740849,000002B2,false,Rx,0,8,00,00,00,00,0F,80,00,04,
16124,000000AA,false,Rx,0,8,5E,30,FE,00,00,00,84,00,
16538,000000A8,false,Rx,0,8,FD,00,21,E0,21,1F,0F,04,
16765,000000A9,false,Rx,0,8,E9,00,79,DF,1D,C7,E0,21,
16997,000000BA,false,Rx,0,7,03,FF,0F,00,00,4D,80,00,
18532,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
26297,000000AA,false,Rx,0,8,60,32,FE,00,00,00,84,00,
26522,000000A8,false,Rx,0,8,FE,01,21,E0,21,1F,0F,04,
26749,000000A9,false,Rx,0,8,EA,01,79,DF,1D,C7,E0,21,
26981,000000BA,false,Rx,0,7,03,FF,0F,00,00,4E,81,00,
28514,000000B6,false,Rx,0,5,FF,00,80,00,C8,00,00,00,
28746,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
28977,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
29202,0000019E,false,Rx,0,8,00,EA,3F,FC,FE,61,00,27,
29427,000001A0,false,Rx,0,8,00,80,00,00,80,00,08,AA,
29653,000002B2,false,Rx,0,8,00,00,00,00,0F,80,00,04,
29892,000001A6,false,Rx,0,8,00,00,00,00,00,00,00,FE,
35512,00000332,false,Rx,0,2,61,82,00,00,00,00,00,00,
35519,00000332,false,Rx,0,2,61,82,00,00,00,00,00,00,
35788,000001D0,false,Rx,0,8,3C,76,08,C3,00,00,CD,82,
35793,00000332,false,Rx,0,2,61,82,00,00,00,00,00,00,
36211,000000AA,false,Rx,0,8,62,34,FE,00,00,00,84,00,
36436,000000A8,false,Rx,0,8,FF,02,21,E0,21,1F,0F,04,
36660,000000A9,false,Rx,0,8,EB,02,79,DF,1D,C7,E0,21,
36899,000000BA,false,Rx,0,7,03,FF,0F,00,00,4F,82,00,
38623,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
38861,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
46279,000000AA,false,Rx,0,8,64,36,FE,00,00,00,84,00,
46504,000000A8,false,Rx,0,8,00,03,21,E0,21,1F,0F,04,
46732,000000A9,false,Rx,0,8,EC,03,79,DF,1D,C7,E0,21,
46965,000000BA,false,Rx,0,7,03,FF,0F,00,00,50,83,00,
48505,000000B6,false,Rx,0,5,00,01,80,00,C8,00,00,00,
48735,000000C4,false,Rx,0,7,42,03,FC,00,00,FF,F1,00,
48978,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
