Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
64074,00000497,false,Rx,0,8,29,42,FF,FF,FF,FF,FF,FF,
64080,000000A8,false,Rx,0,8,AF,0D,02,00,02,F0,03,02,
64085,000000A9,false,Rx,0,8,E4,1D,6A,FF,15,6A,2F,05,
64090,000000AA,false,Rx,0,8,DB,0D,02,00,30,0D,80,64,
64095,000000B6,false,Rx,0,5,0C,0C,80,00,C8,00,00,00,
64100,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
64105,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
64110,0000019E,false,Rx,0,8,00,E0,9F,FC,FE,00,00,1C,
64115,000001A0,false,Rx,0,8,00,80,00,F0,FF,02,C0,D5,
64120,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
64126,000001A6,false,Rx,0,8,04,00,02,00,02,00,78,FC,
64131,000000A8,false,Rx,0,8,90,FE,01,F0,01,F0,03,02,
64136,000000A9,false,Rx,0,8,37,1E,6A,FF,15,6A,7F,06,
64141,000000AA,false,Rx,0,8,E4,0E,02,00,38,0D,80,64,
64146,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
64151,000001B6,false,Rx,0,7,00,FC,24,04,3D,A0,23,00,
64156,000000A8,false,Rx,0,8,82,F0,01,F0,01,F0,03,02,
64161,000000A9,false,Rx,0,8,19,10,6A,EF,15,6A,7F,06,
64173,000000AA,false,Rx,0,8,C6,F0,01,00,38,0D,80,64,
64178,00000200,false,Rx,0,8,42,81,C0,00,00,00,00,00,
64183,000000B6,false,Rx,0,5,0D,0D,80,00,C8,00,00,00,
64188,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
64193,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
64198,0000019E,false,Rx,0,8,00,E0,AF,FC,FE,00,00,2C,
64204,000001A0,false,Rx,0,8,00,80,00,50,00,00,D0,43,
64209,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
64214,000000A8,false,Rx,0,8,63,E1,01,E0,01,F0,03,02,
64219,000000A9,false,Rx,0,8,0A,11,6A,EF,15,6A,6F,06,
64224,000000AA,false,Rx,0,8,CB,F1,01,00,3C,0D,80,64,
64229,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
64234,000001B4,false,Rx,0,8,00,D0,E2,F3,04,32,FE,92,
64239,000000A8,false,Rx,0,8,64,E2,01,E0,01,F0,03,02,
64244,000000A9,false,Rx,0,8,0B,12,6A,EF,15,6A,6F,06,
64249,000000AA,false,Rx,0,8,BC,E2,01,00,3C,0D,80,64,
64255,000000B6,false,Rx,0,5,0E,0E,80,00,C8,00,00,00,
64260,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
64265,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
64270,0000019E,false,Rx,0,8,00,E0,AF,FC,FE,00,00,2C,
64275,000001A0,false,Rx,0,8,00,80,00,90,FF,02,E0,95,
64280,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
64285,000000A8,false,Rx,0,8,55,D3,01,E0,01,F0,03,02,
64292,000000A9,false,Rx,0,8,EB,13,6A,EF,15,6A,4F,06,
64297,000000AA,false,Rx,0,8,C1,E3,01,00,40,0D,80,64,
64302,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
64307,00000194,false,Rx,0,4,EF,FE,00,F0,00,00,00,00,
64312,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
64316,000002A6,false,Rx,0,2,00,FC,00,00,00,00,00,00,
64321,0000031A,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
64326,000000A8,false,Rx,0,8,56,D4,01,E0,01,F0,03,02,
64331,000000A9,false,Rx,0,8,EC,14,6A,EF,15,6A,4F,06,
64336,000000B6,false,Rx,0,5,FF,00,80,00,C8,00,00,00,
64341,000000AA,false,Rx,0,8,C2,E4,01,00,40,0D,80,64,
64346,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
64351,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
64356,0000019E,false,Rx,0,8,00,E0,AF,FC,FE,00,00,2C,
64361,000001A0,false,Rx,0,8,00,80,00,30,00,02,00,54,
64366,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
64372,00000130,false,Rx,0,5,45,43,21,8F,44,00,00,00,
64377,000000A8,false,Rx,0,8,87,F5,01,F0,01,F0,03,02,
64382,000000A9,false,Rx,0,8,0E,15,6A,EF,15,6A,6F,06,
64387,000000AA,false,Rx,0,8,B3,E5,01,00,30,0D,80,64,
64392,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
64397,000000A8,false,Rx,0,8,A8,06,02,00,02,F0,03,02,
64402,000000A9,false,Rx,0,8,2F,16,6A,FF,15,6A,7F,06,
179471,0000031A,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
179476,000000A8,false,Rx,0,8,3B,C9,01,D0,01,F0,03,02,
179481,000000A9,false,Rx,0,8,51,19,6A,FF,15,6A,9F,05,
179486,000000AA,false,Rx,0,8,B3,D9,01,00,3C,0D,80,64,
179492,000000B6,false,Rx,0,5,0A,0A,80,00,C8,00,00,00,
179496,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
179502,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
179507,0000019E,false,Rx,0,8,00,E0,BF,FC,FE,00,00,3C,
179512,000001A0,false,Rx,0,8,00,80,00,B0,FF,FF,AF,82,
179517,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
179522,00000130,false,Rx,0,5,45,43,21,8F,76,00,00,00,
179527,000000A8,false,Rx,0,8,3C,CA,01,D0,01,F0,03,02,
179532,000000A9,false,Rx,0,8,52,1A,6A,FF,15,6A,9F,05,
179537,000000AA,false,Rx,0,8,B4,DA,01,00,3C,0D,80,64,
179542,00000492,false,Rx,0,8,17,42,FF,FF,FF,FF,FF,FF,
179547,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
179552,000001B6,false,Rx,0,7,00,FC,27,04,3D,A0,23,00,
179558,000000A8,false,Rx,0,8,3D,CB,01,D0,01,F0,03,02,
179563,000000A9,false,Rx,0,8,63,1B,6A,FF,15,6A,AF,05,
179568,000000AA,false,Rx,0,8,B5,DB,01,00,3C,0D,80,64,
179573,000000B6,false,Rx,0,5,0B,0B,80,00,C8,00,00,00,
179578,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
179583,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
179588,0000019E,false,Rx,0,8,00,E0,BF,FC,FE,00,00,3C,
179593,000001A0,false,Rx,0,8,00,80,00,30,00,FF,BF,12,
179598,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
179603,000001D0,false,Rx,0,8,49,FF,6B,C3,A5,1C,CD,A8,
179608,000000A8,false,Rx,0,8,3E,CC,01,D0,01,F0,03,02,
179614,000000A9,false,Rx,0,8,64,1C,6A,FF,15,6A,AF,05,
179619,000000AA,false,Rx,0,8,B6,DC,01,00,3C,0D,80,64,
179624,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
179629,000000C8,false,Rx,0,6,1D,0A,5C,00,00,6C,00,00,
179634,000000A8,false,Rx,0,8,2F,CD,01,C0,01,F0,03,02,
179639,000000A9,false,Rx,0,8,65,1D,6A,FF,15,6A,AF,05,
179644,000000AA,false,Rx,0,8,B7,DD,01,00,3C,0D,80,64,
179649,000000B6,false,Rx,0,5,0C,0C,80,00,C8,00,00,00,
179654,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
179659,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
179664,0000019E,false,Rx,0,8,00,E0,BF,FC,FE,00,00,3C,
179669,000001A0,false,Rx,0,8,00,80,00,30,00,FF,CF,22,
179674,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
179680,000001A6,false,Rx,0,8,04,00,02,00,02,00,28,F1,
179685,000000A8,false,Rx,0,8,40,CE,01,D0,01,F0,03,02,
179690,000000A9,false,Rx,0,8,96,1E,6A,FF,15,6A,DF,05,
179695,000000AA,false,Rx,0,8,B4,DE,01,00,38,0D,80,64,
179700,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
179705,000000A8,false,Rx,0,8,32,C0,01,D0,01,F0,03,02,
179710,000000A9,false,Rx,0,8,88,10,6A,FF,15,6A,DF,05,
179715,000000AA,false,Rx,0,8,A6,D0,01,00,38,0D,80,64,
179720,000000B6,false,Rx,0,5,0D,0D,80,00,C8,00,00,00,
179725,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
179730,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
179736,0000019E,false,Rx,0,8,00,E0,BF,FC,FE,00,00,3C,
179741,000001A0,false,Rx,0,8,00,80,00,E0,FF,FF,DF,E2,
179746,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
179751,000000A8,false,Rx,0,8,43,D1,01,D0,01,F0,03,02,
179756,000000A9,false,Rx,0,8,D9,11,6A,FF,15,6A,2F,06,
179761,000000AA,false,Rx,0,8,9F,D1,01,00,30,0D,80,64,
179766,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
179771,000001B4,false,Rx,0,8,00,D0,E2,F6,04,32,FE,95,
179776,000000A8,false,Rx,0,8,44,D2,01,D0,01,F0,03,02,
179781,000000A9,false,Rx,0,8,DC,12,6B,FF,15,6B,2F,06,
179787,000000AA,false,Rx,0,8,A0,D2,01,00,30,0D,80,64,
179792,000000B6,false,Rx,0,5,0E,0E,80,00,C8,00,00,00,
256136,000000A8,false,Rx,0,8,87,F5,01,F0,01,F0,03,02,
256141,000000A9,false,Rx,0,8,FF,15,6B,0F,16,6B,3F,06,
256146,000000AA,false,Rx,0,8,A7,E5,01,00,24,0D,80,64,
256151,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
256156,000000A8,false,Rx,0,8,88,F6,01,F0,01,F0,03,02,
256161,000000A9,false,Rx,0,8,00,16,6B,0F,16,6B,3F,06,
256173,000000AA,false,Rx,0,8,B8,F6,01,00,24,0D,80,64,
256178,000000B6,false,Rx,0,5,00,01,80,00,C8,00,00,00,
256183,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
256188,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
256193,0000019E,false,Rx,0,8,00,E0,BF,FC,FE,00,00,3C,
256199,000001A0,false,Rx,0,8,00,80,00,60,00,00,10,92,
256204,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
256209,000001D0,false,Rx,0,8,49,FF,6B,C2,D2,1C,CD,A8,
256214,000000A8,false,Rx,0,8,89,F7,01,F0,01,F0,03,02,
256219,000000A9,false,Rx,0,8,B1,17,6B,0F,16,6B,EF,05,
256224,000000AA,false,Rx,0,8,B9,F7,01,00,24,0D,80,64,
256229,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
256234,000000A8,false,Rx,0,8,6A,E8,01,E0,01,F0,03,02,
256240,000000A9,false,Rx,0,8,A2,18,6B,0F,16,6B,DF,05,
256245,000000AA,false,Rx,0,8,BE,F8,01,00,28,0D,80,64,
256250,000000B6,false,Rx,0,5,02,02,80,00,C8,00,00,00,
256255,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
256260,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
256265,0000019E,false,Rx,0,8,00,E0,BF,FC,FE,00,00,3C,
256270,000001A0,false,Rx,0,8,00,80,00,90,FF,02,20,D4,
256275,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
256280,000001A6,false,Rx,0,8,04,00,02,00,02,00,B8,F2,
256285,000000A8,false,Rx,0,8,6B,E9,01,E0,01,F0,03,02,
256290,000000A9,false,Rx,0,8,A3,19,6B,0F,16,6B,DF,05,
256296,000000AA,false,Rx,0,8,BF,F9,01,00,28,0D,80,64,
256301,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
256306,000000A8,false,Rx,0,8,6C,EA,01,E0,01,F0,03,02,
256311,000000A9,false,Rx,0,8,E4,1A,6B,0F,16,6B,1F,06,
256316,000000AA,false,Rx,0,8,B0,EA,01,00,28,0D,80,64,
256321,00000200,false,Rx,0,8,42,81,C0,00,00,00,00,00,
256326,000000B6,false,Rx,0,5,03,03,80,00,C8,00,00,00,
256331,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
256336,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
256341,0000019E,false,Rx,0,8,00,E0,BF,FC,FE,00,00,3C,
256346,000001A0,false,Rx,0,8,00,80,00,30,00,FF,3F,91,
256351,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
256357,000000A8,false,Rx,0,8,6D,EB,01,E0,01,F0,03,02,
256362,000000A9,false,Rx,0,8,E5,1B,6B,0F,16,6B,1F,06,
256367,000000AA,false,Rx,0,8,B1,EB,01,00,28,0D,80,64,
256372,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
256377,000001B4,false,Rx,0,8,00,D0,E2,F7,04,32,FE,96,
256382,000001B6,false,Rx,0,7,00,FC,28,04,3D,A0,23,00,
256387,000000A8,false,Rx,0,8,8E,FC,01,F0,01,F0,03,02,
256392,000000A9,false,Rx,0,8,17,1C,6B,0F,16,6B,4F,06,
256397,000000AA,false,Rx,0,8,AA,EC,01,00,20,0D,80,64,
256402,000000B6,false,Rx,0,5,04,04,80,00,C8,00,00,00,
256407,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
256412,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
256418,0000019E,false,Rx,0,8,00,E0,CF,FC,FE,00,00,4C,
256423,000001A0,false,Rx,0,8,00,80,00,10,00,FF,4F,81,
256428,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
256433,000004A9,false,Rx,0,8,00,42,FF,FF,FF,FF,FF,FF,
377574,000000A8,false,Rx,0,8,8F,FD,01,F0,01,F0,03,02,
377579,000000A9,false,Rx,0,8,18,1D,6B,0F,16,6B,4F,06,
377584,000000AA,false,Rx,0,8,AB,ED,01,00,20,0D,80,64,
377589,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
377594,00000194,false,Rx,0,4,E2,F1,00,F0,00,00,00,00,
377599,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
377604,0000031A,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
377609,000000A8,false,Rx,0,8,B0,0E,02,00,02,F0,03,02,
377614,000000A9,false,Rx,0,8,29,1E,6B,1F,16,6B,4F,06,
377619,000000AA,false,Rx,0,8,B8,FE,01,00,1C,0D,80,64,
377624,000000B6,false,Rx,0,5,05,05,80,00,C8,00,00,00,
377629,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
377634,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
377639,0000019E,false,Rx,0,8,00,E0,CF,FC,FE,00,00,4C,
377644,000001A0,false,Rx,0,8,00,80,00,10,00,FF,5F,91,
377649,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
377654,00000130,false,Rx,0,5,45,43,21,8F,98,00,00,00,
377659,000000A8,false,Rx,0,8,82,F0,01,F0,01,F0,03,02,
377664,000000A9,false,Rx,0,8,1B,10,6B,1F,16,6B,4F,06,
377670,000000AA,false,Rx,0,8,B2,F0,01,00,24,0D,80,64,
377675,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
377680,000000A8,false,Rx,0,8,83,F1,01,F0,01,F0,03,02,
377685,000000A9,false,Rx,0,8,0A,11,6A,0F,16,6A,4F,06,
377690,000000AA,false,Rx,0,8,B3,F1,01,00,24,0D,80,64,
377695,000000B6,false,Rx,0,5,06,06,80,00,C8,00,00,00,
377700,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
377705,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
377710,0000019E,false,Rx,0,8,00,E0,CF,FC,FE,00,00,4C,
377715,000001A0,false,Rx,0,8,00,80,00,50,00,00,60,D2,
377720,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
377725,000001D0,false,Rx,0,8,49,FF,6C,C2,FF,1C,CD,A8,
377731,000000A8,false,Rx,0,8,84,F2,01,F0,01,F0,03,02,
377736,000000A9,false,Rx,0,8,0B,12,6A,0F,16,6A,4F,06,
377741,000000AA,false,Rx,0,8,B4,F2,01,00,24,0D,80,64,
377746,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
377751,000000C8,false,Rx,0,6,1D,0A,AC,00,00,8C,00,00,
377756,000000A8,false,Rx,0,8,85,F3,01,F0,01,F0,03,02,
377761,000000A9,false,Rx,0,8,0C,13,6A,0F,16,6A,4F,06,
377766,000000AA,false,Rx,0,8,B5,F3,01,00,24,0D,80,64,
377771,000000B6,false,Rx,0,5,07,07,80,00,C8,00,00,00,
377776,000000C4,false,Rx,0,7,29,0A,FC,00,00,FF,F1,00,
377781,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
377786,0000019E,false,Rx,0,8,00,E0,CF,FC,FE,00,00,4C,
377792,000001A0,false,Rx,0,8,00,80,00,E0,FF,00,70,73,
377797,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
377802,000001A6,false,Rx,0,8,04,00,02,00,02,00,48,F4,
377807,000000A8,false,Rx,0,8,86,F4,01,F0,01,F0,03,02,
377812,000000A9,false,Rx,0,8,3D,14,6A,0F,16,6A,7F,06,
377817,000000AA,false,Rx,0,8,B2,F4,01,00,20,0D,80,64,
