Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
11743851,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
11762028,000002C0,false,Rx,0,3,3F,81,FE,00,00,00,00,00,
11765318,000002F8,false,Rx,0,8,11,07,06,1B,AF,E7,07,FD,
11765323,00000330,false,Rx,0,8,70,48,06,27,FF,FF,6C,17,
11766528,00000310,false,Rx,0,7,66,14,35,4F,00,FC,21,00,
11776515,000003BE,false,Rx,0,2,AC,F0,00,00,00,00,00,00,
11789123,00000130,false,Rx,0,5,00,E3,C0,3F,4D,00,00,00,
11804976,00000497,false,Rx,0,8,17,01,FF,FF,FF,FF,FF,FF,
11814723,000005F8,false,Rx,0,8,01,02,F7,1E,18,07,18,00,
11839213,00000130,false,Rx,0,5,00,E3,C0,3F,5E,00,00,00,
11843658,00000480,false,Rx,0,8,17,02,FD,FF,FF,FF,FF,FF,
11863479,000004A9,false,Rx,0,8,29,01,FF,FF,FF,FF,FF,FF,
11873426,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
11883371,000000B6,false,Rx,0,5,00,01,80,00,C8,00,00,00,
11883595,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
11883820,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
11885514,0000019E,false,Rx,0,8,00,EA,1F,FC,FE,61,FF,07,
11885519,000001A0,false,Rx,0,8,00,80,00,00,80,00,18,BA,
11885524,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
11885529,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
11893357,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
11903313,000000B6,false,Rx,0,5,02,02,80,00,C8,00,00,00,
11903545,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
11903767,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
11903991,0000019E,false,Rx,0,8,00,EA,1F,FC,FE,61,FF,07,
11906027,000001A0,false,Rx,0,8,00,80,00,00,80,00,28,CA,
11906032,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
11913441,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
11914494,000005F8,false,Rx,0,8,01,02,3A,1E,18,07,18,00,
11923331,000000B6,false,Rx,0,5,03,03,80,00,C8,00,00,00,
11923555,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
11923779,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
11924004,0000019E,false,Rx,0,8,00,EA,1F,FC,FE,61,00,07,
11925748,000001A0,false,Rx,0,8,00,80,00,00,80,00,38,DA,
11925753,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
11925758,00000497,false,Rx,0,8,29,02,FF,FF,FF,FF,FF,FF,
11933377,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
11938179,00000130,false,Rx,0,5,00,E3,C0,1F,30,00,00,00,
11939326,00000130,false,Rx,0,5,00,E3,C0,1F,41,00,00,00,
11943395,000000B6,false,Rx,0,5,04,04,80,00,C8,00,00,00,
11943619,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
11943841,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
11944065,0000019E,false,Rx,0,8,00,EA,1F,FC,FE,61,00,07,
11945736,000001A0,false,Rx,0,8,00,80,00,00,80,00,48,EA,
11945741,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
11945746,000002A6,false,Rx,0,2,00,F8,00,00,00,00,00,00,
11953352,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
11963316,000000B6,false,Rx,0,5,05,05,80,00,C8,00,00,00,
11963579,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
11963858,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
11964082,0000019E,false,Rx,0,8,00,EA,1F,FC,FE,61,00,07,
11965763,000001A0,false,Rx,0,8,00,80,00,00,80,00,58,FA,
11965769,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
11965774,000001A6,false,Rx,0,8,FF,FF,00,00,00,00,00,F0,
11973568,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
11973799,000003BE,false,Rx,0,2,AC,F0,00,00,00,00,00,00,
11975751,00000330,false,Rx,0,8,70,48,06,27,21,2F,BC,25,
11983339,000000B6,false,Rx,0,5,06,06,80,00,C8,00,00,00,
11983563,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
11983972,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
11984197,0000019E,false,Rx,0,8,00,EA,2F,FC,FE,61,00,17,
11985868,000001A0,false,Rx,0,8,00,80,00,00,80,00,68,0B,
11985873,000002B2,false,Rx,0,8,00,00,00,00,03,80,00,04,
11985878,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
11993493,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
12003422,000000B6,false,Rx,0,5,07,07,80,00,C8,00,00,00,
12003646,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
12003870,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
12004095,0000019E,false,Rx,0,8,00,EA,2F,FC,FE,61,00,17,
12004321,000001A0,false,Rx,0,8,00,80,00,00,80,00,78,1B,
12005855,000002B2,false,Rx,0,8,00,00,00,00,0F,80,00,04,
12013470,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
12014431,000005F8,false,Rx,0,8,01,03,80,1E,18,07,18,00,
12019439,00000380,false,Rx,0,7,4B,57,31,34,35,39,32,00,
12023342,000000B6,false,Rx,0,5,08,08,80,00,C8,00,00,00,
12023566,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
12023789,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
12024013,0000019E,false,Rx,0,8,00,EA,2F,FC,FE,61,00,17,
12024420,000001A0,false,Rx,0,8,00,80,00,00,80,00,88,2B,
12026195,000002B2,false,Rx,0,8,00,00,00,00,0F,80,00,04,
12026200,000004A9,false,Rx,0,8,17,12,FF,FF,FF,FF,FF,FF,
12033406,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
12039161,00000130,false,Rx,0,5,00,E3,C0,1F,52,00,00,00,
