Time [s],Channel 7
0.000000000,1
0.022248562,0
0.022289312,1
0.024676312,0
0.024714063,1
0.024884375,0
0.024922312,1
0.025092312,0
0.025131937,1
0.025300437,0
0.025339312,1
0.025508438,0
0.025545938,1
0.025820250,0
0.025860500,1
0.026132250,0
0.026169000,1
0.026169062,0
0.026171063,1
0.026444250,0
0.026483125,1
0.026652375,0
0.026689500,1
0.026964313,0
0.027002813,1
0.027172375,0
0.027209312,1
0.027692438,0
0.027729750,1
0.028108312,0
0.028146500,1
0.029252062,0
0.029294875,1
0.029876188,0
0.029916313,1
0.052457938,0
0.052499250,1
0.054885750,0
0.054925000,1
0.055093875,0
0.055131813,1
0.055301875,0
0.055339313,1
0.055509812,0
0.055546125,1
0.055546187,0
0.055548125,1
0.055717812,0
0.055757313,1
0.056029688,0
0.056071062,1
0.056341750,0
0.056380063,1
0.056757812,0
0.056794500,1
0.057384438,0
0.057424750,1
0.057592625,0
0.057631562,1
0.058114313,0
0.058151313,1
0.058633625,0
0.058673188,1
0.059050875,0
0.059087000,1
0.059258688,0
0.059295313,1
0.059881500,0
0.059921438,1
0.060089625,0
0.060127375,1
0.060506688,0
0.060543187,1
0.061026000,0
0.061064750,1
0.062173875,0
0.062211312,1
0.062902438,0
0.062942750,1
0.102474500,0
0.102514125,1
0.104910062,0
0.104948562,1
0.105118125,0
0.105157687,1
0.105326188,0
0.105365125,1
0.105534188,0
0.105571875,1
0.105742250,0
0.105779750,1
0.106054063,0
0.106095312,1
0.106366000,0
0.106405625,1
0.106678063,0
0.106716312,1
0.106886125,0
0.106923688,1
0.107302000,0
0.107341312,1
0.107510125,0
0.107549188,1
0.108030062,0
0.108070438,1
0.108446000,0
0.108485813,1
0.109589937,0
0.109631250,1
0.110110000,0
0.110150250,1
0.110422188,0
0.110461062,1
0.132371938,0
0.132413063,1
0.134791812,0
0.134830312,1
0.134999875,0
0.135037375,1
0.135207938,0
0.135244562,1
0.135415937,0
0.135452625,1
0.135623812,0
0.135661937,1
0.135935750,0
0.135975625,1
0.136247813,0
0.136286875,1
0.136663937,0
0.136699812,1
0.137165563,0
0.137204750,1
0.137372437,0
0.137410063,1
