"Time Stamp",ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
3403884,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
18883,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
69019,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
98812,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
148774,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
178926,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
228959,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
258919,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
308777,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
338762,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
388875,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
418892,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
468893,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
498775,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
548864,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
578873,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
628826,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
658867,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
708852,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
738750,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
788855,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
818888,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
868920,0000002F,false,Rx,0,5,28,32,BD,01,E6,00,00,00
908833,0000002F,false,Rx,0,5,21,94,91,09,AF,00,00,00
948881,0000002F,false,Rx,0,5,B1,FE,FF,00,4F,00,00,00
988762,0000002F,false,Rx,0,5,22,F4,C0,09,1F,00,00,00
1028867,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
1058765,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
1108885,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
1138807,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
1188792,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
1218809,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
1268833,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
1298874,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
1348859,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
1378853,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
