"Time Stamp",ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5618757,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
6897,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
57025,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
86819,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
136725,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
166830,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
216737,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
247345,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
296906,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
326803,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
376947,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
406845,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
456981,0000002F,false,Rx,0,5,28,32,BD,01,E6,00,00,00
496862,0000002F,false,Rx,0,5,21,94,91,09,AF,00,00,00
536911,0000002F,false,Rx,0,5,B1,FE,FF,00,4F,00,00,00
576800,0000002F,false,Rx,0,5,22,F4,C0,09,1F,00,00,00
616722,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
646932,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
696925,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
726822,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
776935,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
806848,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
856945,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
886882,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
936906,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
966804,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
1016765,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
1047006,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
1096855,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
1126904,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
1176929,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
1206842,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
1256962,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
1286883,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
1336908,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
1366805,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
1416711,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
1447025,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
1496906,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
1526803,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
1576765,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
1606894,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
1656840,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
1686865,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
1736850,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
1766875,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
1816868,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
1847670,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
1896927,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
1926848,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
1976785,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
2006803,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
2057035,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
2086828,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
2136774,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
2166935,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
2216792,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
2246858,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
2296843,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
2326908,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
2377581,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
2406910,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
2456887,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
2486808,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
2536921,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
2566842,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
2616803,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
2646925,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
2696805,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
2726799,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
2776760,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
2806890,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
2856827,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
2886852,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
2936837,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
2966878,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
3016696,0000002F,false,Rx,0,5,B1,FE,FF,00,4F,00,00,00
3056937,0000002F,false,Rx,0,5,22,F4,C0,09,1F,00,00,00
3096842,0000002F,false,Rx,0,5,28,32,BD,01,E6,00,00,00
3136835,0000002F,false,Rx,0,5,21,94,91,09,AF,00,00,00
3176876,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
3206932,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
3256933,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
3286854,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
3336847,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
3366903,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
3416761,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
3446890,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
