"Time Stamp",ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
44082,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
73868,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
123957,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
153950,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
203943,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
233992,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
283802,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
313908,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
363885,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
394006,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
443952,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
474008,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
523881,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
554003,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
603868,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
633854,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
683935,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
713976,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
764016,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
793929,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
844114,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
873939,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
923893,0000002F,false,Rx,0,5,28,32,BD,01,E6,00,00,00
963901,0000002F,false,Rx,0,5,21,94,91,09,AF,00,00,00
1003903,0000002F,false,Rx,0,5,B1,FE,FF,00,4F,00,00,00
1043935,0000002F,false,Rx,0,5,22,F4,C0,09,1F,00,00,00
1083952,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
1114017,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
1163890,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
1193907,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
1243957,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
1273791,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
1323872,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
1353986,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
1404018,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
1433963,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
1483948,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
1513821,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
1563887,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
1593904,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
1644009,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
1673922,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
1723883,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
1754036,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
1803925,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
1833974,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
1884014,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
1913951,00000023,false,Rx,0,5,B1,80,7F,20,2E,00,00,00
1963951,0000001B,false,Rx,0,3,22,FF,DD,00,00,00,00,00
1993992,00000023,false,Rx,0,5,22,F4,C0,00,28,00,00,00
2043938,0000001B,false,Rx,0,3,28,FF,D7,00,00,00,00,00
2073987,00000023,false,Rx,0,5,28,32,BD,00,E7,00,00,00
2123972,0000001B,false,Rx,0,3,21,FF,DE,00,00,00,00,00
2153981,00000023,false,Rx,0,5,21,94,91,00,B8,00,00,00
2204013,0000001B,false,Rx,0,3,B1,FF,4E,00,00,00,00,00
