Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1752171898677121,0xA8,false,Rx,0,8,0xFE,0x01,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752171898677415,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x4E,0x81,
1752171898684103,0xC4,false,Rx,0,7,0x3A,0xFE,0xFC,0x71,0x00,0xFF,0xF1,
1752171898686593,0xAA,false,Rx,0,8,0x5C,0x52,0x07,0x00,0xB8,0x0B,0x94,0x00
1752171898686852,0xA8,false,Rx,0,8,0xFF,0x02,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752171898687077,0xA9,false,Rx,0,8,0xEB,0x02,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752171898687281,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x4F,0x82,
1752171898694091,0xB6,false,Rx,0,5,0x03,0x03,0x80,0x00,0xC8,,,
1752171898694326,0xC4,false,Rx,0,7,0x3A,0xFE,0xFC,0x71,0x00,0xFF,0xF1,
1752171898694549,0xCE,false,Rx,0,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1752171898694800,0x19E,false,Rx,0,8,0x00,0xE0,0x2F,0xFC,0xFE,0x00,0x00,0xAB
1752171898695021,0x1A0,false,Rx,0,8,0x00,0x80,0x00,0xC0,0x00,0x18,0x30,0x2B
1752171898695278,0x2B2,false,Rx,0,8,0x00,0x00,0x00,0x00,0x68,0x00,0x00,0x04
1752171898696485,0xAA,false,Rx,0,8,0x5D,0x53,0x07,0x00,0xB8,0x0B,0x94,0x00
1752171898696699,0xA8,false,Rx,0,8,0x00,0x03,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752171898696932,0xA9,false,Rx,0,8,0xEC,0x03,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752171898697135,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x50,0x83,
1752171898704013,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x8F,0xFF,0xFF,0xF1,
1752171898706478,0xAA,false,Rx,0,8,0x5E,0x54,0x07,0x00,0xB8,0x0B,0x94,0x00
1752171898706796,0xA8,false,Rx,0,8,0x02,0x04,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752171898707018,0xA9,false,Rx,0,8,0xED,0x04,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752171898707215,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x51,0x84,
1752171898707376,0x130,false,Rx,0,5,0x45,0x43,0x21,0x8F,0xA9,,,
1752171898711084,0x1D0,false,Rx,0,8,0x3C,0x76,0x65,0xC3,0x9C,0x9E,0xCD,0x82
1752171898713961,0xB6,false,Rx,0,5,0x04,0x04,0x80,0x00,0xC8,,,
1752171898714176,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x8F,0xFF,0xFF,0xF1,
1752171898714429,0xCE,false,Rx,0,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1752171898714666,0x19E,false,Rx,0,8,0x00,0xE0,0x2F,0xFC,0xFE,0x00,0x00,0xAB
1752171898714955,0x1A0,false,Rx,0,8,0x00,0x80,0x00,0xC0,0x00,0x18,0x40,0x3B
1752171898715153,0x2B2,false,Rx,0,8,0x00,0x00,0x00,0x00,0x68,0x00,0x00,0x04
1752171898715371,0x1A6,false,Rx,0,8,0x00,0x00,0x00,0x00,0x00,0x00,0x90,0xFF
1752171898715629,0x4A9,false,Rx,0,8,0x30,0x42,0xFF,0xFF,0xFF,0xFF,0xFF,0xFF
1752171898716371,0xAA,false,Rx,0,8,0x5F,0x55,0x07,0x00,0xB8,0x0B,0x94,0x00
1752171898716642,0xA8,false,Rx,0,8,0x03,0x05,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752171898716871,0xA9,false,Rx,0,8,0xEE,0x05,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752171898717071,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x52,0x85,
1752171898724011,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x00,0x00,0xFF,0xF1,
1752171898726503,0xAA,false,Rx,0,8,0x60,0x56,0x07,0x00,0xB8,0x0B,0x94,0x00
1752171898726654,0xA8,false,Rx,0,8,0x04,0x06,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752171898726902,0xA9,false,Rx,0,8,0xEF,0x06,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752171898727120,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x53,0x86,
1752171898733920,0xB6,false,Rx,0,5,0x05,0x05,0x80,0x00,0xC8,,,
1752171898734126,0xC4,false,Rx,0,7,0x3A,0xFE,0xFC,0x00,0x00,0xFF,0xF1,
1752171898734379,0xCE,false,Rx,0,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1752171898734609,0x19E,false,Rx,0,8,0x00,0xE0,0x2F,0xFC,0xFE,0x00,0x00,0xAB
1752171898734829,0x1A0,false,Rx,0,8,0x00,0x80,0x00,0xB0,0x00,0x18,0x50,0x3B
1752171898735091,0x2B2,false,Rx,0,8,0x00,0x00,0x00,0x00,0x68,0x00,0x00,0x04
1752171898736477,0xAA,false,Rx,0,8,0x61,0x57,0x07,0x00,0xB8,0x0B,0x94,0x00
1752171898736670,0xA8,false,Rx,0,8,0x05,0x07,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752171898736903,0xA9,false,Rx,0,8,0xF0,0x07,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752171898737112,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x54,0x87,
1752171898743951,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x1C,0xFF,0xFF,0xF1,
1752171898745955,0x1B4,false,Rx,0,8,0x00,0xD0,0xE2,0xFA,0x04,0x32,0xFE,0x99
1752171898746426,0xAA,false,Rx,0,8,0x62,0x58,0x07,0x00,0xB8,0x0B,0x94,0x00
1752171898746639,0xA8,false,Rx,0,8,0x06,0x08,0x21,0xE0,0x21,0x1F,0x0F,0x04
1752171898746853,0xA9,false,Rx,0,8,0xF1,0x08,0x79,0xDF,0x1D,0xC7,0xE0,0x21
1752171898747062,0xBA,false,Rx,0,7,0x03,0xFF,0x0F,0x00,0x00,0x55,0x88,
1752171898753976,0xB6,false,Rx,0,5,0x06,0x06,0x80,0x00,0xC8,,,
1752171898754171,0xC4,false,Rx,0,7,0x37,0xFE,0xFC,0x1C,0xFF,0xFF,0xF1,
1752171898754382,0xCE,false,Rx,0,8,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00
1752171898754616,0x19E,false,Rx,0,8,0x00,0xE0,0x3F,0xFC,0xFE,0x00,0x00,0xBB
1752171898754866,0x1A0,false,Rx,0,8,0x00,0x80,0x00,0xC0,0x00,0x18,0x60,0x5B
1752171898755138,0x2B2,false,Rx,0,8,0x00,0x00,0x00,0x00,0x68,0x00,0x00,0x04
1752171898755269,0xC8,false,Rx,0,6,0x39,0xFE,0x0C,0x00,0x00,0x8C,,
1752171898756398,0xAA,false,Rx,0,8,0x63,0x59,0x07,0x00,0xB8,0x0B,0x94,0x00
