Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
13259255,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
13268779,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
13269016,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
13359199,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
13361622,000007DF,false,Rx,0,8,03,2A,07,D2,55,55,55,55,
13361909,000007E8,false,Rx,0,8,07,6A,07,D2,00,00,00,00,
13368746,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
13368997,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
13459268,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
13468745,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
13468991,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
13559265,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
13568746,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
13569000,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
13659184,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
13668742,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
13668995,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
13759163,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
13768874,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
13768995,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
13859241,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
13868736,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
13868993,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
13959186,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
13968732,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
13968983,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
14059243,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
14068734,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
14068988,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
14159151,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
14168725,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
14168971,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
14259181,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
14268722,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
14268972,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
14359217,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
14368750,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
14368980,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
14459253,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
14468718,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
14468964,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
14559224,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
14568721,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
14568977,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
14659144,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
14668716,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
14668962,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
14759179,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
14768712,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
14768966,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
14859210,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
14868709,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
14868965,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
14959182,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
14968709,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
14968955,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
15059226,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
15068707,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
15068960,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
15159138,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
15168702,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
15168944,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
15259088,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
15268755,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
15268943,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
15359219,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
15361619,000007DF,false,Rx,0,8,03,2A,07,D2,55,55,55,55,
15361917,000007E8,false,Rx,0,8,07,6A,07,D2,00,00,00,00,
15368696,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
15368945,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
15459251,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
15468741,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
15468938,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
15559219,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
15568738,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
15568944,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
15659201,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
15668745,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
15668927,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
15759097,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
15768751,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
15768930,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
15859193,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
15868698,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
15868937,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
15959172,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
15968700,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
15968946,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
16059203,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
16068764,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
16068985,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
16159177,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
16168673,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
16168925,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
16259129,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
16268684,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
16268921,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
18446744073175616476,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
18446744073175625985,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
18446744073175626201,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
18446744073175716507,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
18446744073175725967,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
18446744073175726197,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
18446744073175816448,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
18446744073175825985,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
18446744073175826200,00000357,false,Rx,0,8,00,00,00,02,D3,01,00,00,
18446744073175916469,00000358,false,Rx,0,8,89,1A,00,00,8E,01,00,00,
18446744073175925947,00000109,false,Rx,0,8,00,00,00,00,00,00,00,00,
