Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1602360,000000A8,false,Rx,0,8,75,F7,F8,00,00,0C,CF,00,
1602591,000000A9,false,Rx,0,8,64,07,8F,8F,0C,8F,FF,F8,
1602826,000000AA,false,Rx,0,8,90,F7,F8,00,00,00,F4,00,
1607967,000000C4,false,Rx,0,7,4F,FF,FD,00,00,FF,F1,00,
1611049,000001FB,false,Rx,0,2,F1,FF,00,00,00,00,00,00,
1612351,000000A8,false,Rx,0,8,76,F8,F8,00,00,0C,CF,00,
1612576,000000A9,false,Rx,0,8,65,08,8F,8F,0C,8F,FF,F8,
1612822,000000AA,false,Rx,0,8,91,F8,F8,00,00,00,F4,00,
1616836,00000480,false,Rx,0,8,12,42,FD,01,FF,FF,FF,FF,
1617965,000000C4,false,Rx,0,7,4F,FF,FD,00,00,FF,F1,00,
1618212,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1618403,000000B6,false,Rx,0,5,4A,0B,80,00,08,00,00,00,
1618693,0000019E,false,Rx,0,8,00,EA,0F,FC,FE,20,00,B5,
1618951,000001A0,false,Rx,0,8,00,80,00,A0,FF,12,B0,85,
1619210,000002B2,false,Rx,0,8,00,00,00,00,4F,00,00,04,
1622357,000000A8,false,Rx,0,8,77,F9,F8,00,00,0C,CF,00,
1622593,000000A9,false,Rx,0,8,66,09,8F,8F,0C,8F,FF,F8,
1622839,000000AA,false,Rx,0,8,92,F9,F8,00,00,00,F4,00,
1627955,000000C4,false,Rx,0,7,4F,FF,FD,00,00,FF,F1,00,
1632360,000000A8,false,Rx,0,8,78,FA,F8,00,00,0C,CF,00,
1632591,000000A9,false,Rx,0,8,67,0A,8F,8F,0C,8F,FF,F8,
1632837,000000AA,false,Rx,0,8,93,FA,F8,00,00,00,F4,00,
1637283,000001B4,false,Rx,0,8,00,D0,FF,F0,FC,FE,FE,72,
1637979,000000C4,false,Rx,0,7,4F,FF,FD,00,00,FF,F1,00,
1638225,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1638416,000000B6,false,Rx,0,5,4B,0C,80,00,08,00,00,00,
1638718,0000019E,false,Rx,0,8,00,EA,0F,FC,FE,20,00,B5,
1638974,000001A0,false,Rx,0,8,00,80,00,C0,FF,12,C0,B5,
1639244,000002B2,false,Rx,0,8,00,00,00,00,4F,00,00,04,
1642356,000000A8,false,Rx,0,8,79,FB,F8,00,00,0C,CF,00,
1642588,000000A9,false,Rx,0,8,68,0B,8F,8F,0C,8F,FF,F8,
1642834,000000AA,false,Rx,0,8,94,FB,F8,00,00,00,F4,00,
1647908,000000C4,false,Rx,0,7,4F,FF,FD,00,00,FF,F1,00,
1652357,000000A8,false,Rx,0,8,7A,FC,F8,00,00,0C,CF,00,
1652589,000000A9,false,Rx,0,8,69,0C,8F,8F,0C,8F,FF,F8,
1652834,000000AA,false,Rx,0,8,95,FC,F8,00,00,00,F4,00,
