Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1587199,000000A9,false,Rx,0,8,A1,08,9A,2F,11,B7,5F,FD,
1587444,000000AA,false,Rx,0,8,58,B8,00,00,00,00,F4,00,
1587946,000000C4,false,Rx,0,7,51,FF,FD,00,00,FF,F1,00,
1588192,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1588384,000000B6,false,Rx,0,5,43,04,80,00,08,00,00,00,
1588685,0000019E,false,Rx,0,8,00,EA,8F,FC,FE,63,00,79,
1588942,000001A0,false,Rx,0,8,00,80,00,A0,FF,12,40,15,
1589209,000001A6,false,Rx,0,8,00,00,00,00,00,00,48,F1,
1589477,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
1590410,000001FB,false,Rx,0,2,F1,FF,00,00,00,00,00,00,
1596989,000000A8,false,Rx,0,8,FC,59,FD,00,00,0D,CF,20,
1597219,000000A9,false,Rx,0,8,A2,09,9A,2F,11,B7,5F,FD,
1597454,000000AA,false,Rx,0,8,59,B9,00,00,00,00,F4,00,
1597933,000000C4,false,Rx,0,7,51,FF,FD,00,00,FF,F1,00,
1606977,000000A8,false,Rx,0,8,FD,5A,FD,00,00,0D,CF,20,
1607197,000000A9,false,Rx,0,8,A3,0A,9A,2F,11,B7,5F,FD,
1607432,000000AA,false,Rx,0,8,5A,BA,00,00,00,00,F4,00,
1607934,000000C4,false,Rx,0,7,51,FF,FD,00,00,FF,F1,00,
1608180,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1608372,000000B6,false,Rx,0,5,44,05,80,00,08,00,00,00,
1608640,0000019E,false,Rx,0,8,00,EA,8F,FC,FE,63,00,79,
1608896,000001A0,false,Rx,0,8,00,80,00,C0,FF,12,50,45,
1609164,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
1616956,000000A8,false,Rx,0,8,FE,5B,FD,00,00,0D,CF,20,
1617187,000000A9,false,Rx,0,8,A4,0B,9A,2F,11,B7,5F,FD,
1617422,000000AA,false,Rx,0,8,5B,BB,00,00,00,00,F4,00,
1617934,000000C4,false,Rx,0,7,51,FF,FD,00,00,FF,F1,00,
1626976,000000A8,false,Rx,0,8,FF,5C,FD,00,00,0D,CF,20,
1627198,000000A9,false,Rx,0,8,A5,0C,9A,2F,11,B7,5F,FD,
1627432,000000AA,false,Rx,0,8,5C,BC,00,00,00,00,F4,00,
1628023,000000C4,false,Rx,0,7,51,FF,FD,00,00,FF,F1,00,
1628270,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1628461,000000B6,false,Rx,0,5,45,06,80,00,08,00,00,00,
1628728,0000019E,false,Rx,0,8,00,EA,8F,FC,FE,63,00,79,
1628987,000001A0,false,Rx,0,8,00,80,00,C0,FF,12,60,55,
1629252,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
1630983,00000497,false,Rx,0,8,29,52,FF,FF,FF,FF,FF,FF,
1636996,000000A8,false,Rx,0,8,00,5D,FD,00,00,0D,CF,20,
1637226,000000A9,false,Rx,0,8,A6,0D,9A,2F,11,B7,5F,FD,
1637462,000000AA,false,Rx,0,8,5D,BD,00,00,00,00,F4,00,
1638008,000000C4,false,Rx,0,7,51,FF,FD,00,00,FF,F1,00,
1642752,00000130,false,Rx,0,5,00,00,D0,0F,53,00,00,00,
1647002,000000A8,false,Rx,0,8,01,5E,FD,00,00,0D,CF,20,
1647232,000000A9,false,Rx,0,8,A7,0E,9A,2F,11,B7,5F,FD,
1647468,000000AA,false,Rx,0,8,5E,BE,00,00,00,00,F4,00,
1648192,000000C4,false,Rx,0,7,51,FF,FD,00,00,FF,F1,00,
1648449,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1648628,000000B6,false,Rx,0,5,46,07,80,00,08,00,00,00,
1648796,00000194,false,Rx,0,4,F2,F5,00,FC,00,00,00,00,
1649032,0000019E,false,Rx,0,8,00,EA,8F,FC,FE,63,00,79,
1649164,000001D6,false,Rx,0,2,C0,0C,00,00,00,00,00,00,
1649408,000001A0,false,Rx,0,8,00,80,00,C0,FF,12,70,65,
1649544,000002A6,false,Rx,0,2,00,F8,00,00,00,00,00,00,
1649789,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
1656991,000000A8,false,Rx,0,8,F3,50,FD,00,00,0D,CF,20,
1657221,000000A9,false,Rx,0,8,99,00,9A,2F,11,B7,5F,FD,
1657457,000000AA,false,Rx,0,8,50,B0,00,00,00,00,F4,00,
1657968,000000C4,false,Rx,0,7,51,FF,FD,00,00,FF,F1,00,
1666967,000000A8,false,Rx,0,8,F4,51,FD,00,00,0D,CF,20,
1667198,000000A9,false,Rx,0,8,9A,01,9A,2F,11,B7,5F,FD,
1667434,000000AA,false,Rx,0,8,51,B1,00,00,00,00,F4,00,
1667669,000001D0,false,Rx,0,8,41,3C,02,C6,00,00,0D,A9,
1667981,000000C4,false,Rx,0,7,51,FF,FD,00,00,FF,F1,00,
1668229,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1668419,000000B6,false,Rx,0,5,47,08,80,00,08,00,00,00,
1668698,0000019E,false,Rx,0,8,00,EA,8F,FC,FE,63,00,79,
1668956,000001A0,false,Rx,0,8,00,80,00,C0,FF,12,80,75,
1669213,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
1676987,000000A8,false,Rx,0,8,F5,52,FD,00,00,0D,CF,20,
1677217,000000A9,false,Rx,0,8,9B,02,9A,2F,11,B7,5F,FD,
1677453,000000AA,false,Rx,0,8,52,B2,00,00,00,00,F4,00,
1677975,000000C4,false,Rx,0,7,51,FF,FD,00,00,FF,F1,00,
1678179,000000C8,false,Rx,0,6,51,FF,41,00,00,CC,00,00,
1686992,000000A8,false,Rx,0,8,F6,53,FD,00,00,0D,CF,20,
1687223,000000A9,false,Rx,0,8,9C,03,9A,2F,11,B7,5F,FD,
1687459,000000AA,false,Rx,0,8,53,B3,00,00,00,00,F4,00,
1687926,000000C4,false,Rx,0,7,51,FF,FD,00,00,FF,F1,00,
1688185,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1688397,000000B6,false,Rx,0,5,48,09,80,00,08,00,00,00,
1688720,0000019E,false,Rx,0,8,00,EA,8F,FC,FE,63,00,79,
1688978,000001A0,false,Rx,0,8,00,80,00,A0,FF,12,90,65,
1689244,000001A6,false,Rx,0,8,00,00,00,00,00,00,D8,F2,
1689512,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
1689715,00000374,false,Rx,0,5,00,00,FF,FF,FC,00,00,00,
1696994,000000A8,false,Rx,0,8,F7,54,FD,00,00,0D,CF,20,
1697224,000000A9,false,Rx,0,8,9D,04,9A,2F,11,B7,5F,FD,
1697461,000000AA,false,Rx,0,8,54,B4,00,00,00,00,F4,00,
1697972,000000C4,false,Rx,0,7,51,FF,FD,00,00,FF,F1,00,
1706982,000000A8,false,Rx,0,8,F8,55,FD,00,00,0D,CF,20,
1707213,000000A9,false,Rx,0,8,9E,05,9A,2F,11,B7,5F,FD,
1707449,000000AA,false,Rx,0,8,55,B5,00,00,00,00,F4,00,
1707949,000000C4,false,Rx,0,7,51,FF,FD,00,00,FF,F1,00,
1708197,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1708377,000000B6,false,Rx,0,5,49,0A,80,00,08,00,00,00,
1708655,0000019E,false,Rx,0,8,00,EA,9F,FC,FE,63,00,89,
1708913,000001A0,false,Rx,0,8,00,80,00,D0,FF,12,A0,A5,
1709179,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
1717007,000000A8,false,Rx,0,8,F9,56,FD,00,00,0D,CF,20,
1717237,000000A9,false,Rx,0,8,9F,06,9A,2F,11,B7,5F,FD,
1717473,000000AA,false,Rx,0,8,56,B6,00,00,00,00,F4,00,
1717940,000000C4,false,Rx,0,7,51,FF,FD,00,00,FF,F1,00,
1726994,000000A8,false,Rx,0,8,FA,57,FD,00,00,0D,CF,20,
1727224,000000A9,false,Rx,0,8,A0,07,9A,2F,11,B7,5F,FD,
1727471,000000AA,false,Rx,0,8,57,B7,00,00,00,00,F4,00,
1728017,000000C4,false,Rx,0,7,51,FF,FD,00,00,FF,F1,00,
1728263,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1728454,000000B6,false,Rx,0,5,4A,0B,80,00,08,00,00,00,
1728732,0000019E,false,Rx,0,8,00,EA,9F,FC,FE,63,00,89,
1728991,000001A0,false,Rx,0,8,00,80,00,C0,FF,12,B0,A5,
1729256,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
1729524,000004A9,false,Rx,0,8,30,52,FF,FF,FF,FF,FF,FF,
1736989,000000A8,false,Rx,0,8,FB,58,FD,00,00,0D,CF,20,
1737219,000000A9,false,Rx,0,8,A1,08,9A,2F,11,B7,5F,FD,
1737455,000000AA,false,Rx,0,8,58,B8,00,00,00,00,F4,00,
1737922,000000C4,false,Rx,0,7,51,FF,FD,00,00,FF,F1,00,
1742723,00000130,false,Rx,0,5,00,00,D0,0F,64,00,00,00,
1746980,000000A8,false,Rx,0,8,FC,59,FD,00,00,0D,CF,20,
1747211,000000A9,false,Rx,0,8,A2,09,9A,2F,11,B7,5F,FD,
1747447,000000AA,false,Rx,0,8,59,B9,00,00,00,00,F4,00,
1748049,000000C4,false,Rx,0,7,51,FF,FD,00,00,FF,F1,00,
1748306,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1748486,000000B6,false,Rx,0,5,4B,0C,80,00,08,00,00,00,
