Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2799643,000000C4,false,Rx,0,7,51,FF,FD,00,00,FF,F1,00,
2799896,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
2800110,000000B6,false,Rx,0,5,4B,0C,80,00,08,00,00,00,
2800366,0000019E,false,Rx,0,8,00,EA,7F,FC,FE,63,00,69,
2800623,000001A0,false,Rx,0,8,00,80,00,A0,FF,12,C0,95,
2800882,000001A6,false,Rx,0,8,00,00,00,00,00,00,F8,F0,
2801151,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
2801352,00000374,false,Rx,0,5,00,00,FF,FF,FC,00,00,00,
2803768,000000A8,false,Rx,0,8,A4,02,FA,00,00,0D,CF,22,
2803999,000000A9,false,Rx,0,8,A0,02,A0,5F,11,D9,0F,FA,
2804245,000000AA,false,Rx,0,8,91,E2,0F,00,00,00,F4,00,
2809632,000000C4,false,Rx,0,7,51,FF,FD,00,00,FF,F1,00,
2813847,000000A8,false,Rx,0,8,A5,03,FA,00,00,0D,CF,22,
2814067,000000A9,false,Rx,0,8,A1,03,A0,5F,11,D9,0F,FA,
2814302,000000AA,false,Rx,0,8,92,E3,0F,00,00,00,F4,00,
2816906,00000130,false,Rx,0,5,00,0D,D0,0F,DD,00,00,00,
2819662,000000C4,false,Rx,0,7,51,FF,FD,00,00,FF,F1,00,
2819926,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
2820108,000000B6,false,Rx,0,5,4C,0D,80,00,08,00,00,00,
2820375,0000019E,false,Rx,0,8,00,EA,7F,FC,FE,63,00,69,
2820633,000001A0,false,Rx,0,8,00,80,00,C0,FF,0F,D0,C2,
2820901,000002B2,false,Rx,0,8,00,00,00,00,30,00,00,04,
2823801,000000A8,false,Rx,0,8,A6,04,FA,00,00,0D,CF,22,
2824032,000000A9,false,Rx,0,8,A2,04,A0,5F,11,D9,0F,FA,
2824267,000000AA,false,Rx,0,8,93,E4,0F,00,00,00,F4,00,
2829641,000000C4,false,Rx,0,7,51,FF,FD,00,00,FF,F1,00,
2833789,000000A8,false,Rx,0,8,A7,05,FA,00,00,0D,CF,22,
2834020,000000A9,false,Rx,0,8,A3,05,A0,5F,11,D9,0F,FA,
2834255,000000AA,false,Rx,0,8,94,E5,0F,00,00,00,F4,00,
2839686,000000C4,false,Rx,0,7,51,FF,FD,00,00,FF,F1,00,
2839939,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
