Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1175783,000000C4,false,Rx,0,7,54,FF,FD,00,00,FF,F1,00,
1177432,000000A8,false,Rx,0,8,89,EA,F8,00,00,0D,CF,20,
1177656,000000A9,false,Rx,0,8,55,0A,8E,8F,0C,8E,EF,F8,
1177901,000000AA,false,Rx,0,8,83,EA,F8,00,00,00,F4,00,
1185752,000000C4,false,Rx,0,7,54,FF,FD,00,00,FF,F1,00,
1186006,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1186186,000000B6,false,Rx,0,5,47,08,80,00,08,00,00,00,
1186464,0000019E,false,Rx,0,8,00,EA,AF,FC,FE,63,00,99,
1186722,000001A0,false,Rx,0,8,00,80,00,A0,FF,12,80,55,
1186991,000002B2,false,Rx,0,8,00,00,00,00,4F,00,00,04,
1187426,000000A8,false,Rx,0,8,8A,EB,F8,00,00,0D,CF,20,
1187661,000000A9,false,Rx,0,8,56,0B,8E,8F,0C,8E,EF,F8,
1187893,000000AA,false,Rx,0,8,84,EB,F8,00,00,00,F4,00,
1195743,000000C4,false,Rx,0,7,54,FF,FD,00,00,FF,F1,00,
1197426,000000A8,false,Rx,0,8,8B,EC,F8,00,00,0D,CF,20,
1197649,000000A9,false,Rx,0,8,57,0C,8E,8F,0C,8E,EF,F8,
1197893,000000AA,false,Rx,0,8,85,EC,F8,00,00,00,F4,00,
1198130,000001D0,false,Rx,0,8,3B,08,08,C6,00,00,0D,AE,
1205838,000000C4,false,Rx,0,7,54,FF,FD,00,00,FF,F1,00,
1206091,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1206270,000000B6,false,Rx,0,5,48,09,80,00,08,00,00,00,
1206550,0000019E,false,Rx,0,8,00,EA,AF,FC,FE,63,00,99,
1206818,000001A0,false,Rx,0,8,00,80,00,A0,FF,12,90,65,
1207077,000002B2,false,Rx,0,8,00,00,00,00,4F,00,00,04,
1207457,000000A8,false,Rx,0,8,8C,ED,F8,00,00,0D,CF,20,
1207681,000000A9,false,Rx,0,8,58,0D,8E,8F,0C,8E,EF,F8,
1207915,000000AA,false,Rx,0,8,86,ED,F8,00,00,00,F4,00,
1215797,000000C4,false,Rx,0,7,54,FF,FD,00,00,FF,F1,00,
1217424,000000A8,false,Rx,0,8,8D,EE,F8,00,00,0D,CF,20,
1217648,000000A9,false,Rx,0,8,59,0E,8E,8F,0C,8E,EF,F8,
1217880,000000AA,false,Rx,0,8,87,EE,F8,00,00,00,F4,00,
1225830,000000C4,false,Rx,0,7,54,FF,FD,00,00,FF,F1,00,
1226083,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1226263,000000B6,false,Rx,0,5,49,0A,80,00,08,00,00,00,
1226542,0000019E,false,Rx,0,8,00,EA,AF,FC,FE,63,00,99,
1226799,000001A0,false,Rx,0,8,00,80,00,90,FF,0F,A0,62,
1227068,000002B2,false,Rx,0,8,00,00,00,00,3F,00,00,04,
1227448,000000A8,false,Rx,0,8,7F,E0,F8,00,00,0D,CF,20,
1227672,000000A9,false,Rx,0,8,4B,00,8E,8F,0C,8E,EF,F8,
1227916,000000AA,false,Rx,0,8,79,E0,F8,00,00,00,F4,00,
1235798,000000C4,false,Rx,0,7,54,FF,FD,00,00,FF,F1,00,
1237414,000000A8,false,Rx,0,8,80,E1,F8,00,00,0D,CF,20,
1237649,000000A9,false,Rx,0,8,4C,01,8E,8F,0C,8E,EF,F8,
1237881,000000AA,false,Rx,0,8,7A,E1,F8,00,00,00,F4,00,
1245777,000000C4,false,Rx,0,7,54,FF,FD,00,00,FF,F1,00,
1246030,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1246210,000000B6,false,Rx,0,5,4A,0B,80,00,08,00,00,00,
1246489,0000019E,false,Rx,0,8,00,EA,AF,FC,FE,63,00,99,
1246746,000001A0,false,Rx,0,8,00,80,00,A0,FF,12,B0,85,
1247004,000002B2,false,Rx,0,8,00,00,00,00,4F,00,00,04,
1247450,000000A8,false,Rx,0,8,81,E2,F8,00,00,0D,CF,20,
1247685,000000A9,false,Rx,0,8,4D,02,8E,8F,0C,8E,EF,F8,
1247930,000000AA,false,Rx,0,8,7B,E2,F8,00,00,00,F4,00,
1255767,000000C4,false,Rx,0,7,54,FF,FD,00,00,FF,F1,00,
1257416,000000A8,false,Rx,0,8,82,E3,F8,00,00,0D,CF,20,
1257651,000000A9,false,Rx,0,8,4E,03,8E,8F,0C,8E,EF,F8,
1257884,000000AA,false,Rx,0,8,7C,E3,F8,00,00,00,F4,00,
1261762,000004B0,false,Rx,0,8,00,52,FE,01,FF,FF,FF,FF,
1265785,000000C4,false,Rx,0,7,54,FF,FD,00,00,FF,F1,00,
1266039,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1266218,000000B6,false,Rx,0,5,4B,0C,80,00,08,00,00,00,
1266542,0000019E,false,Rx,0,8,00,EA,AF,FC,FE,63,00,99,
1266799,000001A0,false,Rx,0,8,00,80,00,A0,FF,0F,C0,92,
1267057,000001A6,false,Rx,0,8,00,00,00,00,00,00,90,F3,
1267326,000002B2,false,Rx,0,8,00,00,00,00,3F,00,00,04,
1267561,000000A8,false,Rx,0,8,83,E4,F8,00,00,0D,CF,20,
1267796,000000A9,false,Rx,0,8,4F,04,8E,8F,0C,8E,EF,F8,
1268033,000000AA,false,Rx,0,8,7D,E4,F8,00,00,00,F4,00,
1268577,00000130,false,Rx,0,5,00,0E,D0,0F,CB,00,00,00,
1275774,000000C4,false,Rx,0,7,54,FF,FD,00,00,FF,F1,00,
1277424,000000A8,false,Rx,0,8,84,E5,F8,00,00,0D,CF,20,
1277648,000000A9,false,Rx,0,8,50,05,8E,8F,0C,8E,EF,F8,
1277881,000000AA,false,Rx,0,8,7E,E5,F8,00,00,00,F4,00,
1285763,000000C4,false,Rx,0,7,54,FF,FD,00,00,FF,F1,00,
1286016,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1286196,000000B6,false,Rx,0,5,4C,0D,80,00,08,00,00,00,
1286475,0000019E,false,Rx,0,8,00,EA,AF,FC,FE,63,00,99,
1286732,000001A0,false,Rx,0,8,00,80,00,90,FF,0F,D0,92,
1287001,000002B2,false,Rx,0,8,00,00,00,00,3F,00,00,04,
1287447,000000A8,false,Rx,0,8,85,E6,F8,00,00,0D,CF,20,
1287671,000000A9,false,Rx,0,8,51,06,8E,8F,0C,8E,EF,F8,
1287916,000000AA,false,Rx,0,8,7F,E6,F8,00,00,00,F4,00,
1295744,000000C4,false,Rx,0,7,54,FF,FD,00,00,FF,F1,00,
1297460,000000A8,false,Rx,0,8,86,E7,F8,00,00,0D,CF,20,
1297684,000000A9,false,Rx,0,8,52,07,8E,8F,0C,8E,EF,F8,
1297930,000000AA,false,Rx,0,8,80,E7,F8,00,00,00,F4,00,
1298165,000001D0,false,Rx,0,8,3B,08,09,C6,00,00,0D,AE,
1305819,000000C4,false,Rx,0,7,54,FF,FD,00,00,FF,F1,00,
1306072,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1306252,000000B6,false,Rx,0,5,4D,0E,80,00,08,00,00,00,
1306421,00000194,false,Rx,0,4,F6,F9,00,FC,00,00,00,00,
1306654,0000019E,false,Rx,0,8,00,EA,AF,FC,FE,63,00,99,
1306912,000001A0,false,Rx,0,8,00,80,00,90,FF,12,E0,A5,
1307171,000002B2,false,Rx,0,8,00,00,00,00,4F,00,00,04,
1307461,000000A8,false,Rx,0,8,87,E8,F8,00,00,0D,CF,20,
1307685,000000A9,false,Rx,0,8,53,08,8E,8F,0C,8E,EF,F8,
1307920,000000AA,false,Rx,0,8,81,E8,F8,00,00,00,F4,00,
1315758,000000C4,false,Rx,0,7,54,FF,FD,00,00,FF,F1,00,
1317451,000000A8,false,Rx,0,8,88,E9,F8,00,00,0D,CF,20,
1317686,000000A9,false,Rx,0,8,54,09,8E,8F,0C,8E,EF,F8,
1317921,000000AA,false,Rx,0,8,82,E9,F8,00,00,00,F4,00,
1322739,000001FB,false,Rx,0,2,F6,FF,00,00,00,00,00,00,
1325795,000000C4,false,Rx,0,7,54,FF,FD,00,00,FF,F1,00,
1326048,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1326238,000000B6,false,Rx,0,5,3F,00,80,00,08,00,00,00,
1326507,0000019E,false,Rx,0,8,00,EA,AF,FC,FE,63,00,99,
1326775,000001A0,false,Rx,0,8,00,80,00,A0,FF,0F,00,D1,
1327034,000002B2,false,Rx,0,8,00,00,00,00,3F,00,00,04,
1327446,000000A8,false,Rx,0,8,89,EA,F8,00,00,0D,CF,20,
1327680,000000A9,false,Rx,0,8,55,0A,8E,8F,0C,8E,EF,F8,
1327927,000000AA,false,Rx,0,8,83,EA,F8,00,00,00,F4,00,
1335763,000000C4,false,Rx,0,7,54,FF,FD,00,00,FF,F1,00,
1335973,000000C8,false,Rx,0,6,54,FF,01,00,00,7C,00,00,
1337449,000000A8,false,Rx,0,8,8A,EB,F8,00,00,0D,CF,20,
1337672,000000A9,false,Rx,0,8,56,0B,8E,8F,0C,8E,EF,F8,
1337909,000000AA,false,Rx,0,8,84,EB,F8,00,00,00,F4,00,
1343636,00000480,false,Rx,0,8,12,42,01,01,FF,FF,FF,FF,
1345764,000000C4,false,Rx,0,7,54,FF,FD,00,00,FF,F1,00,
1346017,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1346196,000000B6,false,Rx,0,5,40,01,80,00,08,00,00,00,
1346476,0000019E,false,Rx,0,8,00,EA,AF,FC,FE,63,00,99,
1346733,000001A0,false,Rx,0,8,00,80,00,A0,FF,0F,10,E1,
1347003,000002B2,false,Rx,0,8,00,00,00,00,3F,00,00,04,
1347448,000000A8,false,Rx,0,8,8B,EC,F8,00,00,0D,CF,20,
1347672,000000A9,false,Rx,0,8,57,0C,8E,8F,0C,8E,EF,F8,
1347917,000000AA,false,Rx,0,8,85,EC,F8,00,00,00,F4,00,
1355732,000000C4,false,Rx,0,7,54,FF,FD,00,00,FF,F1,00,
1357426,000000A8,false,Rx,0,8,8C,ED,F8,00,00,0D,CF,20,
1357649,000000A9,false,Rx,0,8,58,0D,8E,8F,0C,8E,EF,F8,
1357883,000000AA,false,Rx,0,8,86,ED,F8,00,00,00,F4,00,
1365743,000000C4,false,Rx,0,7,54,FF,FD,00,00,FF,F1,00,
1365996,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1366188,000000B6,false,Rx,0,5,41,02,80,00,08,00,00,00,
1366500,0000019E,false,Rx,0,8,00,EA,BF,FC,FE,63,00,A9,
1366757,000001A0,false,Rx,0,8,00,80,00,90,FF,0F,20,E1,
1367016,000001A6,false,Rx,0,8,00,00,00,00,00,00,20,F5,
1367284,000002B2,false,Rx,0,8,00,00,00,00,3F,00,00,04,
1367519,000000A8,false,Rx,0,8,8D,EE,F8,00,00,0D,CF,20,
1367744,000000A9,false,Rx,0,8,59,0E,8E,8F,0C,8E,EF,F8,
1367990,000000AA,false,Rx,0,8,87,EE,F8,00,00,00,F4,00,
1368536,00000130,false,Rx,0,5,00,0E,D0,0F,DC,00,00,00,
1375788,000000C4,false,Rx,0,7,54,FF,FD,00,00,FF,F1,00,
1377438,000000A8,false,Rx,0,8,7F,E0,F8,00,00,0D,CF,20,
1377662,000000A9,false,Rx,0,8,4B,00,8E,8F,0C,8E,EF,F8,
1377908,000000AA,false,Rx,0,8,79,E0,F8,00,00,00,F4,00,
1385756,000000C4,false,Rx,0,7,54,FF,FD,00,00,FF,F1,00,
1386010,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1386201,000000B6,false,Rx,0,5,42,03,80,00,08,00,00,00,
1386469,0000019E,false,Rx,0,8,00,EA,BF,FC,FE,63,00,A9,
1386726,000001A0,false,Rx,0,8,00,80,00,90,FF,0F,30,F1,
