Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
3406508,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3406795,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3407064,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3407343,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3407624,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3407903,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3408184,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3408463,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3408739,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3409010,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3409289,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3409568,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3409848,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3410128,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3410407,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3410685,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3410964,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3411234,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3411513,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3411792,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3412073,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3412352,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3412629,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3412909,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3413189,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3413457,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3413737,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3414018,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3414298,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3414577,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3414855,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3415126,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3415405,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3415684,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3415965,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3416245,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3416524,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3416801,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3417082,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3417351,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3417630,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3417909,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3418190,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3418469,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3418746,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3419027,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3419295,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3419574,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3419854,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3420135,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3420415,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3420713,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3420970,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3421242,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3421521,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3421800,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3422081,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3422360,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3422639,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3422919,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3423188,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3423467,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3423747,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3424027,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3424308,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3424587,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3424863,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3425134,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3425413,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
3425692,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
