Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1764426,000000C4,false,Rx,0,7,51,FF,FD,00,00,FF,F1,00,
1766197,000000A8,false,Rx,0,8,A3,01,FA,00,00,0D,CF,22,
1766432,000000A9,false,Rx,0,8,12,01,A0,EF,11,BB,0F,FA,
1766677,000000AA,false,Rx,0,8,A1,F1,10,00,00,00,F4,00,
1774426,000000C4,false,Rx,0,7,51,FF,FD,00,00,FF,F1,00,
1774678,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1774869,000000B6,false,Rx,0,5,43,04,80,00,08,00,00,00,
1775128,0000019E,false,Rx,0,8,00,EA,2F,FC,FE,63,00,19,
1775384,000001A0,false,Rx,0,8,00,80,00,C0,FF,12,40,35,
1775652,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
1776144,000000A8,false,Rx,0,8,A4,02,FA,00,00,0D,CF,22,
1776379,000000A9,false,Rx,0,8,13,02,A0,EF,11,BB,0F,FA,
1776623,000000AA,false,Rx,0,8,A2,F2,10,00,00,00,F4,00,
1776758,000001FB,false,Rx,0,2,F7,FF,00,00,00,00,00,00,
1784430,000000C4,false,Rx,0,7,51,FF,FD,00,00,FF,F1,00,
1786134,000000A8,false,Rx,0,8,A5,03,FA,00,00,0D,CF,22,
1786358,000000A9,false,Rx,0,8,14,03,A0,EF,11,BB,0F,FA,
1786602,000000AA,false,Rx,0,8,A3,F3,10,00,00,00,F4,00,
1792947,00000130,false,Rx,0,5,00,0D,D0,0F,01,00,00,00,
1794552,000000C4,false,Rx,0,7,51,FF,FD,00,00,FF,F1,00,
1794808,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1794989,000000B6,false,Rx,0,5,44,05,80,00,08,00,00,00,
1795268,0000019E,false,Rx,0,8,00,EA,2F,FC,FE,63,00,19,
1795525,000001A0,false,Rx,0,8,00,80,00,A0,FF,0F,50,22,
1795793,000002B2,false,Rx,0,8,00,00,00,00,30,00,00,04,
1796163,000000A8,false,Rx,0,8,A6,04,FA,00,00,0D,CF,22,
