Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1729209,000000AA,false,Rx,0,8,60,56,07,00,B8,0B,94,00,
1729455,000000A8,false,Rx,0,8,09,0B,21,E0,21,1F,0F,04,
1729684,000000A9,false,Rx,0,8,F4,0B,79,DF,1D,C7,E0,21,
1729917,000000BA,false,Rx,0,7,03,FF,0F,00,00,58,8B,00,
1734202,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
1739123,000000AA,false,Rx,0,8,62,58,07,00,B8,0B,94,00,
1739348,000000A8,false,Rx,0,8,0A,0C,21,E0,21,1F,0F,04,
1739573,000000A9,false,Rx,0,8,F5,0C,79,DF,1D,C7,E0,21,
1739807,000000BA,false,Rx,0,7,03,FF,0F,00,00,59,8C,00,
1744194,000000B6,false,Rx,0,5,04,04,80,00,C8,00,00,00,
1744431,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
1744664,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1744888,0000019E,false,Rx,0,8,00,E8,3F,FC,FE,00,00,C3,
1745121,000001A0,false,Rx,0,8,00,80,00,40,01,14,40,B7,
1745347,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1749320,000000AA,false,Rx,0,8,64,5A,07,00,B8,0B,94,00,
1749327,000000A8,false,Rx,0,8,0B,0D,21,E0,21,1F,0F,04,
1749569,000000A9,false,Rx,0,8,F6,0D,79,DF,1D,C7,E0,21,
1749814,000000BA,false,Rx,0,7,03,FF,0F,00,00,5A,8D,00,
1754235,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
1754493,00000194,false,Rx,0,4,E9,F8,00,F0,00,00,00,00,
1754498,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
1759059,00000130,false,Rx,0,5,45,43,21,8F,98,00,00,00,
1759284,000000A8,false,Rx,0,8,0C,0E,21,E0,21,1F,0F,04,
1759509,000000A9,false,Rx,0,8,F7,0E,79,DF,1D,C7,E0,21,
1759736,000000AA,false,Rx,0,8,66,5C,07,00,B8,0B,94,00,
1759969,000000BA,false,Rx,0,7,03,FF,0F,00,00,5B,8E,00,
1764318,000000B6,false,Rx,0,5,05,05,80,00,C8,00,00,00,
1764543,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
1764771,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1765017,0000019E,false,Rx,0,8,00,E8,3F,FC,FE,00,00,C3,
1765273,000001A0,false,Rx,0,8,00,80,00,40,01,14,50,C7,
1765525,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1765807,000000C8,false,Rx,0,6,3B,08,5C,00,00,6C,00,00,
1769338,000000AA,false,Rx,0,8,5A,50,07,00,B8,0B,94,00,
1769345,000000A8,false,Rx,0,8,FD,00,21,E0,21,1F,0F,04,
1769583,000000A9,false,Rx,0,8,E9,00,79,DF,1D,C7,E0,21,
1769829,000000BA,false,Rx,0,7,03,FF,0F,00,00,4D,80,00,
1774289,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
1777158,00000335,false,Rx,0,8,00,8C,10,00,00,9A,00,00,
1779081,000000AA,false,Rx,0,8,5C,52,07,00,B8,0B,94,00,
1779306,000000A8,false,Rx,0,8,FE,01,21,E0,21,1F,0F,04,
1779530,000000A9,false,Rx,0,8,EA,01,79,DF,1D,C7,E0,21,
