Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5309412,000000AA,false,Rx,0,8,60,56,07,00,B8,0B,94,00,
5309642,000000A8,false,Rx,0,8,09,0B,21,E0,21,1F,0F,04,
5309879,000000A9,false,Rx,0,8,F4,0B,79,DF,1D,C7,E0,21,
5310104,000000BA,false,Rx,0,7,03,FF,0F,00,00,58,8B,00,
5312398,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
5319388,000000AA,false,Rx,0,8,62,58,07,00,B8,0B,94,00,
5319613,000000A8,false,Rx,0,8,0A,0C,21,E0,21,1F,0F,04,
5319853,000000A9,false,Rx,0,8,F5,0C,79,DF,1D,C7,E0,21,
5320077,000000BA,false,Rx,0,7,03,FF,0F,00,00,59,8C,00,
5322370,000000B6,false,Rx,0,5,0B,0B,80,00,C8,00,00,00,
5322595,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
5322829,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
5323054,0000019E,false,Rx,0,8,00,E8,AF,FC,FE,00,00,34,
5323279,000001A0,false,Rx,0,8,00,80,00,40,01,14,B0,28,
5323504,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
5323733,000000C8,false,Rx,0,6,3B,08,2C,00,00,0C,00,00,
5329466,000000AA,false,Rx,0,8,64,5A,07,00,B8,0B,94,00,
5329698,000000A8,false,Rx,0,8,0B,0D,21,E0,21,1F,0F,04,
5329930,000000A9,false,Rx,0,8,F6,0D,79,DF,1D,C7,E0,21,
5330155,000000BA,false,Rx,0,7,03,FF,0F,00,00,5A,8D,00,
5332363,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
5333986,000001D0,false,Rx,0,8,3C,76,62,C3,9C,9E,CD,82,
5339415,000000AA,false,Rx,0,8,66,5C,07,00,B8,0B,94,00,
5339641,000000A8,false,Rx,0,8,0C,0E,21,E0,21,1F,0F,04,
5339878,000000A9,false,Rx,0,8,F7,0E,79,DF,1D,C7,E0,21,
5340104,000000BA,false,Rx,0,7,03,FF,0F,00,00,5B,8E,00,
5342214,000000B6,false,Rx,0,5,0C,0C,80,00,C8,00,00,00,
5342439,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
5342669,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
5342901,0000019E,false,Rx,0,8,00,E8,AF,FC,FE,00,00,34,
5343125,000001A0,false,Rx,0,8,00,80,00,60,01,14,C0,58,
5343535,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
5343768,000001A6,false,Rx,0,8,00,00,00,00,00,00,40,F8,
5349081,00000497,false,Rx,0,8,29,42,FF,FF,FF,FF,FF,FF,
5349309,000000AA,false,Rx,0,8,5A,50,07,00,B8,0B,94,00,
5349723,000000A8,false,Rx,0,8,FD,00,21,E0,21,1F,0F,04,
5349954,000000A9,false,Rx,0,8,E9,00,79,DF,1D,C7,E0,21,
5350178,000000BA,false,Rx,0,7,03,FF,0F,00,00,4D,80,00,
5352310,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
5359324,000000AA,false,Rx,0,8,5C,52,07,00,B8,0B,94,00,
5359548,000000A8,false,Rx,0,8,FE,01,21,E0,21,1F,0F,04,
5359778,000000A9,false,Rx,0,8,EA,01,79,DF,1D,C7,E0,21,
5360010,000000BA,false,Rx,0,7,03,FF,0F,00,00,4E,81,00,
5360992,000001B4,false,Rx,0,8,00,D0,E2,F8,44,32,FE,D7,
5362160,000000B6,false,Rx,0,5,0D,0D,80,00,C8,00,00,00,
5362385,000000C4,false,Rx,0,7,45,08,FC,00,00,FF,F1,00,
5362809,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
