Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
25366905,000000A8,false,Rx,0,8,81,C1,27,00,FA,F1,03,00,
25366910,000000A9,false,Rx,0,8,F3,51,A0,0F,32,A0,6F,07,
25366915,000000AA,false,Rx,0,8,2B,01,FA,00,00,00,84,00,
25370557,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
25376468,000000A8,false,Rx,0,8,82,C2,27,00,FA,F1,03,00,
25376692,000000A9,false,Rx,0,8,F4,52,A0,0F,32,A0,6F,07,
25376917,000000AA,false,Rx,0,8,2C,02,FA,00,00,00,84,00,
25380628,000000B6,false,Rx,0,5,00,01,80,00,C8,00,00,00,
25380855,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
25381080,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
25381316,0000019E,false,Rx,0,8,00,EA,6F,FC,FE,61,00,57,
25381540,000001A0,false,Rx,0,8,00,80,00,00,80,00,18,BA,
25381765,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
25381990,000001A6,false,Rx,0,8,00,00,00,00,00,00,68,F4,
25386858,000000A8,false,Rx,0,8,83,C3,27,00,FA,F1,03,00,
25386863,000000A9,false,Rx,0,8,F5,53,A0,0F,32,A0,6F,07,
25387104,000000AA,false,Rx,0,8,2D,03,FA,00,00,00,84,00,
25390639,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
25395489,00000497,false,Rx,0,8,29,52,FF,FF,FF,FF,FF,FF,
25396448,000000A8,false,Rx,0,8,84,C4,27,00,FA,F1,03,00,
25396673,000000A9,false,Rx,0,8,F6,54,A0,0F,32,A0,6F,07,
25397080,000000AA,false,Rx,0,8,2E,04,FA,00,00,00,84,00,
25400629,000000B6,false,Rx,0,5,02,02,80,00,C8,00,00,00,
25400852,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
25401077,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
25401304,0000019E,false,Rx,0,8,00,EA,6F,FC,FE,61,00,57,
25401535,000001A0,false,Rx,0,8,00,80,00,00,80,00,28,CA,
25401760,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
25407030,000000A8,false,Rx,0,8,85,C5,27,00,FA,F1,03,00,
25407035,000000A9,false,Rx,0,8,F7,55,A0,0F,32,A0,6F,07,
25407040,000000AA,false,Rx,0,8,2F,05,FA,00,00,00,84,00,
25410603,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
25410843,00000130,false,Rx,0,5,00,03,D0,0F,50,00,00,00,
25416441,000000A8,false,Rx,0,8,86,C6,27,00,FA,F1,03,00,
25416678,000000A9,false,Rx,0,8,F8,56,A0,0F,32,A0,6F,07,
25417121,000000AA,false,Rx,0,8,30,06,FA,00,00,00,84,00,
25417716,000001D0,false,Rx,0,8,3B,FF,4D,C3,88,10,CD,B2,
25420565,000000B6,false,Rx,0,5,03,03,80,00,C8,00,00,00,
