Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
20855340,00000480,false,Rx,0,8,00,01,FD,FF,FF,FF,FF,FF,
20859116,00000130,false,Rx,0,5,00,03,C0,0F,EA,00,00,00,
20861472,000000A8,false,Rx,0,8,69,0B,21,E0,21,1F,0F,64,
20861698,000000A9,false,Rx,0,8,F4,0B,79,DF,1D,C7,E0,21,
20861925,000000BA,false,Rx,0,7,03,FF,0F,00,00,58,8B,00,
20870690,000002C0,false,Rx,0,3,FE,81,FE,00,00,00,00,00,
20871484,000000A8,false,Rx,0,8,6A,0C,21,E0,21,1F,0F,64,
20871711,000000A9,false,Rx,0,8,F5,0C,79,DF,1D,C7,E0,21,
20871937,000000BA,false,Rx,0,7,03,FF,0F,00,00,59,8C,00,
20872178,000001D2,false,Rx,0,5,E1,0C,8F,B0,F0,00,00,00,
20874857,000002F8,false,Rx,0,8,10,1A,05,12,6F,E8,07,FD,
20876612,00000330,false,Rx,0,8,71,48,06,26,FF,FF,DC,12,
20878787,00000130,false,Rx,0,5,00,03,C0,0F,FB,00,00,00,
20879980,000003BE,false,Rx,0,2,00,F0,00,00,00,00,00,00,
20881551,000000A8,false,Rx,0,8,6B,0D,21,E0,21,1F,0F,64,
20881777,000000A9,false,Rx,0,8,F6,0D,79,DF,1D,C7,E0,21,
20882004,000000BA,false,Rx,0,7,03,FF,0F,00,00,5A,8D,00,
20891403,000000A8,false,Rx,0,8,6C,0E,21,E0,21,1F,0F,64,
20891627,000000A9,false,Rx,0,8,F7,0E,79,DF,1D,C7,E0,21,
20891853,000000BA,false,Rx,0,7,03,FF,0F,00,00,5B,8E,00,
20901447,000000A8,false,Rx,0,8,5E,00,21,E0,21,1F,0F,64,
20901676,000000A9,false,Rx,0,8,E9,00,79,DF,1D,C7,E0,21,
20901903,000000BA,false,Rx,0,7,03,FF,0F,00,00,4D,80,00,
20911421,000000A8,false,Rx,0,8,5F,01,21,E0,21,1F,0F,64,
20911670,000000A9,false,Rx,0,8,EA,01,79,DF,1D,C7,E0,21,
20911919,000000BA,false,Rx,0,7,03,FF,0F,00,00,4E,81,00,
20915931,00000332,false,Rx,0,2,61,82,00,00,00,00,00,00,
20916169,00000332,false,Rx,0,2,61,82,00,00,00,00,00,00,
20916427,000001D0,false,Rx,0,8,3C,FF,09,C3,00,00,CD,82,
20916433,00000332,false,Rx,0,2,61,82,00,00,00,00,00,00,
20921559,000000A8,false,Rx,0,8,60,02,21,E0,21,1F,0F,64,
20921842,000000A9,false,Rx,0,8,EB,02,79,DF,1D,C7,E0,21,
20921847,000000BA,false,Rx,0,7,03,FF,0F,00,00,4F,82,00,
20931544,000000A8,false,Rx,0,8,61,03,21,E0,21,1F,0F,64,
20931770,000000A9,false,Rx,0,8,EC,03,79,DF,1D,C7,E0,21,
20931996,000000BA,false,Rx,0,7,03,FF,0F,00,00,50,83,00,
20938932,00000480,false,Rx,0,8,00,02,FD,FF,FF,FF,FF,FF,
20938939,000004B0,false,Rx,0,8,30,01,FE,FF,FF,FF,FF,FF,
20941524,000000A8,false,Rx,0,8,62,04,21,E0,21,1F,0F,64,
20941752,000000A9,false,Rx,0,8,ED,04,79,DF,1D,C7,E0,21,
20941978,000000BA,false,Rx,0,7,03,FF,0F,00,00,51,84,00,
20951474,000000A8,false,Rx,0,8,63,05,21,E0,21,1F,0F,64,
20951700,000000A9,false,Rx,0,8,EE,05,79,DF,1D,C7,E0,21,
20951925,000000BA,false,Rx,0,7,03,FF,0F,00,00,52,85,00,
20952346,00000202,false,Rx,0,2,FE,FF,00,00,00,00,00,00,
20955418,00000130,false,Rx,0,5,00,03,C0,0F,1C,00,00,00,
20961545,000000A8,false,Rx,0,8,64,06,21,E0,21,1F,0F,64,
20961775,000000A9,false,Rx,0,8,EF,06,79,DF,1D,C7,E0,21,
20962001,000000BA,false,Rx,0,7,03,FF,0F,00,00,53,86,00,
20971499,000000A8,false,Rx,0,8,65,07,21,E0,21,1F,0F,64,
20971740,000000A9,false,Rx,0,8,F0,07,79,DF,1D,C7,E0,21,
20971974,000000BA,false,Rx,0,7,03,FF,0F,00,00,54,87,00,
20981494,000000A8,false,Rx,0,8,66,08,21,E0,21,1F,0F,64,
20981723,000000A9,false,Rx,0,8,F1,08,79,DF,1D,C7,E0,21,
20981949,000000BA,false,Rx,0,7,03,FF,0F,00,00,55,88,00,
20991468,000000A8,false,Rx,0,8,67,09,21,E0,21,1F,0F,64,
20991694,000000A9,false,Rx,0,8,F2,09,79,DF,1D,C7,E0,21,
20991920,000000BA,false,Rx,0,7,03,FF,0F,00,00,56,89,00,
21001483,000000A8,false,Rx,0,8,68,0A,21,E0,21,1F,0F,64,
21001713,000000A9,false,Rx,0,8,F3,0A,79,DF,1D,C7,E0,21,
21001939,000000BA,false,Rx,0,7,03,FF,0F,00,00,57,8A,00,
21011433,000000A8,false,Rx,0,8,69,0B,21,E0,21,1F,0F,64,
21011659,000000A9,false,Rx,0,8,F4,0B,79,DF,1D,C7,E0,21,
21011886,000000BA,false,Rx,0,7,03,FF,0F,00,00,58,8B,00,
21015898,00000332,false,Rx,0,2,61,82,00,00,00,00,00,00,
21016127,00000332,false,Rx,0,2,61,82,00,00,00,00,00,00,
21016392,000001D0,false,Rx,0,8,3C,FF,0A,C3,00,00,CD,82,
21016398,00000332,false,Rx,0,2,61,82,00,00,00,00,00,00,
21021517,000000A8,false,Rx,0,8,6A,0C,21,E0,21,1F,0F,64,
21021747,000000A9,false,Rx,0,8,F5,0C,79,DF,1D,C7,E0,21,
21021973,000000BA,false,Rx,0,7,03,FF,0F,00,00,59,8C,00,
21031551,000000A8,false,Rx,0,8,6B,0D,21,E0,21,1F,0F,64,
21031777,000000A9,false,Rx,0,8,F6,0D,79,DF,1D,C7,E0,21,
21032004,000000BA,false,Rx,0,7,03,FF,0F,00,00,5A,8D,00,
21041469,000000A8,false,Rx,0,8,6C,0E,21,E0,21,1F,0F,64,
21041698,000000A9,false,Rx,0,8,F7,0E,79,DF,1D,C7,E0,21,
21041924,000000BA,false,Rx,0,7,03,FF,0F,00,00,5B,8E,00,
21051500,000000A8,false,Rx,0,8,5E,00,21,E0,21,1F,0F,64,
21051726,000000A9,false,Rx,0,8,E9,00,79,DF,1D,C7,E0,21,
21051952,000000BA,false,Rx,0,7,03,FF,0F,00,00,4D,80,00,
21055402,00000130,false,Rx,0,5,00,03,C0,0F,2D,00,00,00,
21061472,000000A8,false,Rx,0,8,5F,01,21,E0,21,1F,0F,64,
21061731,000000A9,false,Rx,0,8,EA,01,79,DF,1D,C7,E0,21,
21061985,000000BA,false,Rx,0,7,03,FF,0F,00,00,4E,81,00,
21062228,000002FC,false,Rx,0,7,81,01,00,FF,FF,FF,FF,00,
21071532,000000A8,false,Rx,0,8,60,02,21,E0,21,1F,0F,64,
21071758,000000A9,false,Rx,0,8,EB,02,79,DF,1D,C7,E0,21,
21071984,000000BA,false,Rx,0,7,03,FF,0F,00,00,4F,82,00,
21072220,000001D2,false,Rx,0,5,E1,0C,8F,C0,F0,00,00,00,
21076244,000002F6,false,Rx,0,2,55,F5,00,00,00,00,00,00,
21080013,000003BE,false,Rx,0,2,B3,F0,00,00,00,00,00,00,
21081402,000000A8,false,Rx,0,8,61,03,21,E0,21,1F,0F,64,
21081638,000000A9,false,Rx,0,8,EC,03,79,DF,1D,C7,E0,21,
21081869,000000BA,false,Rx,0,7,03,FF,0F,00,00,50,83,00,
21089557,00000497,false,Rx,0,8,17,01,FF,FF,FF,FF,FF,FF,
21091488,000000A8,false,Rx,0,8,62,04,21,E0,21,1F,0F,64,
21091714,000000A9,false,Rx,0,8,ED,04,79,DF,1D,C7,E0,21,
21091940,000000BA,false,Rx,0,7,03,FF,0F,00,00,51,84,00,
21092739,000004B0,false,Rx,0,8,17,02,FE,FF,FF,FF,FF,FF,
21099958,00000480,false,Rx,0,8,17,01,FD,FF,FF,FF,FF,FF,
21101544,000000A8,false,Rx,0,8,63,05,21,E0,21,1F,0F,64,
21101770,000000A9,false,Rx,0,8,EE,05,79,DF,1D,C7,E0,21,
21101997,000000BA,false,Rx,0,7,03,FF,0F,00,00,52,85,00,
21102982,00000330,false,Rx,0,8,71,48,06,26,FF,FF,4C,1E,
21104262,000005F8,false,Rx,0,8,01,02,3A,FF,FF,FF,FF,FF,
21105433,00000310,false,Rx,0,7,78,0F,93,B8,00,E7,22,00,
21111523,000000A8,false,Rx,0,8,64,06,21,E0,21,1F,0F,64,
21111749,000000A9,false,Rx,0,8,EF,06,79,DF,1D,C7,E0,21,
21111975,000000BA,false,Rx,0,7,03,FF,0F,00,00,53,86,00,
21116024,00000332,false,Rx,0,2,61,82,00,00,00,00,00,00,
21116029,00000332,false,Rx,0,2,61,82,00,00,00,00,00,00,
21116482,000001D0,false,Rx,0,8,3C,FF,0A,C3,00,00,CD,82,
21116488,00000332,false,Rx,0,2,61,82,00,00,00,00,00,00,
21121392,000000A8,false,Rx,0,8,65,07,21,E0,21,1F,0F,64,
21121621,000000A9,false,Rx,0,8,F0,07,79,DF,1D,C7,E0,21,
21121847,000000BA,false,Rx,0,7,03,FF,0F,00,00,54,87,00,
21131450,000000A8,false,Rx,0,8,66,08,21,E0,21,1F,0F,64,
21131676,000000A9,false,Rx,0,8,F1,08,79,DF,1D,C7,E0,21,
21131902,000000BA,false,Rx,0,7,03,FF,0F,00,00,55,88,00,
21141376,000000A8,false,Rx,0,8,67,09,21,E0,21,1F,0F,64,
21141792,000000A9,false,Rx,0,8,F2,09,79,DF,1D,C7,E0,21,
21141831,000000BA,false,Rx,0,7,03,FF,0F,00,00,56,89,00,
21151403,000000A8,false,Rx,0,8,68,0A,21,E0,21,1F,0F,64,
21151629,000000A9,false,Rx,0,8,F3,0A,79,DF,1D,C7,E0,21,
21151855,000000BA,false,Rx,0,7,03,FF,0F,00,00,57,8A,00,
21152088,000004A9,false,Rx,0,8,29,01,FF,FF,FF,FF,FF,FF,
21155535,00000130,false,Rx,0,5,00,03,C0,0F,3E,00,00,00,
21161400,000000A8,false,Rx,0,8,69,0B,21,E0,21,1F,0F,64,
21161630,000000A9,false,Rx,0,8,F4,0B,79,DF,1D,C7,E0,21,
21161855,000000BA,false,Rx,0,7,03,FF,0F,00,00,58,8B,00,
21162088,000000C4,false,Rx,0,7,93,01,FC,1C,FF,FF,F1,00,
21171447,000000A8,false,Rx,0,8,6A,0C,21,E0,21,1F,0F,64,
21171673,000000A9,false,Rx,0,8,F5,0C,79,DF,1D,C7,E0,21,
21171899,000000B6,false,Rx,0,5,00,01,80,00,C8,00,00,00,
21172131,000000BA,false,Rx,0,7,03,FF,0F,00,00,59,8C,00,
21172364,000000C4,false,Rx,0,7,93,01,FC,00,00,FF,F1,00,
21172590,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
21172816,0000019E,false,Rx,0,8,00,F8,1F,FC,FE,41,FF,F4,
21173051,000001A0,false,Rx,0,8,00,80,00,00,80,00,18,BA,
