Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1229928,000000B6,false,Rx,0,5,09,09,80,00,C8,00,00,00,
1229934,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1229940,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1230187,0000019E,false,Rx,0,8,00,E8,EF,FC,FE,00,00,74,
1230413,000001A0,false,Rx,0,8,00,80,00,60,01,14,90,28,
1230646,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1233926,00000130,false,Rx,0,5,45,43,21,8F,33,00,00,00,
1235650,000000AA,false,Rx,0,8,5C,52,07,00,B8,0B,94,00,
1235883,000000A8,false,Rx,0,8,07,09,21,E0,21,1F,0F,04,
1236108,000000A9,false,Rx,0,8,F2,09,79,DF,1D,C7,E0,21,
1236333,000000BA,false,Rx,0,7,03,FF,0F,00,00,56,89,00,
1239589,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1239833,00000194,false,Rx,0,4,EE,FD,00,F0,00,00,00,00,
1240056,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
1245551,000000AA,false,Rx,0,8,5E,54,07,00,B8,0B,94,00,
1245789,000000A8,false,Rx,0,8,08,0A,21,E0,21,1F,0F,04,
1246015,000000A9,false,Rx,0,8,F3,0A,79,DF,1D,C7,E0,21,
1246240,000000BA,false,Rx,0,7,03,FF,0F,00,00,57,8A,00,
1250052,000000B6,false,Rx,0,5,0A,0A,80,00,C8,00,00,00,
1250058,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1250063,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1250300,0000019E,false,Rx,0,8,00,E8,EF,FC,FE,00,00,74,
1250535,000001A0,false,Rx,0,8,00,80,00,60,01,14,A0,38,
1250765,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1255602,000000AA,false,Rx,0,8,60,56,07,00,B8,0B,94,00,
1255842,000000A8,false,Rx,0,8,09,0B,21,E0,21,1F,0F,04,
1256067,000000A9,false,Rx,0,8,F4,0B,79,DF,1D,C7,E0,21,
1256292,000000BA,false,Rx,0,7,03,FF,0F,00,00,58,8B,00,
1259720,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1261267,00000335,false,Rx,0,8,00,6C,10,00,00,9A,00,00,
1265625,000000AA,false,Rx,0,8,62,58,07,00,B8,0B,94,00,
1265865,000000A8,false,Rx,0,8,0A,0C,21,E0,21,1F,0F,04,
1266091,000000A9,false,Rx,0,8,F5,0C,79,DF,1D,C7,E0,21,
1266316,000000BA,false,Rx,0,7,03,FF,0F,00,00,59,8C,00,
1270063,000000B6,false,Rx,0,5,0B,0B,80,00,C8,00,00,00,
1270069,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1270075,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1270317,0000019E,false,Rx,0,8,00,E8,0F,FC,FE,00,00,93,
1270548,000001A0,false,Rx,0,8,00,80,00,60,01,14,B0,48,
1270793,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1271031,000000C8,false,Rx,0,6,38,08,2C,00,00,0C,00,00,
1275616,000000AA,false,Rx,0,8,64,5A,07,00,B8,0B,94,00,
1275856,000000A8,false,Rx,0,8,0B,0D,21,E0,21,1F,0F,04,
1276081,000000A9,false,Rx,0,8,F6,0D,79,DF,1D,C7,E0,21,
1276306,000000BA,false,Rx,0,7,03,FF,0F,00,00,5A,8D,00,
1279545,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1280158,000001D0,false,Rx,0,8,3C,76,6B,C3,9C,9E,CD,82,
1285669,000000AA,false,Rx,0,8,66,5C,07,00,B8,0B,94,00,
1285900,000000A8,false,Rx,0,8,0C,0E,21,E0,21,1F,0F,04,
1286125,000000A9,false,Rx,0,8,F7,0E,79,DF,1D,C7,E0,21,
1286349,000000BA,false,Rx,0,7,03,FF,0F,00,00,5B,8E,00,
1290060,000000B6,false,Rx,0,5,0C,0C,80,00,C8,00,00,00,
1290067,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1290072,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1290305,0000019E,false,Rx,0,8,00,E8,0F,FC,FE,00,00,93,
1290539,000001A0,false,Rx,0,8,00,80,00,60,01,14,C0,58,
1290773,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1291005,000001A6,false,Rx,0,8,00,00,00,00,00,00,A0,FD,
1295494,000000AA,false,Rx,0,8,5A,50,07,00,B8,0B,94,00,
1295918,000000A8,false,Rx,0,8,FD,00,21,E0,21,1F,0F,04,
1296142,000000A9,false,Rx,0,8,E9,00,79,DF,1D,C7,E0,21,
1296367,000000BA,false,Rx,0,7,03,FF,0F,00,00,4D,80,00,
1296592,00000497,false,Rx,0,8,29,42,FF,FF,FF,FF,FF,FF,
1299642,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1305515,000000AA,false,Rx,0,8,5C,52,07,00,B8,0B,94,00,
1305742,000000A8,false,Rx,0,8,FE,01,21,E0,21,1F,0F,04,
1305972,000000A9,false,Rx,0,8,EA,01,79,DF,1D,C7,E0,21,
1306196,000000BA,false,Rx,0,7,03,FF,0F,00,00,4E,81,00,
1307745,000001B4,false,Rx,0,8,00,D0,E2,FB,44,32,FE,DA,
1310166,000000B6,false,Rx,0,5,0D,0D,80,00,C8,00,00,00,
1310172,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1310178,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1310183,0000019E,false,Rx,0,8,00,E8,0F,FC,FE,00,00,93,
1310415,000001A0,false,Rx,0,8,00,80,00,60,01,14,D0,68,
1310642,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1315643,000000AA,false,Rx,0,8,5E,54,07,00,B8,0B,94,00,
1315882,000000A8,false,Rx,0,8,FF,02,21,E0,21,1F,0F,04,
1316106,000000A9,false,Rx,0,8,EB,02,79,DF,1D,C7,E0,21,
1316331,000000BA,false,Rx,0,7,03,FF,0F,00,00,4F,82,00,
1319563,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
