Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1467881,000000B6,false,Rx,0,5,07,07,80,00,C8,00,00,00,
1467887,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1467892,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1467898,0000019E,false,Rx,0,8,00,E8,BF,FC,FE,00,00,44,
1467903,000001A0,false,Rx,0,8,00,80,00,60,01,14,70,08,
1467908,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1468157,000001A6,false,Rx,0,8,00,00,00,00,00,00,60,F2,
1468391,000000A8,false,Rx,0,8,03,05,21,E0,21,1F,0F,04,
1468616,000000A9,false,Rx,0,8,EE,05,79,DF,1D,C7,E0,21,
1468857,000000AA,false,Rx,0,8,64,5A,07,00,B8,0B,94,00,
1469081,000000BA,false,Rx,0,7,03,FF,0F,00,00,52,85,00,
1469319,000004A9,false,Rx,0,8,30,42,FF,FF,FF,FF,FF,FF,
1476754,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1478294,000000AA,false,Rx,0,8,66,5C,07,00,B8,0B,94,00,
1478519,000000A8,false,Rx,0,8,04,06,21,E0,21,1F,0F,04,
1478750,000000A9,false,Rx,0,8,EF,06,79,DF,1D,C7,E0,21,
1478982,000000BA,false,Rx,0,7,03,FF,0F,00,00,53,86,00,
1482591,000001B4,false,Rx,0,8,00,D0,E2,FD,44,32,FE,DC,
1487907,000000B6,false,Rx,0,5,08,08,80,00,C8,00,00,00,
1487913,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1487918,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1487923,0000019E,false,Rx,0,8,00,E8,BF,FC,FE,00,00,44,
1487929,000001A0,false,Rx,0,8,00,80,00,60,01,14,80,18,
1487934,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1488359,000000AA,false,Rx,0,8,68,5E,07,00,B8,0B,94,00,
1488585,000000A8,false,Rx,0,8,05,07,21,E0,21,1F,0F,04,
1488821,000000A9,false,Rx,0,8,F0,07,79,DF,1D,C7,E0,21,
1489047,000000BA,false,Rx,0,7,03,FF,0F,00,00,54,87,00,
1496678,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1498223,000000AA,false,Rx,0,8,5A,50,07,00,B8,0B,94,00,
1498693,000000A8,false,Rx,0,8,06,08,21,E0,21,1F,0F,04,
1498699,000000A9,false,Rx,0,8,F1,08,79,DF,1D,C7,E0,21,
1498981,000000BA,false,Rx,0,7,03,FF,0F,00,00,55,88,00,
1506174,00000130,false,Rx,0,5,45,43,21,8F,76,00,00,00,
1507926,000000B6,false,Rx,0,5,09,09,80,00,C8,00,00,00,
1507932,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1507938,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1507943,0000019E,false,Rx,0,8,00,E8,CF,FC,FE,00,00,54,
1507948,000001A0,false,Rx,0,8,00,80,00,60,01,14,90,28,
1507954,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1508392,000000AA,false,Rx,0,8,5C,52,07,00,B8,0B,94,00,
1508618,000000A8,false,Rx,0,8,07,09,21,E0,21,1F,0F,04,
1508859,000000A9,false,Rx,0,8,F2,09,79,DF,1D,C7,E0,21,
1509125,000000BA,false,Rx,0,7,03,FF,0F,00,00,56,89,00,
1509131,000001D2,false,Rx,0,5,E1,0C,8F,C0,F0,00,00,00,
1516848,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1516853,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
1518219,000000AA,false,Rx,0,8,5E,54,07,00,B8,0B,94,00,
1518630,000000A8,false,Rx,0,8,08,0A,21,E0,21,1F,0F,04,
1518905,000000A9,false,Rx,0,8,F3,0A,79,DF,1D,C7,E0,21,
1518910,000000BA,false,Rx,0,7,03,FF,0F,00,00,57,8A,00,
1528014,000000B6,false,Rx,0,5,0A,0A,80,00,C8,00,00,00,
1528020,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1528025,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1528031,0000019E,false,Rx,0,8,00,E8,CF,FC,FE,00,00,54,
1528036,000001A0,false,Rx,0,8,00,80,00,70,01,14,A0,48,
1528042,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1528282,000000AA,false,Rx,0,8,60,56,07,00,B8,0B,94,00,
1528520,000000A8,false,Rx,0,8,09,0B,21,E0,21,1F,0F,04,
1528754,000000A9,false,Rx,0,8,F4,0B,79,DF,1D,C7,E0,21,
1528997,000000BA,false,Rx,0,7,03,FF,0F,00,00,58,8B,00,
1536803,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1538343,000000AA,false,Rx,0,8,62,58,07,00,B8,0B,94,00,
1538568,000000A8,false,Rx,0,8,0A,0C,21,E0,21,1F,0F,04,
1538807,000000A9,false,Rx,0,8,F5,0C,79,DF,1D,C7,E0,21,
1539031,000000BA,false,Rx,0,7,03,FF,0F,00,00,59,8C,00,
1548145,000000B6,false,Rx,0,5,0B,0B,80,00,C8,00,00,00,
1548151,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1548156,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1548162,0000019E,false,Rx,0,8,00,E8,CF,FC,FE,00,00,54,
1548167,000001A0,false,Rx,0,8,00,80,00,60,01,14,B0,48,
1548172,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1548178,000000C8,false,Rx,0,6,38,08,3C,00,00,5C,00,00,
1548416,000000A8,false,Rx,0,8,0B,0D,21,E0,21,1F,0F,04,
1548659,000000A9,false,Rx,0,8,F6,0D,79,DF,1D,C7,E0,21,
1548884,000000AA,false,Rx,0,8,64,5A,07,00,B8,0B,94,00,
1549121,000000BA,false,Rx,0,7,03,FF,0F,00,00,5A,8D,00,
1552815,000001D0,false,Rx,0,8,3C,76,6D,C3,9C,9E,CD,82,
1556811,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1558349,000000AA,false,Rx,0,8,66,5C,07,00,B8,0B,94,00,
1558574,000000A8,false,Rx,0,8,0C,0E,21,E0,21,1F,0F,04,
1558813,000000A9,false,Rx,0,8,F7,0E,79,DF,1D,C7,E0,21,
1559038,000000BA,false,Rx,0,7,03,FF,0F,00,00,5B,8E,00,
1568138,000000B6,false,Rx,0,5,0C,0C,80,00,C8,00,00,00,
1568144,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1568149,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1568154,0000019E,false,Rx,0,8,00,E8,CF,FC,FE,00,00,54,
1568160,000001A0,false,Rx,0,8,00,80,00,60,01,14,C0,58,
1568165,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1568170,000001A6,false,Rx,0,8,00,00,00,00,00,00,F0,F3,
1568408,000000A8,false,Rx,0,8,FD,00,21,E0,21,1F,0F,04,
1568635,000000A9,false,Rx,0,8,E9,00,79,DF,1D,C7,E0,21,
1568872,000000AA,false,Rx,0,8,5A,50,07,00,B8,0B,94,00,
1569106,000000BA,false,Rx,0,7,03,FF,0F,00,00,4D,80,00,
1569345,000004B0,false,Rx,0,8,00,42,FE,01,FF,FF,FF,FF,
1576809,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1578346,000000AA,false,Rx,0,8,5C,52,07,00,B8,0B,94,00,
1578571,000000A8,false,Rx,0,8,FE,01,21,E0,21,1F,0F,04,
1578809,000000A9,false,Rx,0,8,EA,01,79,DF,1D,C7,E0,21,
1579033,000000BA,false,Rx,0,7,03,FF,0F,00,00,4E,81,00,
1582735,000001B4,false,Rx,0,8,00,D0,E2,FE,44,32,FE,DD,
1588318,000000B6,false,Rx,0,5,0D,0D,80,00,C8,00,00,00,
1588325,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1588330,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1588335,0000019E,false,Rx,0,8,00,E8,CF,FC,FE,00,00,54,
1588341,000001A0,false,Rx,0,8,00,80,00,60,01,14,D0,68,
1588346,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1588351,000000AA,false,Rx,0,8,5E,54,07,00,B8,0B,94,00,
1588589,000000A8,false,Rx,0,8,FF,02,21,E0,21,1F,0F,04,
1588837,000000A9,false,Rx,0,8,EB,02,79,DF,1D,C7,E0,21,
1589068,000000BA,false,Rx,0,7,03,FF,0F,00,00,4F,82,00,
1596685,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1598231,000000AA,false,Rx,0,8,60,56,07,00,B8,0B,94,00,
1598642,000000A8,false,Rx,0,8,00,03,21,E0,21,1F,0F,04,
1598912,000000A9,false,Rx,0,8,EC,03,79,DF,1D,C7,E0,21,
1598917,000000BA,false,Rx,0,7,03,FF,0F,00,00,50,83,00,
1605929,00000130,false,Rx,0,5,45,43,21,8F,87,00,00,00,
1606718,000000B6,false,Rx,0,5,0E,0E,80,00,C8,00,00,00,
1608496,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1608503,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1608508,0000019E,false,Rx,0,8,00,E8,CF,FC,FE,00,00,54,
1608513,000001A0,false,Rx,0,8,00,80,00,60,01,14,E0,78,
1608519,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1608524,000000AA,false,Rx,0,8,62,58,07,00,B8,0B,94,00,
1608529,000000A8,false,Rx,0,8,02,04,21,E0,21,1F,0F,04,
1608790,000000A9,false,Rx,0,8,ED,04,79,DF,1D,C7,E0,21,
1609015,000000BA,false,Rx,0,7,03,FF,0F,00,00,51,84,00,
1616815,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1617040,00000194,false,Rx,0,4,E1,F0,00,F0,00,00,00,00,
1617297,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
1617302,000002A6,false,Rx,0,2,00,FC,00,00,00,00,00,00,
1618279,000000AA,false,Rx,0,8,64,5A,07,00,B8,0B,94,00,
1618515,000000A8,false,Rx,0,8,03,05,21,E0,21,1F,0F,04,
