Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
18370585,000000C4,false,Rx,0,7,2B,0A,FC,00,00,FF,F1,00,
18371047,000000A8,false,Rx,0,8,4E,DA,02,D0,02,F0,03,02,
18371453,000000A9,false,Rx,0,8,FE,1A,4E,DF,14,4E,9F,0B,
18371681,000000AA,false,Rx,0,8,AA,DA,02,00,30,0E,80,64,
18377429,000001B4,false,Rx,0,8,00,D0,E2,F9,04,32,FE,98,
18380584,000000B6,false,Rx,0,5,0E,0E,80,00,C8,00,00,00,
18380816,000000C4,false,Rx,0,7,2B,0A,FC,00,00,FF,F1,00,
18381041,000000A8,false,Rx,0,8,0F,BB,02,B0,02,F0,03,02,
18381265,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
18381490,000000A9,false,Rx,0,8,FF,1B,4E,CF,14,4E,AF,0B,
18381716,0000019E,false,Rx,0,8,00,E0,9F,FC,FE,00,00,1C,
18381947,000000AA,false,Rx,0,8,97,BB,02,00,3C,0E,80,64,
18382171,000001A0,false,Rx,0,8,00,80,00,50,00,11,E0,64,
18382394,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
18385786,000001D0,false,Rx,0,8,39,FF,6C,C2,4D,1D,CD,B5,
24639,000000C4,false,Rx,0,7,2B,0A,FC,00,00,FF,F1,00,
24888,00000194,false,Rx,0,4,E3,F2,00,F0,00,00,00,00,
25146,000000A8,false,Rx,0,8,30,CC,02,C0,02,F0,03,02,
25151,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
25374,000000A9,false,Rx,0,8,D0,1C,4E,CF,14,4E,7F,0B,
25598,000000AA,false,Rx,0,8,90,BC,02,00,34,0E,80,64,
33608,0000031A,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
34786,000000B6,false,Rx,0,5,FF,00,80,00,C8,00,00,00,
34791,000000C4,false,Rx,0,7,2B,0A,FC,00,00,FF,F1,00,
35200,000000A8,false,Rx,0,8,31,CD,02,C0,02,F0,03,02,
35423,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
35649,000000A9,false,Rx,0,8,E1,1D,4E,DF,14,4E,7F,0B,
35883,0000019E,false,Rx,0,8,00,E0,9F,FC,FE,00,00,1C,
36111,000000AA,false,Rx,0,8,A1,CD,02,00,34,0E,80,64,
36335,000001A0,false,Rx,0,8,00,80,00,10,00,14,00,46,
36559,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
36794,000004A9,false,Rx,0,8,00,42,FF,FF,FF,FF,FF,FF,
44815,000000C4,false,Rx,0,7,2B,0A,FC,00,00,FF,F1,00,
44820,000000A8,false,Rx,0,8,52,DE,02,D0,02,F0,03,02,
45065,000000A9,false,Rx,0,8,D2,1E,4E,DF,14,4E,6F,0B,
45304,000000AA,false,Rx,0,8,9A,CE,02,00,2C,0E,80,64,
47212,00000130,false,Rx,0,5,45,43,21,8F,00,00,00,00,
54722,000000B6,false,Rx,0,5,00,01,80,00,C8,00,00,00,
54953,000000C4,false,Rx,0,7,2B,0A,FC,00,00,FF,F1,00,
55178,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
55402,0000019E,false,Rx,0,8,00,E0,9F,FC,FE,00,00,1C,
55630,000001A0,false,Rx,0,8,00,80,00,90,FF,11,10,D3,
55859,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
56083,000000A8,false,Rx,0,8,44,D0,02,D0,02,F0,03,02,
56492,000000A9,false,Rx,0,8,C4,10,4E,DF,14,4E,6F,0B,
56716,000000AA,false,Rx,0,8,9C,D0,02,00,2C,0E,80,64,
56948,00000200,false,Rx,0,8,42,81,C0,00,00,00,00,00,
65612,000000C4,false,Rx,0,7,2B,0A,FC,00,00,FF,F1,00,
65617,000000A8,false,Rx,0,8,45,D1,02,D0,02,F0,03,02,
65622,000000C8,false,Rx,0,6,1F,0A,0C,00,00,EC,00,00,
65627,000000A9,false,Rx,0,8,C5,11,4E,DF,14,4E,6F,0B,
65632,000000AA,false,Rx,0,8,A1,D1,02,00,30,0E,80,64,
74519,000000B6,false,Rx,0,5,02,02,80,00,C8,00,00,00,
74765,000000C4,false,Rx,0,7,2B,0A,FC,00,00,FF,F1,00,
74990,000000A8,false,Rx,0,8,46,D2,02,D0,02,F0,03,02,
75213,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
75437,000000A9,false,Rx,0,8,E6,12,4E,DF,14,4E,8F,0B,
75662,0000019E,false,Rx,0,8,00,E0,9F,FC,FE,00,00,1C,
76087,000000AA,false,Rx,0,8,A2,D2,02,00,30,0E,80,64,
76326,000001A0,false,Rx,0,8,00,80,00,30,00,11,20,83,
76559,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
76803,000001A6,false,Rx,0,8,00,00,00,00,00,00,08,F1,
84984,000000C4,false,Rx,0,7,2B,0A,FC,00,00,FF,F1,00,
84990,000000A8,false,Rx,0,8,47,D3,02,D0,02,F0,03,02,
85232,000000A9,false,Rx,0,8,E7,13,4E,DF,14,4E,8F,0B,
85464,000000AA,false,Rx,0,8,A3,D3,02,00,30,0E,80,64,
94528,000000B6,false,Rx,0,5,03,03,80,00,C8,00,00,00,
94761,000000A8,false,Rx,0,8,78,E4,02,F0,02,F0,03,02,
94984,000000C4,false,Rx,0,7,2B,0A,FC,00,00,FF,F1,00,
95209,000000A9,false,Rx,0,8,F8,14,4E,DF,14,4E,9F,0B,
95620,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
95855,000000AA,false,Rx,0,8,94,D4,02,00,20,0E,80,64,
96080,0000019E,false,Rx,0,8,00,E0,9F,FC,FE,00,00,1C,
96303,000001A0,false,Rx,0,8,00,80,00,E0,FF,11,30,44,
96530,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
105058,000000C4,false,Rx,0,7,2B,0A,FC,00,00,FF,F1,00,
106038,000000A8,false,Rx,0,8,79,E5,02,F0,02,F0,03,02,
106263,000000A9,false,Rx,0,8,F9,15,4E,DF,14,4E,9F,0B,
106486,000000AA,false,Rx,0,8,95,D5,02,00,20,0E,80,64,
111695,000001B4,false,Rx,0,8,00,D0,E2,FA,04,32,FE,99,
114492,000000B6,false,Rx,0,5,04,04,80,00,C8,00,00,00,
114733,000000A8,false,Rx,0,8,BA,06,03,10,03,F0,03,02,
114979,000000C4,false,Rx,0,7,2B,0A,FC,00,00,FF,F1,00,
115213,000000A9,false,Rx,0,8,1B,16,4E,FF,14,4E,9F,0B,
115436,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
115662,000000AA,false,Rx,0,8,CA,16,03,00,14,0E,80,64,
116077,0000019E,false,Rx,0,8,00,E0,9F,FC,FE,00,00,1C,
116300,000001A0,false,Rx,0,8,00,80,00,F0,FF,14,40,67,
116525,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
118956,000001D0,false,Rx,0,8,39,FF,6D,C2,8E,1D,CD,B5,
125113,000000C4,false,Rx,0,7,2B,0A,FC,00,00,FF,F1,00,
125118,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
125123,000000A8,false,Rx,0,8,8B,F7,02,F0,02,F0,03,02,
125363,000000A9,false,Rx,0,8,2C,17,4E,FF,14,4E,AF,0B,
125589,000000AA,false,Rx,0,8,DB,17,03,00,24,0E,80,64,
130859,00000480,false,Rx,0,8,12,42,FD,FF,FF,FF,FF,FF,
131095,000001B6,false,Rx,0,7,00,FC,3B,04,41,A0,20,00,
133887,0000031A,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
134657,000000B6,false,Rx,0,5,05,05,80,00,C8,00,00,00,
134888,000000C4,false,Rx,0,7,2B,0A,FC,00,00,FF,F1,00,
135112,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
135335,000000A8,false,Rx,0,8,8C,F8,02,F0,02,F0,03,02,
135559,0000019E,false,Rx,0,8,00,E0,9F,FC,FE,00,00,1C,
135792,000000A9,false,Rx,0,8,1D,18,4E,EF,14,4E,AF,0B,
136016,000001A0,false,Rx,0,8,00,80,00,00,00,11,50,83,
136424,000000AA,false,Rx,0,8,BC,F8,02,00,24,0E,80,64,
136649,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
145272,000000C4,false,Rx,0,7,2B,0A,FC,00,00,FF,F1,00,
145277,000000A8,false,Rx,0,8,8D,F9,02,F0,02,F0,03,02,
145282,000000A9,false,Rx,0,8,ED,19,4E,EF,14,4E,7F,0B,
145524,000000AA,false,Rx,0,8,B9,F9,02,00,20,0E,80,64,
146680,00000130,false,Rx,0,5,45,43,21,8F,11,00,00,00,
154707,000000B6,false,Rx,0,5,06,06,80,00,C8,00,00,00,
154939,000000C4,false,Rx,0,7,2B,0A,FC,00,00,FF,F1,00,
155163,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
155385,0000019E,false,Rx,0,8,00,E0,AF,FC,FE,00,00,2C,
155610,000001A0,false,Rx,0,8,00,80,00,C0,FF,11,60,54,
155840,000002B2,false,Rx,0,8,00,00,00,00,40,00,00,04,
156249,000000A8,false,Rx,0,8,7E,EA,02,F0,02,F0,03,02,
156472,000000A9,false,Rx,0,8,EE,1A,4E,EF,14,4E,7F,0B,
