Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
33366317,000000B6,false,Rx,0,5,0A,0A,80,00,C8,00,00,00,
33366322,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
33366327,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
33366332,0000019E,false,Rx,0,8,00,EA,DF,FC,FE,20,00,86,
33366337,000001A0,false,Rx,0,8,00,80,00,00,80,00,A8,4B,
33366342,000002B2,false,Rx,0,8,00,00,00,00,0F,80,00,04,
33366581,000001A6,false,Rx,0,8,00,00,00,00,00,00,60,FE,
33369227,000000A8,false,Rx,0,8,9E,0C,FA,00,FA,F0,03,00,
33369458,000000A9,false,Rx,0,8,FE,5C,A0,0F,32,A0,6F,07,
33369681,000000AA,false,Rx,0,8,36,0C,FA,00,00,00,84,00,
33375334,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
33375339,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
33379039,000000A8,false,Rx,0,8,9F,0D,FA,00,FA,F0,03,00,
33379270,000000A9,false,Rx,0,8,FF,5D,A0,0F,32,A0,6F,07,
33379677,000000AA,false,Rx,0,8,37,0D,FA,00,00,00,84,00,
33386486,000000B6,false,Rx,0,5,0B,0B,80,00,C8,00,00,00,
33386491,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
33386496,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
33386502,0000019E,false,Rx,0,8,00,EA,DF,FC,FE,20,00,86,
33386507,000001A0,false,Rx,0,8,00,80,00,00,80,00,B8,5B,
33386512,000002B2,false,Rx,0,8,00,00,00,00,0F,80,00,04,
33389143,000000A8,false,Rx,0,8,A0,0E,FA,00,FA,F0,03,00,
33389374,000000A9,false,Rx,0,8,00,5E,A0,0F,32,A0,6F,07,
33389597,000000AA,false,Rx,0,8,38,0E,FA,00,00,00,84,00,
33395145,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
33399081,000000A8,false,Rx,0,8,92,00,FA,00,FA,F0,03,00,
33399347,000000A9,false,Rx,0,8,F2,50,A0,0F,32,A0,6F,07,
33399754,000000AA,false,Rx,0,8,2A,00,FA,00,00,00,84,00,
33406574,000000B6,false,Rx,0,5,0C,0C,80,00,C8,00,00,00,
33406579,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
33406584,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
33406589,0000019E,false,Rx,0,8,00,EA,EF,FC,FE,20,00,96,
33406595,000001A0,false,Rx,0,8,00,80,00,00,80,00,C8,6B,
33406600,000002B2,false,Rx,0,8,00,00,00,00,0F,80,00,04,
33409109,000000A8,false,Rx,0,8,93,01,FA,00,FA,F0,03,00,
33409381,000000A9,false,Rx,0,8,F3,51,A0,0F,32,A0,6F,07,
33409605,000000AA,false,Rx,0,8,2B,01,FA,00,00,00,84,00,
33409828,000001D0,false,Rx,0,8,3B,FF,41,C3,00,00,CD,A6,
33415221,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
33415226,000002A6,false,Rx,0,2,00,FC,00,00,00,00,00,00,
33419145,000000A8,false,Rx,0,8,94,02,FA,00,FA,F0,03,00,
33419372,000000A9,false,Rx,0,8,F4,52,A0,0F,32,A0,6F,07,
33419604,000000AA,false,Rx,0,8,2C,02,FA,00,00,00,84,00,
33424953,000000B6,false,Rx,0,5,0D,0D,80,00,C8,00,00,00,
33426741,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
33426746,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
33426751,0000019E,false,Rx,0,8,00,EA,EF,FC,FE,20,00,96,
33426756,000001A0,false,Rx,0,8,00,80,00,00,80,00,D8,7B,
33426761,000002B2,false,Rx,0,8,00,00,00,00,0F,80,00,04,
33429092,000000A8,false,Rx,0,8,95,03,FA,00,FA,F0,03,00,
33429323,000000A9,false,Rx,0,8,F5,53,A0,0F,32,A0,6F,07,
33429730,000000AA,false,Rx,0,8,2D,03,FA,00,00,00,84,00,
33435085,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
33438433,00000130,false,Rx,0,5,41,43,21,0F,FB,00,00,00,
33439021,000000A8,false,Rx,0,8,96,04,FA,00,FA,F0,03,00,
33439254,000000A9,false,Rx,0,8,F6,54,A0,0F,32,A0,6F,07,
33439478,000000AA,false,Rx,0,8,2E,04,FA,00,00,00,84,00,
33444279,00000497,false,Rx,0,8,29,52,FF,FF,FF,FF,FF,FF,
33445056,000000B6,false,Rx,0,5,0E,0E,80,00,C8,00,00,00,
33446743,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
33446748,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
33446753,0000019E,false,Rx,0,8,00,EA,EF,FC,FE,20,00,96,
33446758,000001A0,false,Rx,0,8,00,80,00,00,80,00,E8,8B,
33446763,000002B2,false,Rx,0,8,00,00,00,00,0F,80,00,04,
33449029,000000A8,false,Rx,0,8,97,05,FA,00,FA,F0,03,00,
33449257,000000A9,false,Rx,0,8,F7,55,A0,0F,32,A0,6F,07,
33449672,000000AA,false,Rx,0,8,2F,05,FA,00,00,00,84,00,
33455037,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
33459213,000000A8,false,Rx,0,8,98,06,FA,00,FA,F0,03,00,
33459445,000000A9,false,Rx,0,8,F8,56,A0,0F,32,A0,6F,07,
33459670,000000AA,false,Rx,0,8,30,06,FA,00,00,00,84,00,
33465021,000000B6,false,Rx,0,5,FF,00,80,00,C8,00,00,00,
33465256,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
33466916,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
33466921,0000019E,false,Rx,0,8,00,EA,EF,FC,FE,20,00,96,
33466926,000001A0,false,Rx,0,8,00,80,00,00,80,00,08,AA,
33466932,000002B2,false,Rx,0,8,00,00,00,00,0F,80,00,04,
33466937,000001A6,false,Rx,0,8,00,00,00,00,00,00,F0,FF,
33466942,000000C8,false,Rx,0,6,24,0A,2C,00,00,0C,00,00,
33469041,000000A8,false,Rx,0,8,99,07,FA,00,FA,F0,03,00,
33469453,000000A9,false,Rx,0,8,F9,57,A0,0F,32,A0,6F,07,
33469676,000000AA,false,Rx,0,8,31,07,FA,00,00,00,84,00,
