Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
25430940,000000B6,false,Rx,0,5,0D,0D,80,00,C8,00,00,00,
25430944,000000C4,false,Rx,0,7,34,0A,FC,00,00,FF,F1,00,
25430950,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
25431195,0000019E,false,Rx,0,8,00,EA,9F,FC,FE,61,00,87,
25431433,000001A0,false,Rx,0,8,00,80,00,00,80,00,D8,7B,
25431665,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
25431888,000001A6,false,Rx,0,8,00,00,00,00,00,00,E8,F7,
25433081,00000330,false,Rx,0,8,70,48,06,27,20,30,BC,25,
25436057,00000310,false,Rx,0,7,67,A0,35,4F,00,FC,21,00,
25437570,00000497,false,Rx,0,8,29,52,FF,FF,FF,FF,FF,FF,
25440371,000000C4,false,Rx,0,7,34,0A,FC,00,00,FF,F1,00,
8074,000000B6,false,Rx,0,5,0E,0E,80,00,C8,00,00,00,
8079,000000C4,false,Rx,0,7,34,0A,FC,00,00,FF,F1,00,
8084,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
8089,0000019E,false,Rx,0,8,00,EA,9F,FC,FE,61,00,87,
8339,000001A0,false,Rx,0,8,00,80,00,00,80,00,E8,8B,
8574,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
17360,000000C4,false,Rx,0,7,34,0A,FC,00,00,FF,F1,00,
28309,000000B6,false,Rx,0,5,FF,00,80,00,C8,00,00,00,
28314,000000C4,false,Rx,0,7,34,0A,FC,00,00,FF,F1,00,
28319,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
28324,0000019E,false,Rx,0,8,00,EA,9F,FC,FE,61,00,87,
28329,000001A0,false,Rx,0,8,00,80,00,00,80,00,08,AA,
28575,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
37322,000000C4,false,Rx,0,7,34,0A,FC,00,00,FF,F1,00,
37547,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
48325,000000B6,false,Rx,0,5,00,01,80,00,C8,00,00,00,
48330,000000C4,false,Rx,0,7,34,0A,FC,00,00,FF,F1,00,
48335,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
48340,0000019E,false,Rx,0,8,00,EA,9F,FC,FE,61,00,87,
48345,000001A0,false,Rx,0,8,00,80,00,00,80,00,18,BA,
48588,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
57290,000000C4,false,Rx,0,7,34,0A,FC,00,00,FF,F1,00,
62001,00000130,false,Rx,0,5,00,03,D0,0F,C7,00,00,00,
68495,000000B6,false,Rx,0,5,02,02,80,00,C8,00,00,00,
68500,000000C4,false,Rx,0,7,34,0A,FC,00,00,FF,F1,00,
68505,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
68510,0000019E,false,Rx,0,8,00,EA,9F,FC,FE,61,00,87,
68515,000001A0,false,Rx,0,8,00,80,00,00,80,00,28,CA,
68521,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
77458,000000C4,false,Rx,0,7,34,0A,FC,00,00,FF,F1,00,
88437,000000B6,false,Rx,0,5,03,03,80,00,C8,00,00,00,
88442,000000C4,false,Rx,0,7,34,0A,FC,00,00,FF,F1,00,
88447,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
88452,0000019E,false,Rx,0,8,00,EA,9F,FC,FE,61,00,87,
88457,000001A0,false,Rx,0,8,00,80,00,00,80,00,38,DA,
88709,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
88933,000001A6,false,Rx,0,8,00,00,00,00,00,00,78,F9,
89159,000004A9,false,Rx,0,8,00,52,FF,FF,FF,FF,FF,FF,
97394,000000C4,false,Rx,0,7,34,0A,FC,00,00,FF,F1,00,
108559,000000B6,false,Rx,0,5,04,04,80,00,C8,00,00,00,
108564,000000C4,false,Rx,0,7,34,0A,FC,00,00,FF,F1,00,
108569,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
108575,0000019E,false,Rx,0,8,00,EA,9F,FC,FE,61,00,87,
108580,000001A0,false,Rx,0,8,00,80,00,00,80,00,48,EA,
108585,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
117379,000000C4,false,Rx,0,7,34,0A,FC,00,00,FF,F1,00,
128786,000000B6,false,Rx,0,5,05,05,80,00,C8,00,00,00,
128791,000000C4,false,Rx,0,7,34,0A,FC,00,00,FF,F1,00,
128796,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
128801,0000019E,false,Rx,0,8,00,EA,9F,FC,FE,61,00,87,
128806,000001A0,false,Rx,0,8,00,80,00,00,80,00,58,FA,
128811,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
137380,000000C4,false,Rx,0,7,34,0A,FC,00,00,FF,F1,00,
137604,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
148838,000000B6,false,Rx,0,5,06,06,80,00,C8,00,00,00,
148843,000000C4,false,Rx,0,7,34,0A,FC,00,00,FF,F1,00,
148848,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
148853,0000019E,false,Rx,0,8,00,EA,9F,FC,FE,61,00,87,
148859,000001A0,false,Rx,0,8,00,80,00,00,80,00,68,0B,
148864,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
157406,000000C4,false,Rx,0,7,34,0A,FC,00,00,FF,F1,00,
162025,00000130,false,Rx,0,5,00,03,D0,0F,D8,00,00,00,
168816,000000B6,false,Rx,0,5,07,07,80,00,C8,00,00,00,
168821,000000C4,false,Rx,0,7,34,0A,FC,00,00,FF,F1,00,
168826,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
168831,0000019E,false,Rx,0,8,00,EA,AF,FC,FE,61,00,97,
168837,000001A0,false,Rx,0,8,00,80,00,00,80,00,78,1B,
168842,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
177415,000000C4,false,Rx,0,7,34,0A,FC,00,00,FF,F1,00,
177639,000000C8,false,Rx,0,6,28,0A,0C,00,00,6C,00,00,
178780,00000480,false,Rx,0,8,17,42,FD,FF,FF,FF,FF,FF,
188898,000000B6,false,Rx,0,5,08,08,80,00,C8,00,00,00,
188903,000000C4,false,Rx,0,7,34,0A,FC,00,00,FF,F1,00,
188908,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
188913,0000019E,false,Rx,0,8,00,EA,AF,FC,FE,61,00,97,
188918,000001A0,false,Rx,0,8,00,80,00,00,80,00,88,2B,
188923,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
188928,000001A6,false,Rx,0,8,00,00,00,00,00,00,08,FB,
197357,000000C4,false,Rx,0,7,34,0A,FC,00,00,FF,F1,00,
208975,000000B6,false,Rx,0,5,09,09,80,00,C8,00,00,00,
208980,000000C4,false,Rx,0,7,34,0A,FC,00,00,FF,F1,00,
208985,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
208990,0000019E,false,Rx,0,8,00,EA,AF,FC,FE,61,00,97,
208996,000001A0,false,Rx,0,8,00,80,00,00,80,00,98,3B,
209001,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
217412,000000C4,false,Rx,0,7,34,0A,FC,00,00,FF,F1,00,
227224,000000B6,false,Rx,0,5,0A,0A,80,00,C8,00,00,00,
227456,000000C4,false,Rx,0,7,34,0A,FC,00,00,FF,F1,00,
229223,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
