Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
939681,000000B6,false,Rx,0,5,0E,0E,80,00,C8,00,00,00,
939917,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
940142,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
940367,00000130,false,Rx,0,5,45,43,21,8F,11,00,00,00,
940593,0000019E,false,Rx,0,8,00,E8,DF,FC,FE,00,00,64,
940829,000001A0,false,Rx,0,8,00,80,00,60,01,17,E0,7B,
941055,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
942224,000000AA,false,Rx,0,8,62,58,07,00,B8,0B,94,00,
942448,000000A8,false,Rx,0,8,02,04,21,E0,21,1F,0F,04,
942678,000000A9,false,Rx,0,8,ED,04,79,DF,1D,C7,E0,21,
942910,000000BA,false,Rx,0,7,03,FF,0F,00,00,51,84,00,
949914,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
949953,00000194,false,Rx,0,4,ED,FC,00,F0,00,00,00,00,
950177,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
952100,000000AA,false,Rx,0,8,64,5A,07,00,B8,0B,94,00,
952326,000000A8,false,Rx,0,8,03,05,21,E0,21,1F,0F,04,
952551,000000A9,false,Rx,0,8,EE,05,79,DF,1D,C7,E0,21,
952789,000000BA,false,Rx,0,7,03,FF,0F,00,00,52,85,00,
955175,000003B0,false,Rx,0,2,FD,FF,00,00,00,00,00,00,
955417,0000021A,false,Rx,0,3,00,20,FC,00,00,00,00,00,
959844,000000B6,false,Rx,0,5,FF,00,80,00,C8,00,00,00,
960069,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
960294,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
960520,0000019E,false,Rx,0,8,00,E8,DF,FC,FE,00,00,64,
960747,000001A0,false,Rx,0,8,00,80,00,60,01,17,00,9A,
960979,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
962146,000000AA,false,Rx,0,8,66,5C,07,00,B8,0B,94,00,
962371,000000A8,false,Rx,0,8,04,06,21,E0,21,1F,0F,04,
962597,000000A9,false,Rx,0,8,EF,06,79,DF,1D,C7,E0,21,
962831,000000BA,false,Rx,0,7,03,FF,0F,00,00,53,86,00,
966244,000001B5,false,Rx,0,7,C8,FF,04,00,88,FF,FF,00,
969869,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
972166,000000AA,false,Rx,0,8,68,5E,07,00,B8,0B,94,00,
972391,000000A8,false,Rx,0,8,05,07,21,E0,21,1F,0F,04,
972616,000000A9,false,Rx,0,8,F0,07,79,DF,1D,C7,E0,21,
972856,000000BA,false,Rx,0,7,03,FF,0F,00,00,54,87,00,
979764,000000B6,false,Rx,0,5,00,01,80,00,C8,00,00,00,
980000,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
980225,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
980450,0000019E,false,Rx,0,8,00,E8,DF,FC,FE,00,00,64,
980677,000001A0,false,Rx,0,8,00,80,00,40,01,17,10,8A,
980909,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
982076,000000AA,false,Rx,0,8,5A,50,07,00,B8,0B,94,00,
982487,000000A8,false,Rx,0,8,06,08,21,E0,21,1F,0F,04,
982714,000000A9,false,Rx,0,8,F1,08,79,DF,1D,C7,E0,21,
982946,000000BA,false,Rx,0,7,03,FF,0F,00,00,55,88,00,
986745,000001D0,false,Rx,0,8,3C,76,6A,C3,9C,9E,CD,82,
989849,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
992142,000000AA,false,Rx,0,8,5C,52,07,00,B8,0B,94,00,
992367,000000A8,false,Rx,0,8,07,09,21,E0,21,1F,0F,04,
992592,000000A9,false,Rx,0,8,F2,09,79,DF,1D,C7,E0,21,
992831,000000BA,false,Rx,0,7,03,FF,0F,00,00,56,89,00,
993056,000004B0,false,Rx,0,8,00,42,FE,01,FF,FF,FF,FF,
993281,000001FB,false,Rx,0,2,F2,FF,00,00,00,00,00,00,
999790,000000B6,false,Rx,0,5,02,02,80,00,C8,00,00,00,
1000018,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1000243,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1000469,0000019E,false,Rx,0,8,00,E8,DF,FC,FE,00,00,64,
1000696,000001A0,false,Rx,0,8,00,80,00,40,01,17,20,9A,
1000923,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
1001148,000001A6,false,Rx,0,8,00,00,00,00,00,00,C0,F1,
1002125,000000AA,false,Rx,0,8,5E,54,07,00,B8,0B,94,00,
1002350,000000A8,false,Rx,0,8,08,0A,21,E0,21,1F,0F,04,
1002576,000000A9,false,Rx,0,8,F3,0A,79,DF,1D,C7,E0,21,
1002814,000000BA,false,Rx,0,7,03,FF,0F,00,00,57,8A,00,
1009825,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1012118,000000AA,false,Rx,0,8,60,56,07,00,B8,0B,94,00,
1012343,000000A8,false,Rx,0,8,09,0B,21,E0,21,1F,0F,04,
1012568,000000A9,false,Rx,0,8,F4,0B,79,DF,1D,C7,E0,21,
1012809,000000BA,false,Rx,0,7,03,FF,0F,00,00,58,8B,00,
1016135,000001B4,false,Rx,0,8,00,D0,E2,F9,44,32,FE,D8,
1019622,000000B6,false,Rx,0,5,03,03,80,00,C8,00,00,00,
1019862,000000C4,false,Rx,0,7,42,08,FC,00,00,FF,F1,00,
1020273,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
1020498,0000019E,false,Rx,0,8,00,E8,DF,FC,FE,00,00,64,
1020726,000001A0,false,Rx,0,8,00,80,00,40,01,17,30,AA,
1020953,000002B2,false,Rx,0,8,00,00,00,00,50,00,00,04,
