Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
48073479,000000A8,false,Rx,0,8,79,AA,27,10,FA,F0,03,00,
48073485,000000A9,false,Rx,0,8,FE,5A,A1,0F,32,A1,6F,07,
48073725,000000AA,false,Rx,0,8,44,1A,FA,00,00,00,84,00,
48077142,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
48083286,000000A8,false,Rx,0,8,7A,AB,27,10,FA,F0,03,00,
48083510,000000A9,false,Rx,0,8,FF,5B,A1,0F,32,A1,6F,07,
48083733,000000AA,false,Rx,0,8,45,1B,FA,00,00,00,84,00,
48083958,000001D0,false,Rx,0,8,3B,FF,42,C3,00,00,CD,B2,
48086930,000000B6,false,Rx,0,5,0D,0D,80,00,C8,00,00,00,
48087155,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
48087387,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
48087610,0000019E,false,Rx,0,8,00,EA,3F,FC,FE,20,00,E5,
48087835,000001A0,false,Rx,0,8,00,80,00,00,80,00,D8,7B,
48088251,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
48093667,000000A8,false,Rx,0,8,7B,AC,27,10,FA,F0,03,00,
48093673,000000A9,false,Rx,0,8,00,5C,A1,0F,32,A1,6F,07,
48093914,000000AA,false,Rx,0,8,46,1C,FA,00,00,00,84,00,
48097086,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
48103441,000000A8,false,Rx,0,8,7C,AD,27,10,FA,F0,03,00,
48103665,000000A9,false,Rx,0,8,01,5D,A1,0F,32,A1,6F,07,
48103890,000000AA,false,Rx,0,8,47,1D,FA,00,00,00,84,00,
48107048,000000B6,false,Rx,0,5,0E,0E,80,00,C8,00,00,00,
48107284,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
48107507,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
48107732,0000019E,false,Rx,0,8,00,EA,3F,FC,FE,20,00,E5,
48107960,000001A0,false,Rx,0,8,00,80,00,00,80,00,E8,8B,
48108189,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
48108418,000001A6,false,Rx,0,8,00,00,00,00,00,00,68,FE,
48113830,000000A8,false,Rx,0,8,7D,AE,27,10,FA,F0,03,00,
48113835,000000A9,false,Rx,0,8,03,5E,A1,0F,32,A1,6F,07,
48113840,000000AA,false,Rx,0,8,48,1E,FA,00,00,00,84,00,
48117097,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
48123190,000000A8,false,Rx,0,8,6F,A0,27,10,FA,F0,03,00,
48123422,000000A9,false,Rx,0,8,F4,50,A1,0F,32,A1,6F,07,
48123647,000000AA,false,Rx,0,8,3A,10,FA,00,00,00,84,00,
48126986,000000B6,false,Rx,0,5,FF,00,80,00,C8,00,00,00,
48127218,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
48127449,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
48127672,0000019E,false,Rx,0,8,00,EA,3F,FC,FE,20,00,E5,
48127897,000001A0,false,Rx,0,8,00,80,00,00,80,00,08,AA,
48128123,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
45902,000000A8,false,Rx,0,8,70,A1,27,10,FA,F0,03,00,
45907,000000A9,false,Rx,0,8,F5,51,A1,0F,32,A1,6F,07,
45912,000000AA,false,Rx,0,8,3B,11,FA,00,00,00,84,00,
46155,00000492,false,Rx,0,8,17,52,FF,FF,FF,FF,FF,FF,
48620,00000130,false,Rx,0,5,41,43,21,0F,A7,00,00,00,
49052,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
55252,000000A8,false,Rx,0,8,71,A2,27,10,FA,F0,03,00,
55475,000000A9,false,Rx,0,8,F6,52,A1,0F,32,A1,6F,07,
55702,000000AA,false,Rx,0,8,3C,12,FA,00,00,00,84,00,
59067,000000B6,false,Rx,0,5,00,01,80,00,C8,00,00,00,
59300,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
59523,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
59747,0000019E,false,Rx,0,8,00,EA,3F,FC,FE,20,00,E5,
59972,000001A0,false,Rx,0,8,00,80,00,00,80,00,18,BA,
60389,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
66125,000000A8,false,Rx,0,8,72,A3,27,10,FA,F0,03,00,
66131,000000A9,false,Rx,0,8,F7,53,A1,0F,32,A1,6F,07,
66136,000000AA,false,Rx,0,8,3D,13,FA,00,00,00,84,00,
69029,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
69262,000001D6,false,Rx,0,2,FF,F3,00,00,00,00,00,00,
75359,000000A8,false,Rx,0,8,73,A4,27,10,FA,F0,03,00,
75583,000000A9,false,Rx,0,8,F8,54,A1,0F,32,A1,6F,07,
75806,000000AA,false,Rx,0,8,3E,14,FA,00,00,00,84,00,
78965,000000B6,false,Rx,0,5,02,02,80,00,C8,00,00,00,
79191,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
79605,000000CE,false,Rx,0,8,00,00,00,00,00,00,00,00,
79829,0000019E,false,Rx,0,8,00,EA,4F,FC,FE,20,00,F5,
80053,000001A0,false,Rx,0,8,00,80,00,00,80,00,28,CA,
80287,000002B2,false,Rx,0,8,00,00,00,00,00,80,00,04,
86084,000000A8,false,Rx,0,8,74,A5,27,10,FA,F0,03,00,
86089,000000A9,false,Rx,0,8,F9,55,A1,0F,32,A1,6F,07,
86095,000000AA,false,Rx,0,8,3F,15,FA,00,00,00,84,00,
89109,000000C4,false,Rx,0,7,30,0A,FC,00,00,FF,F1,00,
95252,000000A8,false,Rx,0,8,75,A6,27,10,FA,F0,03,00,
95474,000000A9,false,Rx,0,8,FA,56,A1,0F,32,A1,6F,07,
95699,000000AA,false,Rx,0,8,40,16,FA,00,00,00,84,00,
